p,qE,qL,q_cutoff,n,scoring_method,eMaxScore,fold
0.75,0.65,0.8,4.5,10,ESPN,539,3
0.75,0.7,0.8,4.5,10,ESPN,672.9,3
0.75,0.75,0.8,4.5,10,ESPN,861.8,3
0.75,0.8,0.8,4.5,10,ESPN,799.2,3
0.75,0.8500000000000001,0.8,4.5,10,ESPN,836.5,3
0.75,0.9,0.8,4.5,10,ESPN,882.2,3
0.75,0.95,0.8,4.5,10,ESPN,1052.4,3
0.75,1,0.8,4.5,10,ESPN,946.8,3
0.75,0.5,0.8500000000000001,4.5,10,ESPN,473.3,3
0.75,0.55,0.8500000000000001,4.5,10,ESPN,534.6,3
0.75,0.6,0.8500000000000001,4.5,10,ESPN,659.4,3
0.75,0.65,0.8500000000000001,4.5,10,ESPN,652.8,3
0.75,0.7,0.8500000000000001,4.5,10,ESPN,614.7,3
0.75,0.75,0.8500000000000001,4.5,10,ESPN,731,3
0.75,0.8,0.8500000000000001,4.5,10,ESPN,807.1,3
0.75,0.8500000000000001,0.8500000000000001,4.5,10,ESPN,852.1,3
0.75,0.9,0.8500000000000001,4.5,10,ESPN,824.6,3
0.75,0.95,0.8500000000000001,4.5,10,ESPN,1018.2,3
0.75,1,0.8500000000000001,4.5,10,ESPN,880.8,3
0.75,0.5,0.9,4.5,10,ESPN,506.1,3
0.75,0.55,0.9,4.5,10,ESPN,513.9,3
0.75,0.6,0.9,4.5,10,ESPN,610.6,3
0.75,0.65,0.9,4.5,10,ESPN,589.7,3
0.75,0.7,0.9,4.5,10,ESPN,655.8,3
0.75,0.75,0.9,4.5,10,ESPN,722.3,3
0.75,0.8,0.9,4.5,10,ESPN,823.3,3
0.75,0.8500000000000001,0.9,4.5,10,ESPN,877.6,3
0.75,0.9,0.9,4.5,10,ESPN,978.7,3
0.75,0.95,0.9,4.5,10,ESPN,963.1,3
0.75,1,0.9,4.5,10,ESPN,916.6,3
0.75,0.5,0.95,4.5,10,ESPN,480.5,3
0.75,0.55,0.95,4.5,10,ESPN,547.6,3
0.75,0.6,0.95,4.5,10,ESPN,649.8,3
0.75,0.65,0.95,4.5,10,ESPN,637,3
0.75,0.7,0.95,4.5,10,ESPN,679.8,3
0.75,0.75,0.95,4.5,10,ESPN,742.2,3
0.75,0.8,0.95,4.5,10,ESPN,791.7,3
0.75,0.8500000000000001,0.95,4.5,10,ESPN,817.5,3
0.75,0.9,0.95,4.5,10,ESPN,897.2,3
0.75,0.95,0.95,4.5,10,ESPN,925,3
0.75,1,0.95,4.5,10,ESPN,967.8,3
0.75,0.5,1,4.5,10,ESPN,466.2,3
0.75,0.55,1,4.5,10,ESPN,490.8,3
0.75,0.6,1,4.5,10,ESPN,611.3,3
0.75,0.65,1,4.5,10,ESPN,642.2,3
0.75,0.7,1,4.5,10,ESPN,686,3
0.75,0.75,1,4.5,10,ESPN,719.5,3
0.75,0.8,1,4.5,10,ESPN,755.9,3
0.75,0.8500000000000001,1,4.5,10,ESPN,860.2,3
0.75,0.9,1,4.5,10,ESPN,913.6,3
0.75,0.95,1,4.5,10,ESPN,942.3,3
0.75,1,1,4.5,10,ESPN,895.6,3
0.75,0.5,0.5,5.5,10,ESPN,461,3
0.75,0.55,0.5,5.5,10,ESPN,493.7,3
0.75,0.6,0.5,5.5,10,ESPN,571.8,3
0.75,0.65,0.5,5.5,10,ESPN,650.4,3
0.75,0.7,0.5,5.5,10,ESPN,647,3
0.75,0.75,0.5,5.5,10,ESPN,705.1,3
0.75,0.8,0.5,5.5,10,ESPN,792.4,3
0.75,0.8500000000000001,0.5,5.5,10,ESPN,847.1,3
0.75,0.9,0.5,5.5,10,ESPN,863.8,3
0.75,0.95,0.5,5.5,10,ESPN,876.8,3
0.75,1,0.5,5.5,10,ESPN,959.8,3
0.75,0.5,0.55,5.5,10,ESPN,467.2,3
0.75,0.55,0.55,5.5,10,ESPN,469.1,3
0.75,0.6,0.55,5.5,10,ESPN,582.3,3
0.75,0.65,0.55,5.5,10,ESPN,618.2,3
0.75,0.7,0.55,5.5,10,ESPN,661.1,3
0.75,0.75,0.55,5.5,10,ESPN,684.6,3
0.75,0.8,0.55,5.5,10,ESPN,814.2,3
0.75,0.8500000000000001,0.55,5.5,10,ESPN,897,3
0.75,0.9,0.55,5.5,10,ESPN,917.7,3
0.75,0.95,0.55,5.5,10,ESPN,903.2,3
0.75,1,0.55,5.5,10,ESPN,976,3
0.75,0.5,0.6,5.5,10,ESPN,516.3,3
0.75,0.55,0.6,5.5,10,ESPN,521.6,3
0.75,0.6,0.6,5.5,10,ESPN,563.2,3
0.75,0.65,0.6,5.5,10,ESPN,666.8,3
0.75,0.7,0.6,5.5,10,ESPN,727.8,3
0.75,0.75,0.6,5.5,10,ESPN,724.8,3
0.75,0.8,0.6,5.5,10,ESPN,770.3,3
0.75,0.8500000000000001,0.6,5.5,10,ESPN,846.5,3
0.75,0.9,0.6,5.5,10,ESPN,937.1,3
0.75,0.95,0.6,5.5,10,ESPN,903.9,3
0.75,1,0.6,5.5,10,ESPN,920.8,3
0.75,0.5,0.65,5.5,10,ESPN,431.6,3
0.75,0.55,0.65,5.5,10,ESPN,527.6,3
0.75,0.6,0.65,5.5,10,ESPN,589.4,3
0.75,0.65,0.65,5.5,10,ESPN,570.9,3
0.75,0.7,0.65,5.5,10,ESPN,646.7,3
0.75,0.75,0.65,5.5,10,ESPN,777.2,3
0.75,0.8,0.65,5.5,10,ESPN,740.9,3
0.75,0.8500000000000001,0.65,5.5,10,ESPN,813,3
0.75,0.9,0.65,5.5,10,ESPN,830.8,3
0.75,0.95,0.65,5.5,10,ESPN,993.6,3
0.75,1,0.65,5.5,10,ESPN,909,3
0.75,0.5,0.7,5.5,10,ESPN,537.2,3
0.75,0.55,0.7,5.5,10,ESPN,550.7,3
0.75,0.6,0.7,5.5,10,ESPN,491.9,3
0.75,0.65,0.7,5.5,10,ESPN,622.9,3
0.75,0.7,0.7,5.5,10,ESPN,659,3
0.75,0.75,0.7,5.5,10,ESPN,719.6,3
0.75,0.8,0.7,5.5,10,ESPN,804.1,3
0.75,0.8500000000000001,0.7,5.5,10,ESPN,871.6,3
0.75,0.9,0.7,5.5,10,ESPN,946.6,3
0.75,0.95,0.7,5.5,10,ESPN,884.6,3
0.75,1,0.7,5.5,10,ESPN,907.8,3
0.75,0.5,0.75,5.5,10,ESPN,450,3
0.75,0.55,0.75,5.5,10,ESPN,577.6,3
0.75,0.6,0.75,5.5,10,ESPN,591.1,3
0.75,0.65,0.75,5.5,10,ESPN,567.4,3
0.75,0.7,0.75,5.5,10,ESPN,689.3,3
0.75,0.75,0.75,5.5,10,ESPN,720.3,3
0.75,0.8,0.75,5.5,10,ESPN,815.4,3
0.75,0.8500000000000001,0.75,5.5,10,ESPN,820.4,3
0.75,0.9,0.75,5.5,10,ESPN,896.9,3
0.75,0.95,0.75,5.5,10,ESPN,1018,3
0.75,1,0.75,5.5,10,ESPN,964.4,3
0.75,0.5,0.8,5.5,10,ESPN,450.2,3
0.75,0.55,0.8,5.5,10,ESPN,522.7,3
0.75,0.6,0.8,5.5,10,ESPN,537.6,3
0.75,0.65,0.8,5.5,10,ESPN,595,3
0.75,0.7,0.8,5.5,10,ESPN,722.8,3
0.75,0.75,0.8,5.5,10,ESPN,746.7,3
0.75,0.8,0.8,5.5,10,ESPN,847.2,3
0.75,0.8500000000000001,0.8,5.5,10,ESPN,896.3,3
0.75,0.9,0.8,5.5,10,ESPN,952,3
0.75,0.95,0.8,5.5,10,ESPN,956.5,3
0.75,1,0.8,5.5,10,ESPN,905.4,3
0.75,0.5,0.8500000000000001,5.5,10,ESPN,477.7,3
0.75,0.55,0.8500000000000001,5.5,10,ESPN,494.2,3
0.75,0.6,0.8500000000000001,5.5,10,ESPN,554.5,3
0.75,0.65,0.8500000000000001,5.5,10,ESPN,566.6,3
0.75,0.7,0.8500000000000001,5.5,10,ESPN,717,3
0.75,0.75,0.8500000000000001,5.5,10,ESPN,703.8,3
0.75,0.8,0.8500000000000001,5.5,10,ESPN,816.5,3
0.75,0.8500000000000001,0.8500000000000001,5.5,10,ESPN,818,3
0.75,0.9,0.8500000000000001,5.5,10,ESPN,888.6,3
0.75,0.95,0.8500000000000001,5.5,10,ESPN,1005.5,3
0.75,1,0.8500000000000001,5.5,10,ESPN,913,3
0.75,0.5,0.9,5.5,10,ESPN,433.2,3
0.75,0.55,0.9,5.5,10,ESPN,561.1,3
0.75,0.6,0.9,5.5,10,ESPN,591.6,3
0.75,0.65,0.9,5.5,10,ESPN,595.8,3
0.75,0.7,0.9,5.5,10,ESPN,691.6,3
0.75,0.75,0.9,5.5,10,ESPN,763.6,3
0.75,0.8,0.9,5.5,10,ESPN,783,3
0.75,0.8500000000000001,0.9,5.5,10,ESPN,779.8,3
0.75,0.9,0.9,5.5,10,ESPN,900.7,3
0.75,0.95,0.9,5.5,10,ESPN,940.1,3
0.75,1,0.9,5.5,10,ESPN,964.2,3
0.75,0.5,0.95,5.5,10,ESPN,589,3
0.75,0.55,0.95,5.5,10,ESPN,483.4,3
0.75,0.6,0.95,5.5,10,ESPN,572.3,3
0.75,0.65,0.95,5.5,10,ESPN,583.4,3
0.75,0.7,0.95,5.5,10,ESPN,696.3,3
0.75,0.75,0.95,5.5,10,ESPN,773.5,3
0.75,0.8,0.95,5.5,10,ESPN,809.5,3
0.75,0.8500000000000001,0.95,5.5,10,ESPN,871.8,3
0.75,0.9,0.95,5.5,10,ESPN,907.7,3
0.75,0.95,0.95,5.5,10,ESPN,977.9,3
0.75,1,0.95,5.5,10,ESPN,910.2,3
0.75,0.5,1,5.5,10,ESPN,489.7,3
0.75,0.55,1,5.5,10,ESPN,530.7,3
0.75,0.6,1,5.5,10,ESPN,573.5,3
0.75,0.65,1,5.5,10,ESPN,681.9,3
0.75,0.7,1,5.5,10,ESPN,683.7,3
0.75,0.75,1,5.5,10,ESPN,865,3
0.75,0.8,1,5.5,10,ESPN,780.6,3
0.75,0.8500000000000001,1,5.5,10,ESPN,859.7,3
0.75,0.9,1,5.5,10,ESPN,944.8,3
0.75,0.95,1,5.5,10,ESPN,919.1,3
0.75,1,1,5.5,10,ESPN,910.8,3
0.75,0.5,0.5,1.5,100,ESPN,625.5,3
0.75,0.55,0.5,1.5,100,ESPN,680.1,3
0.75,0.6,0.5,1.5,100,ESPN,676.4,3
0.75,0.65,0.5,1.5,100,ESPN,706.9,3
0.75,0.7,0.5,1.5,100,ESPN,730.8,3
0.75,0.75,0.5,1.5,100,ESPN,739.2,3
0.75,0.8,0.5,1.5,100,ESPN,752.9,3
0.75,0.8500000000000001,0.5,1.5,100,ESPN,751.4,3
0.75,0.9,0.5,1.5,100,ESPN,821.5,3
0.75,0.95,0.5,1.5,100,ESPN,777.6,3
0.75,1,0.5,1.5,100,ESPN,843.4,3
0.75,0.5,0.55,1.5,100,ESPN,659.7,3
0.75,0.55,0.55,1.5,100,ESPN,705.7,3
0.75,0.6,0.55,1.5,100,ESPN,765.1,3
0.75,0.65,0.55,1.5,100,ESPN,733.3,3
0.75,0.7,0.55,1.5,100,ESPN,798.5,3
0.75,0.75,0.55,1.5,100,ESPN,825,3
0.75,0.8,0.55,1.5,100,ESPN,783.3,3
0.75,0.8500000000000001,0.55,1.5,100,ESPN,808.9,3
0.75,0.9,0.55,1.5,100,ESPN,843,3
0.75,0.95,0.55,1.5,100,ESPN,904.6,3
0.75,1,0.55,1.5,100,ESPN,887.2,3
0.75,0.5,0.6,1.5,100,ESPN,745.5,3
0.75,0.55,0.6,1.5,100,ESPN,753,3
0.75,0.6,0.6,1.5,100,ESPN,746,3
0.75,0.65,0.6,1.5,100,ESPN,821.9,3
0.75,0.7,0.6,1.5,100,ESPN,790,3
0.75,0.75,0.6,1.5,100,ESPN,823.3,3
0.75,0.8,0.6,1.5,100,ESPN,855.8,3
0.75,0.8500000000000001,0.6,1.5,100,ESPN,876.2,3
0.75,0.9,0.6,1.5,100,ESPN,889.8,3
0.75,0.95,0.6,1.5,100,ESPN,916.3,3
0.75,1,0.6,1.5,100,ESPN,934.2,3
0.75,0.5,0.65,1.5,100,ESPN,724.2,3
0.75,0.55,0.65,1.5,100,ESPN,777.8,3
0.75,0.6,0.65,1.5,100,ESPN,807.3,3
0.75,0.65,0.65,1.5,100,ESPN,808,3
0.75,0.7,0.65,1.5,100,ESPN,815.9,3
0.75,0.75,0.65,1.5,100,ESPN,837.6,3
0.75,0.8,0.65,1.5,100,ESPN,909.3,3
0.75,0.8500000000000001,0.65,1.5,100,ESPN,897.6,3
0.75,0.9,0.65,1.5,100,ESPN,895.4,3
0.75,0.95,0.65,1.5,100,ESPN,937,3
0.75,1,0.65,1.5,100,ESPN,1027.6,3
0.75,0.5,0.7,1.5,100,ESPN,757.7,3
0.75,0.55,0.7,1.5,100,ESPN,824,3
0.75,0.6,0.7,1.5,100,ESPN,886.6,3
0.75,0.65,0.7,1.5,100,ESPN,841.2,3
0.75,0.7,0.7,1.5,100,ESPN,872.3,3
0.75,0.75,0.7,1.5,100,ESPN,894.1,3
0.75,0.8,0.7,1.5,100,ESPN,942.5,3
0.75,0.8500000000000001,0.7,1.5,100,ESPN,930.9,3
0.75,0.9,0.7,1.5,100,ESPN,963.9,3
0.75,0.95,0.7,1.5,100,ESPN,1043.6,3
0.75,1,0.7,1.5,100,ESPN,988.8,3
0.75,0.5,0.75,1.5,100,ESPN,811.4,3
0.75,0.55,0.75,1.5,100,ESPN,838.4,3
0.75,0.6,0.75,1.5,100,ESPN,848.9,3
0.75,0.65,0.75,1.5,100,ESPN,917.9,3
0.75,0.7,0.75,1.5,100,ESPN,875,3
0.75,0.75,0.75,1.5,100,ESPN,923.3,3
0.75,0.8,0.75,1.5,100,ESPN,944.5,3
0.75,0.8500000000000001,0.75,1.5,100,ESPN,1000.9,3
0.75,0.9,0.75,1.5,100,ESPN,1001.6,3
0.75,0.95,0.75,1.5,100,ESPN,999.7,3
0.75,1,0.75,1.5,100,ESPN,1018.4,3
0.75,0.5,0.8,1.5,100,ESPN,880.2,3
0.75,0.55,0.8,1.5,100,ESPN,883.4,3
0.75,0.6,0.8,1.5,100,ESPN,875.2,3
0.75,0.65,0.8,1.5,100,ESPN,913.7,3
0.75,0.7,0.8,1.5,100,ESPN,911.4,3
0.75,0.75,0.8,1.5,100,ESPN,962.7,3
0.75,0.8,0.8,1.5,100,ESPN,988,3
0.75,0.8500000000000001,0.8,1.5,100,ESPN,969.1,3
0.75,0.9,0.8,1.5,100,ESPN,1076.6,3
0.75,0.95,0.8,1.5,100,ESPN,1066.5,3
0.75,1,0.8,1.5,100,ESPN,1083.8,3
0.75,0.5,0.8500000000000001,1.5,100,ESPN,852,3
0.75,0.55,0.8500000000000001,1.5,100,ESPN,904.2,3
0.75,0.6,0.8500000000000001,1.5,100,ESPN,892.2,3
0.75,0.65,0.8500000000000001,1.5,100,ESPN,943.1,3
0.75,0.7,0.8500000000000001,1.5,100,ESPN,997.4,3
0.75,0.75,0.8500000000000001,1.5,100,ESPN,1047.5,3
0.75,0.8,0.8500000000000001,1.5,100,ESPN,1053,3
0.75,0.8500000000000001,0.8500000000000001,1.5,100,ESPN,1058.9,3
0.75,0.9,0.8500000000000001,1.5,100,ESPN,1065.4,3
0.75,0.95,0.8500000000000001,1.5,100,ESPN,1055.6,3
0.75,1,0.8500000000000001,1.5,100,ESPN,1098.6,3
0.75,0.5,0.9,1.5,100,ESPN,890.4,3
0.75,0.55,0.9,1.5,100,ESPN,913.7,3
0.75,0.6,0.9,1.5,100,ESPN,1000.6,3
0.75,0.65,0.9,1.5,100,ESPN,950.9,3
0.75,0.7,0.9,1.5,100,ESPN,1033.4,3
0.75,0.75,0.9,1.5,100,ESPN,1056.7,3
0.75,0.8,0.9,1.5,100,ESPN,1128.1,3
0.75,0.8500000000000001,0.9,1.5,100,ESPN,1127.3,3
0.75,0.9,0.9,1.5,100,ESPN,1094.4,3
0.75,0.95,0.9,1.5,100,ESPN,1122.1,3
0.75,1,0.9,1.5,100,ESPN,1159.4,3
0.75,0.5,0.95,1.5,100,ESPN,927.4,3
0.75,0.55,0.95,1.5,100,ESPN,975.3,3
0.75,0.6,0.95,1.5,100,ESPN,956.7,3
0.75,0.65,0.95,1.5,100,ESPN,1037.1,3
0.75,0.7,0.95,1.5,100,ESPN,1019.4,3
0.75,0.75,0.95,1.5,100,ESPN,1096.1,3
0.75,0.8,0.95,1.5,100,ESPN,1114.2,3
0.75,0.8500000000000001,0.95,1.5,100,ESPN,1129.5,3
0.75,0.9,0.95,1.5,100,ESPN,1213,3
0.75,0.95,0.95,1.5,100,ESPN,1174.8,3
0.75,1,0.95,1.5,100,ESPN,1206,3
0.75,0.5,1,1.5,100,ESPN,857.7,3
0.75,0.55,1,1.5,100,ESPN,923.1,3
0.75,0.6,1,1.5,100,ESPN,932.6,3
0.75,0.65,1,1.5,100,ESPN,1054.4,3
0.75,0.7,1,1.5,100,ESPN,1045.2,3
0.75,0.75,1,1.5,100,ESPN,1038.7,3
0.75,0.8,1,1.5,100,ESPN,1069.9,3
0.75,0.8500000000000001,1,1.5,100,ESPN,1108.8,3
0.75,0.9,1,1.5,100,ESPN,1120.1,3
0.75,0.95,1,1.5,100,ESPN,1147,3
0.75,1,1,1.5,100,ESPN,1087.6,3
0.75,0.5,0.5,2.5,100,ESPN,639,3
0.75,0.55,0.5,2.5,100,ESPN,653.9,3
0.75,0.6,0.5,2.5,100,ESPN,716.2,3
0.75,0.65,0.5,2.5,100,ESPN,755.8,3
0.75,0.7,0.5,2.5,100,ESPN,796.6,3
0.75,0.75,0.5,2.5,100,ESPN,838,3
0.75,0.8,0.5,2.5,100,ESPN,866.1,3
0.75,0.8500000000000001,0.5,2.5,100,ESPN,901.9,3
0.75,0.9,0.5,2.5,100,ESPN,944.2,3
0.75,0.95,0.5,2.5,100,ESPN,929.8,3
0.75,1,0.5,2.5,100,ESPN,1027.2,3
0.75,0.5,0.55,2.5,100,ESPN,703.3,3
0.75,0.55,0.55,2.5,100,ESPN,684.6,3
0.75,0.6,0.55,2.5,100,ESPN,708.2,3
0.75,0.65,0.55,2.5,100,ESPN,807.1,3
0.75,0.7,0.55,2.5,100,ESPN,821.7,3
0.75,0.75,0.55,2.5,100,ESPN,832.7,3
0.75,0.8,0.55,2.5,100,ESPN,855.8,3
0.75,0.8500000000000001,0.55,2.5,100,ESPN,942.3,3
0.75,0.9,0.55,2.5,100,ESPN,981.5,3
0.75,0.95,0.55,2.5,100,ESPN,990.1,3
0.75,1,0.55,2.5,100,ESPN,1054.8,3
0.75,0.5,0.6,2.5,100,ESPN,679.8,3
0.75,0.55,0.6,2.5,100,ESPN,745.5,3
0.75,0.6,0.6,2.5,100,ESPN,750.2,3
0.75,0.65,0.6,2.5,100,ESPN,793.4,3
0.75,0.7,0.6,2.5,100,ESPN,843,3
0.75,0.75,0.6,2.5,100,ESPN,873.8,3
0.75,0.8,0.6,2.5,100,ESPN,953.2,3
0.75,0.8500000000000001,0.6,2.5,100,ESPN,921.9,3
0.75,0.9,0.6,2.5,100,ESPN,942.9,3
0.75,0.95,0.6,2.5,100,ESPN,1022.9,3
0.75,1,0.6,2.5,100,ESPN,1064.4,3
0.75,0.5,0.65,2.5,100,ESPN,708.3,3
0.75,0.55,0.65,2.5,100,ESPN,695.6,3
0.75,0.6,0.65,2.5,100,ESPN,809.9,3
0.75,0.65,0.65,2.5,100,ESPN,820.2,3
0.75,0.7,0.65,2.5,100,ESPN,858.9,3
0.75,0.75,0.65,2.5,100,ESPN,907,3
0.75,0.8,0.65,2.5,100,ESPN,917.9,3
0.75,0.8500000000000001,0.65,2.5,100,ESPN,965.7,3
0.75,0.9,0.65,2.5,100,ESPN,978.4,3
0.75,0.95,0.65,2.5,100,ESPN,1087.7,3
0.75,1,0.65,2.5,100,ESPN,1082,3
0.75,0.5,0.7,2.5,100,ESPN,734.1,3
0.75,0.55,0.7,2.5,100,ESPN,783.9,3
0.75,0.6,0.7,2.5,100,ESPN,776.5,3
0.75,0.65,0.7,2.5,100,ESPN,814.8,3
0.75,0.7,0.7,2.5,100,ESPN,895.9,3
0.75,0.75,0.7,2.5,100,ESPN,915.1,3
0.75,0.8,0.7,2.5,100,ESPN,944,3
0.75,0.8500000000000001,0.7,2.5,100,ESPN,999.9,3
0.75,0.9,0.7,2.5,100,ESPN,1036.1,3
0.75,0.95,0.7,2.5,100,ESPN,1097.6,3
0.75,1,0.7,2.5,100,ESPN,1094.4,3
0.75,0.5,0.75,2.5,100,ESPN,743.6,3
0.75,0.55,0.75,2.5,100,ESPN,773.3,3
0.75,0.6,0.75,2.5,100,ESPN,833.3,3
0.75,0.65,0.75,2.5,100,ESPN,860.2,3
0.75,0.7,0.75,2.5,100,ESPN,875.5,3
0.75,0.75,0.75,2.5,100,ESPN,919.4,3
0.75,0.8,0.75,2.5,100,ESPN,1038.4,3
0.75,0.8500000000000001,0.75,2.5,100,ESPN,1073.3,3
0.75,0.9,0.75,2.5,100,ESPN,1067.6,3
0.75,0.95,0.75,2.5,100,ESPN,1069.2,3
0.75,1,0.75,2.5,100,ESPN,1104,3
0.75,0.5,0.8,2.5,100,ESPN,742,3
0.75,0.55,0.8,2.5,100,ESPN,821.9,3
0.75,0.6,0.8,2.5,100,ESPN,849.2,3
0.75,0.65,0.8,2.5,100,ESPN,876.6,3
0.75,0.7,0.8,2.5,100,ESPN,932.1,3
0.75,0.75,0.8,2.5,100,ESPN,1011.7,3
0.75,0.8,0.8,2.5,100,ESPN,985.4,3
0.75,0.8500000000000001,0.8,2.5,100,ESPN,1037.6,3
0.75,0.9,0.8,2.5,100,ESPN,1073.4,3
0.75,0.95,0.8,2.5,100,ESPN,1064.6,3
0.75,1,0.8,2.5,100,ESPN,1111.2,3
0.75,0.5,0.8500000000000001,2.5,100,ESPN,769.9,3
0.75,0.55,0.8500000000000001,2.5,100,ESPN,766.9,3
0.75,0.6,0.8500000000000001,2.5,100,ESPN,861.6,3
0.75,0.65,0.8500000000000001,2.5,100,ESPN,878.9,3
0.75,0.7,0.8500000000000001,2.5,100,ESPN,940.6,3
0.75,0.75,0.8500000000000001,2.5,100,ESPN,987.7,3
0.75,0.8,0.8500000000000001,2.5,100,ESPN,996,3
0.75,0.8500000000000001,0.8500000000000001,2.5,100,ESPN,1069.1,3
0.75,0.9,0.8500000000000001,2.5,100,ESPN,1106.1,3
0.75,0.95,0.8500000000000001,2.5,100,ESPN,1101.4,3
0.75,1,0.8500000000000001,2.5,100,ESPN,1154.8,3
0.75,0.5,0.9,2.5,100,ESPN,766.6,3
0.75,0.55,0.9,2.5,100,ESPN,877.5,3
0.75,0.6,0.9,2.5,100,ESPN,862.5,3
0.75,0.65,0.9,2.5,100,ESPN,905.5,3
0.75,0.7,0.9,2.5,100,ESPN,933,3
0.75,0.75,0.9,2.5,100,ESPN,975.6,3
0.75,0.8,0.9,2.5,100,ESPN,1056.4,3
0.75,0.8500000000000001,0.9,2.5,100,ESPN,1106.2,3
0.75,0.9,0.9,2.5,100,ESPN,1168.5,3
0.75,0.95,0.9,2.5,100,ESPN,1186.9,3
0.75,1,0.9,2.5,100,ESPN,1171.2,3
0.75,0.5,0.95,2.5,100,ESPN,752.7,3
0.75,0.55,0.95,2.5,100,ESPN,832.5,3
0.75,0.6,0.95,2.5,100,ESPN,864.9,3
0.75,0.65,0.95,2.5,100,ESPN,941,3
0.75,0.7,0.95,2.5,100,ESPN,969.1,3
0.75,0.75,0.95,2.5,100,ESPN,983.8,3
0.75,0.8,0.95,2.5,100,ESPN,1091.8,3
0.75,0.8500000000000001,0.95,2.5,100,ESPN,1071.1,3
0.75,0.9,0.95,2.5,100,ESPN,1120.6,3
0.75,0.95,0.95,2.5,100,ESPN,1187.5,3
0.75,1,0.95,2.5,100,ESPN,1076.8,3
0.75,0.5,1,2.5,100,ESPN,796.2,3
0.75,0.55,1,2.5,100,ESPN,818.5,3
0.75,0.6,1,2.5,100,ESPN,889.2,3
0.75,0.65,1,2.5,100,ESPN,883.9,3
0.75,0.7,1,2.5,100,ESPN,985.9,3
0.75,0.75,1,2.5,100,ESPN,1012.1,3
0.75,0.8,1,2.5,100,ESPN,1047.1,3
0.75,0.8500000000000001,1,2.5,100,ESPN,1112.4,3
0.75,0.9,1,2.5,100,ESPN,1113.5,3
0.75,0.95,1,2.5,100,ESPN,1123.7,3
0.75,1,1,2.5,100,ESPN,996.4,3
0.75,0.5,0.5,3.5,100,ESPN,657.4,3
0.75,0.55,0.5,3.5,100,ESPN,715.5,3
0.75,0.6,0.5,3.5,100,ESPN,726.9,3
0.75,0.65,0.5,3.5,100,ESPN,799,3
0.75,0.7,0.5,3.5,100,ESPN,812.4,3
0.75,0.75,0.5,3.5,100,ESPN,887.2,3
0.75,0.8,0.5,3.5,100,ESPN,941.7,3
0.75,0.8500000000000001,0.5,3.5,100,ESPN,976.9,3
0.75,0.9,0.5,3.5,100,ESPN,1023.8,3
0.75,0.95,0.5,3.5,100,ESPN,1063.2,3
0.75,1,0.5,3.5,100,ESPN,1059.2,3
0.75,0.5,0.55,3.5,100,ESPN,662.3,3
0.75,0.55,0.55,3.5,100,ESPN,732.1,3
0.75,0.6,0.55,3.5,100,ESPN,763.4,3
0.75,0.65,0.55,3.5,100,ESPN,795,3
0.75,0.7,0.55,3.5,100,ESPN,806.9,3
0.75,0.75,0.55,3.5,100,ESPN,939.1,3
0.75,0.8,0.55,3.5,100,ESPN,922.9,3
0.75,0.8500000000000001,0.55,3.5,100,ESPN,1015,3
0.75,0.9,0.55,3.5,100,ESPN,1005.8,3
0.75,0.95,0.55,3.5,100,ESPN,1026.8,3
0.75,1,0.55,3.5,100,ESPN,1141.2,3
0.75,0.5,0.6,3.5,100,ESPN,644.7,3
0.75,0.55,0.6,3.5,100,ESPN,704.1,3
0.75,0.6,0.6,3.5,100,ESPN,740.5,3
0.75,0.65,0.6,3.5,100,ESPN,809,3
0.75,0.7,0.6,3.5,100,ESPN,874.4,3
0.75,0.75,0.6,3.5,100,ESPN,910.2,3
0.75,0.8,0.6,3.5,100,ESPN,962.5,3
0.75,0.8500000000000001,0.6,3.5,100,ESPN,1006.6,3
0.75,0.9,0.6,3.5,100,ESPN,1059.8,3
0.75,0.95,0.6,3.5,100,ESPN,1113.4,3
0.75,1,0.6,3.5,100,ESPN,1110.4,3
0.75,0.5,0.65,3.5,100,ESPN,663.9,3
0.75,0.55,0.65,3.5,100,ESPN,745.9,3
0.75,0.6,0.65,3.5,100,ESPN,768.6,3
0.75,0.65,0.65,3.5,100,ESPN,817.7,3
0.75,0.7,0.65,3.5,100,ESPN,881.2,3
0.75,0.75,0.65,3.5,100,ESPN,909.7,3
0.75,0.8,0.65,3.5,100,ESPN,973.8,3
0.75,0.8500000000000001,0.65,3.5,100,ESPN,1083.5,3
0.75,0.9,0.65,3.5,100,ESPN,1083,3
0.75,0.95,0.65,3.5,100,ESPN,1163.8,3
0.75,1,0.65,3.5,100,ESPN,1109.6,3
0.75,0.5,0.7,3.5,100,ESPN,710.9,3
0.75,0.55,0.7,3.5,100,ESPN,729,3
0.75,0.6,0.7,3.5,100,ESPN,792.1,3
0.75,0.65,0.7,3.5,100,ESPN,813.1,3
0.75,0.7,0.7,3.5,100,ESPN,864.7,3
0.75,0.75,0.7,3.5,100,ESPN,940.6,3
0.75,0.8,0.7,3.5,100,ESPN,987.4,3
0.75,0.8500000000000001,0.7,3.5,100,ESPN,991.8,3
0.75,0.9,0.7,3.5,100,ESPN,1059.1,3
0.75,0.95,0.7,3.5,100,ESPN,1113.5,3
0.75,1,0.7,3.5,100,ESPN,1190,3
0.75,0.5,0.75,3.5,100,ESPN,698.9,3
0.75,0.55,0.75,3.5,100,ESPN,744.4,3
0.75,0.6,0.75,3.5,100,ESPN,850,3
