p,qE,qL,q_cutoff,n,scoring_method,eMaxScore,fold
0.75,0.75,0.9,1.5,1,ESPN,642.7,1
0.75,0.8,0.9,1.5,1,ESPN,691.6,1
0.75,0.8500000000000001,0.9,1.5,1,ESPN,611.9,1
0.75,0.9,0.9,1.5,1,ESPN,605,1
0.75,0.95,0.9,1.5,1,ESPN,543.6,1
0.75,1,0.9,1.5,1,ESPN,737.7,1
0.75,0.5,0.95,1.5,1,ESPN,583.2,1
0.75,0.55,0.95,1.5,1,ESPN,518.8,1
0.75,0.6,0.95,1.5,1,ESPN,383.7,1
0.75,0.65,0.95,1.5,1,ESPN,466.3,1
0.75,0.7,0.95,1.5,1,ESPN,560.4,1
0.75,0.75,0.95,1.5,1,ESPN,687.9,1
0.75,0.8,0.95,1.5,1,ESPN,632,1
0.75,0.8500000000000001,0.95,1.5,1,ESPN,609.5,1
0.75,0.9,0.95,1.5,1,ESPN,721.5,1
0.75,0.95,0.95,1.5,1,ESPN,701.6,1
0.75,1,0.95,1.5,1,ESPN,724,1
0.75,0.5,1,1.5,1,ESPN,522.2,1
0.75,0.55,1,1.5,1,ESPN,698.8,1
0.75,0.6,1,1.5,1,ESPN,622.1,1
0.75,0.65,1,1.5,1,ESPN,583.6,1
0.75,0.7,1,1.5,1,ESPN,543.7,1
0.75,0.75,1,1.5,1,ESPN,654.3,1
0.75,0.8,1,1.5,1,ESPN,595.8,1
0.75,0.8500000000000001,1,1.5,1,ESPN,807.1,1
0.75,0.9,1,1.5,1,ESPN,764.8,1
0.75,0.95,1,1.5,1,ESPN,823.5,1
0.75,1,1,1.5,1,ESPN,856.1,1
0.75,0.5,0.5,2.5,1,ESPN,244.5,1
0.75,0.55,0.5,2.5,1,ESPN,425.2,1
0.75,0.6,0.5,2.5,1,ESPN,423.6,1
0.75,0.65,0.5,2.5,1,ESPN,508.6,1
0.75,0.7,0.5,2.5,1,ESPN,331.6,1
0.75,0.75,0.5,2.5,1,ESPN,385.3,1
0.75,0.8,0.5,2.5,1,ESPN,535.9,1
0.75,0.8500000000000001,0.5,2.5,1,ESPN,435.3,1
0.75,0.9,0.5,2.5,1,ESPN,610.2,1
0.75,0.95,0.5,2.5,1,ESPN,661.4,1
0.75,1,0.5,2.5,1,ESPN,589.9,1
0.75,0.5,0.55,2.5,1,ESPN,347.3,1
0.75,0.55,0.55,2.5,1,ESPN,391.6,1
0.75,0.6,0.55,2.5,1,ESPN,327.7,1
0.75,0.65,0.55,2.5,1,ESPN,499.8,1
0.75,0.7,0.55,2.5,1,ESPN,396.3,1
0.75,0.75,0.55,2.5,1,ESPN,472.7,1
0.75,0.8,0.55,2.5,1,ESPN,525,1
0.75,0.8500000000000001,0.55,2.5,1,ESPN,450.8,1
0.75,0.9,0.55,2.5,1,ESPN,564.4,1
0.75,0.95,0.55,2.5,1,ESPN,704.7,1
0.75,1,0.55,2.5,1,ESPN,598.9,1
0.75,0.5,0.6,2.5,1,ESPN,335.3,1
0.75,0.55,0.6,2.5,1,ESPN,343.1,1
0.75,0.6,0.6,2.5,1,ESPN,449.5,1
0.75,0.65,0.6,2.5,1,ESPN,437.7,1
0.75,0.7,0.6,2.5,1,ESPN,441.3,1
0.75,0.75,0.6,2.5,1,ESPN,488.1,1
0.75,0.8,0.6,2.5,1,ESPN,389.2,1
0.75,0.8500000000000001,0.6,2.5,1,ESPN,632.4,1
0.75,0.9,0.6,2.5,1,ESPN,639.2,1
0.75,0.95,0.6,2.5,1,ESPN,593.6,1
0.75,1,0.6,2.5,1,ESPN,613.5,1
0.75,0.5,0.65,2.5,1,ESPN,374.3,1
0.75,0.55,0.65,2.5,1,ESPN,355.7,1
0.75,0.6,0.65,2.5,1,ESPN,401.1,1
0.75,0.65,0.65,2.5,1,ESPN,371.4,1
0.75,0.7,0.65,2.5,1,ESPN,335.7,1
0.75,0.75,0.65,2.5,1,ESPN,579.2,1
0.75,0.8,0.65,2.5,1,ESPN,480.9,1
0.75,0.8500000000000001,0.65,2.5,1,ESPN,570.9,1
0.75,0.9,0.65,2.5,1,ESPN,652.8,1
0.75,0.95,0.65,2.5,1,ESPN,502.5,1
0.75,1,0.65,2.5,1,ESPN,538.3,1
0.75,0.5,0.7,2.5,1,ESPN,374.4,1
0.75,0.55,0.7,2.5,1,ESPN,311.2,1
0.75,0.6,0.7,2.5,1,ESPN,574.9,1
0.75,0.65,0.7,2.5,1,ESPN,432.7,1
0.75,0.7,0.7,2.5,1,ESPN,526.2,1
0.75,0.75,0.7,2.5,1,ESPN,582.1,1
0.75,0.8,0.7,2.5,1,ESPN,512,1
0.75,0.8500000000000001,0.7,2.5,1,ESPN,583.2,1
0.75,0.9,0.7,2.5,1,ESPN,606,1
0.75,0.95,0.7,2.5,1,ESPN,669.7,1
0.75,1,0.7,2.5,1,ESPN,616.7,1
0.75,0.5,0.75,2.5,1,ESPN,381.2,1
0.75,0.55,0.75,2.5,1,ESPN,395.2,1
0.75,0.6,0.75,2.5,1,ESPN,332,1
0.75,0.65,0.75,2.5,1,ESPN,344,1
0.75,0.7,0.75,2.5,1,ESPN,564.2,1
0.75,0.75,0.75,2.5,1,ESPN,508.8,1
0.75,0.8,0.75,2.5,1,ESPN,622.3,1
0.75,0.8500000000000001,0.75,2.5,1,ESPN,587,1
0.75,0.9,0.75,2.5,1,ESPN,510.2,1
0.75,0.95,0.75,2.5,1,ESPN,704.3,1
0.75,1,0.75,2.5,1,ESPN,741,1
0.75,0.5,0.8,2.5,1,ESPN,407.3,1
0.75,0.55,0.8,2.5,1,ESPN,448,1
0.75,0.6,0.8,2.5,1,ESPN,285.4,1
0.75,0.65,0.8,2.5,1,ESPN,442.1,1
0.75,0.7,0.8,2.5,1,ESPN,396.6,1
0.75,0.75,0.8,2.5,1,ESPN,452.9,1
0.75,0.8,0.8,2.5,1,ESPN,457.2,1
0.75,0.8500000000000001,0.8,2.5,1,ESPN,555.9,1
0.75,0.9,0.8,2.5,1,ESPN,556.7,1
0.75,0.95,0.8,2.5,1,ESPN,637.4,1
0.75,1,0.8,2.5,1,ESPN,578.1,1
0.75,0.5,0.8500000000000001,2.5,1,ESPN,419.9,1
0.75,0.55,0.8500000000000001,2.5,1,ESPN,517.9,1
0.75,0.6,0.8500000000000001,2.5,1,ESPN,503.7,1
0.75,0.65,0.8500000000000001,2.5,1,ESPN,458.7,1
0.75,0.7,0.8500000000000001,2.5,1,ESPN,481,1
0.75,0.75,0.8500000000000001,2.5,1,ESPN,545.7,1
0.75,0.8,0.8500000000000001,2.5,1,ESPN,533.8,1
0.75,0.8500000000000001,0.8500000000000001,2.5,1,ESPN,507.2,1
0.75,0.9,0.8500000000000001,2.5,1,ESPN,618.3,1
0.75,0.95,0.8500000000000001,2.5,1,ESPN,628.9,1
0.75,1,0.8500000000000001,2.5,1,ESPN,719.4,1
0.75,0.5,0.9,2.5,1,ESPN,325.1,1
0.75,0.55,0.9,2.5,1,ESPN,342.5,1
0.75,0.6,0.9,2.5,1,ESPN,509.5,1
0.75,0.65,0.9,2.5,1,ESPN,401.9,1
0.75,0.7,0.9,2.5,1,ESPN,554.4,1
0.75,0.75,0.9,2.5,1,ESPN,424.8,1
0.75,0.8,0.9,2.5,1,ESPN,490.7,1
0.75,0.8500000000000001,0.9,2.5,1,ESPN,571.1,1
0.75,0.9,0.9,2.5,1,ESPN,681.3,1
0.75,0.95,0.9,2.5,1,ESPN,678,1
0.75,1,0.9,2.5,1,ESPN,804.2,1
0.75,0.5,0.95,2.5,1,ESPN,393.7,1
0.75,0.55,0.95,2.5,1,ESPN,415,1
0.75,0.6,0.95,2.5,1,ESPN,567.1,1
0.75,0.65,0.95,2.5,1,ESPN,471.5,1
0.75,0.7,0.95,2.5,1,ESPN,464.3,1
0.75,0.75,0.95,2.5,1,ESPN,546.6,1
0.75,0.8,0.95,2.5,1,ESPN,694.5,1
0.75,0.8500000000000001,0.95,2.5,1,ESPN,660.3,1
