p,qE,qL,q_cutoff,n,scoring_method,eMaxHammingScore,fold
0.75,0.7,0.9,1.5,1,Hamming,31.66,1
0.75,0.75,0.9,1.5,1,Hamming,30.72,1
0.75,0.8,0.9,1.5,1,Hamming,35.57,1
0.75,0.8500000000000001,0.9,1.5,1,Hamming,32.22,1
0.75,0.9,0.9,1.5,1,Hamming,33.46,1
0.75,0.95,0.9,1.5,1,Hamming,33.51,1
0.75,1,0.9,1.5,1,Hamming,37.06,1
0.75,0.5,0.95,1.5,1,Hamming,26.64,1
0.75,0.55,0.95,1.5,1,Hamming,27.29,1
0.75,0.6,0.95,1.5,1,Hamming,24.54,1
0.75,0.65,0.95,1.5,1,Hamming,29.01,1
0.75,0.7,0.95,1.5,1,Hamming,31.06,1
0.75,0.75,0.95,1.5,1,Hamming,33.08,1
0.75,0.8,0.95,1.5,1,Hamming,30.19,1
0.75,0.8500000000000001,0.95,1.5,1,Hamming,32.96,1
0.75,0.9,0.95,1.5,1,Hamming,35.77,1
0.75,0.95,0.95,1.5,1,Hamming,36.97,1
0.75,1,0.95,1.5,1,Hamming,37.74,1
0.75,0.5,1,1.5,1,Hamming,25.12,1
0.75,0.55,1,1.5,1,Hamming,30.44,1
0.75,0.6,1,1.5,1,Hamming,28.21,1
0.75,0.65,1,1.5,1,Hamming,30.24,1
0.75,0.7,1,1.5,1,Hamming,28.86,1
0.75,0.75,1,1.5,1,Hamming,33.02,1
0.75,0.8,1,1.5,1,Hamming,32.65,1
0.75,0.8500000000000001,1,1.5,1,Hamming,37.05,1
0.75,0.9,1,1.5,1,Hamming,36.62,1
0.75,0.95,1,1.5,1,Hamming,38.12,1
0.75,1,1,1.5,1,Hamming,39.17,1
0.75,0.5,0.5,2.5,1,Hamming,18.69,1
0.75,0.55,0.5,2.5,1,Hamming,25.52,1
0.75,0.6,0.5,2.5,1,Hamming,21.99,1
0.75,0.65,0.5,2.5,1,Hamming,26.9,1
0.75,0.7,0.5,2.5,1,Hamming,22.86,1
0.75,0.75,0.5,2.5,1,Hamming,25.8,1
0.75,0.8,0.5,2.5,1,Hamming,32.68,1
0.75,0.8500000000000001,0.5,2.5,1,Hamming,27.56,1
0.75,0.9,0.5,2.5,1,Hamming,35.19,1
0.75,0.95,0.5,2.5,1,Hamming,35.84,1
0.75,1,0.5,2.5,1,Hamming,35.73,1
0.75,0.5,0.55,2.5,1,Hamming,21.51,1
0.75,0.55,0.55,2.5,1,Hamming,23.23,1
0.75,0.6,0.55,2.5,1,Hamming,23.44,1
0.75,0.65,0.55,2.5,1,Hamming,28.8,1
0.75,0.7,0.55,2.5,1,Hamming,24.88,1
0.75,0.75,0.55,2.5,1,Hamming,27.15,1
0.75,0.8,0.55,2.5,1,Hamming,30.87,1
0.75,0.8500000000000001,0.55,2.5,1,Hamming,31.03,1
0.75,0.9,0.55,2.5,1,Hamming,33.6,1
0.75,0.95,0.55,2.5,1,Hamming,36.39,1
0.75,1,0.55,2.5,1,Hamming,35.76,1
0.75,0.5,0.6,2.5,1,Hamming,22.08,1
0.75,0.55,0.6,2.5,1,Hamming,24.48,1
0.75,0.6,0.6,2.5,1,Hamming,25.19,1
0.75,0.65,0.6,2.5,1,Hamming,26.68,1
0.75,0.7,0.6,2.5,1,Hamming,28.24,1
0.75,0.75,0.6,2.5,1,Hamming,32.39,1
0.75,0.8,0.6,2.5,1,Hamming,26.24,1
0.75,0.8500000000000001,0.6,2.5,1,Hamming,32.87,1
0.75,0.9,0.6,2.5,1,Hamming,33.97,1
0.75,0.95,0.6,2.5,1,Hamming,35.77,1
0.75,1,0.6,2.5,1,Hamming,36.61,1
0.75,0.5,0.65,2.5,1,Hamming,25.98,1
0.75,0.55,0.65,2.5,1,Hamming,22.52,1
0.75,0.6,0.65,2.5,1,Hamming,21.7,1
0.75,0.65,0.65,2.5,1,Hamming,26.91,1
0.75,0.7,0.65,2.5,1,Hamming,23.88,1
0.75,0.75,0.65,2.5,1,Hamming,31.78,1
0.75,0.8,0.65,2.5,1,Hamming,29.49,1
0.75,0.8500000000000001,0.65,2.5,1,Hamming,32.9,1
0.75,0.9,0.65,2.5,1,Hamming,36.32,1
0.75,0.95,0.65,2.5,1,Hamming,34.11,1
0.75,1,0.65,2.5,1,Hamming,34.57,1
0.75,0.5,0.7,2.5,1,Hamming,24.41,1
0.75,0.55,0.7,2.5,1,Hamming,21.68,1
0.75,0.6,0.7,2.5,1,Hamming,28.4,1
0.75,0.65,0.7,2.5,1,Hamming,25.46,1
0.75,0.7,0.7,2.5,1,Hamming,29.47,1
0.75,0.75,0.7,2.5,1,Hamming,33.16,1
0.75,0.8,0.7,2.5,1,Hamming,31.24,1
0.75,0.8500000000000001,0.7,2.5,1,Hamming,34.02,1
0.75,0.9,0.7,2.5,1,Hamming,34.05,1
0.75,0.95,0.7,2.5,1,Hamming,34.92,1
0.75,1,0.7,2.5,1,Hamming,36.73,1
0.75,0.5,0.75,2.5,1,Hamming,23.92,1
0.75,0.55,0.75,2.5,1,Hamming,24.24,1
0.75,0.6,0.75,2.5,1,Hamming,20.81,1
0.75,0.65,0.75,2.5,1,Hamming,24.09,1
0.75,0.7,0.75,2.5,1,Hamming,30.42,1
0.75,0.75,0.75,2.5,1,Hamming,29.86,1
0.75,0.8,0.75,2.5,1,Hamming,31.32,1
0.75,0.8500000000000001,0.75,2.5,1,Hamming,32.1,1
0.75,0.9,0.75,2.5,1,Hamming,31.15,1
0.75,0.95,0.75,2.5,1,Hamming,37.07,1
0.75,1,0.75,2.5,1,Hamming,36.98,1
0.75,0.5,0.8,2.5,1,Hamming,24.53,1
0.75,0.55,0.8,2.5,1,Hamming,23.71,1
0.75,0.6,0.8,2.5,1,Hamming,20.91,1
0.75,0.65,0.8,2.5,1,Hamming,28.92,1
0.75,0.7,0.8,2.5,1,Hamming,25.62,1
0.75,0.75,0.8,2.5,1,Hamming,28.33,1
0.75,0.8,0.8,2.5,1,Hamming,30.07,1
0.75,0.8500000000000001,0.8,2.5,1,Hamming,30.75,1
0.75,0.9,0.8,2.5,1,Hamming,33.32,1
0.75,0.95,0.8,2.5,1,Hamming,34.84,1
0.75,1,0.8,2.5,1,Hamming,35.86,1
0.75,0.5,0.8500000000000001,2.5,1,Hamming,20.56,1
0.75,0.55,0.8500000000000001,2.5,1,Hamming,23.72,1
0.75,0.6,0.8500000000000001,2.5,1,Hamming,26.13,1
0.75,0.65,0.8500000000000001,2.5,1,Hamming,28.52,1
0.75,0.7,0.8500000000000001,2.5,1,Hamming,28.65,1
0.75,0.75,0.8500000000000001,2.5,1,Hamming,31.56,1
0.75,0.8,0.8500000000000001,2.5,1,Hamming,31.95,1
0.75,0.8500000000000001,0.8500000000000001,2.5,1,Hamming,30.16,1
0.75,0.9,0.8500000000000001,2.5,1,Hamming,34.78,1
0.75,0.95,0.8500000000000001,2.5,1,Hamming,33.32,1
0.75,1,0.8500000000000001,2.5,1,Hamming,37.77,1
0.75,0.5,0.9,2.5,1,Hamming,22.44,1
0.75,0.55,0.9,2.5,1,Hamming,21.67,1
0.75,0.6,0.9,2.5,1,Hamming,25.48,1
