p,q,n,scoring_method,eMaxHammingScore,fold
0.8,1,10,Hamming,45.02,1
0.9,1,10,Hamming,54.01,1
1,1,10,Hamming,63,1
0.5,0,100,Hamming,29.23,1
0.6,0,100,Hamming,22.9,1
0.7,0,100,Hamming,17.48,1
0.8,0,100,Hamming,12.52,1
0.9,0,100,Hamming,7.16,1
1,0,100,Hamming,0,1
0.5,0.1,100,Hamming,30.86,1
0.6,0.1,100,Hamming,27.23,1
0.7,0.1,100,Hamming,22.12,1
0.8,0.1,100,Hamming,18.46,1
0.9,0.1,100,Hamming,13.09,1
1,0.1,100,Hamming,8,1
0.5,0.2,100,Hamming,31.61,1
0.6,0.2,100,Hamming,27.66,1
0.7,0.2,100,Hamming,23.62,1
0.8,0.2,100,Hamming,21.01,1
0.9,0.2,100,Hamming,16.87,1
1,0.2,100,Hamming,12,1
0.5,0.30000000000000004,100,Hamming,30.61,1
0.6,0.30000000000000004,100,Hamming,28.29,1
0.7,0.30000000000000004,100,Hamming,25.76,1
0.8,0.30000000000000004,100,Hamming,23.69,1
0.9,0.30000000000000004,100,Hamming,21.54,1
1,0.30000000000000004,100,Hamming,21,1
0.5,0.4,100,Hamming,30.51,1
0.6,0.4,100,Hamming,29.33,1
0.7,0.4,100,Hamming,28.71,1
0.8,0.4,100,Hamming,26.88,1
0.9,0.4,100,Hamming,26.14,1
1,0.4,100,Hamming,25,1
0.5,0.5,100,Hamming,30.4,1
0.6,0.5,100,Hamming,30.69,1
0.7,0.5,100,Hamming,30.02,1
0.8,0.5,100,Hamming,30.09,1
0.9,0.5,100,Hamming,30.36,1
1,0.5,100,Hamming,30,1
0.5,0.6000000000000001,100,Hamming,30.29,1
0.6,0.6000000000000001,100,Hamming,31.75,1
0.7,0.6000000000000001,100,Hamming,33.28,1
0.8,0.6000000000000001,100,Hamming,35.09,1
0.9,0.6000000000000001,100,Hamming,36.74,1
1,0.6000000000000001,100,Hamming,39,1
0.5,0.7000000000000001,100,Hamming,31.21,1
0.6,0.7000000000000001,100,Hamming,34.05,1
0.7,0.7000000000000001,100,Hamming,36.28,1
0.8,0.7000000000000001,100,Hamming,38.06,1
0.9,0.7000000000000001,100,Hamming,39.6,1
1,0.7000000000000001,100,Hamming,43,1
0.5,0.8,100,Hamming,32.11,1
0.6,0.8,100,Hamming,35.68,1
0.7,0.8,100,Hamming,39.23,1
0.8,0.8,100,Hamming,44.64,1
0.9,0.8,100,Hamming,47.26,1
1,0.8,100,Hamming,49,1
0.5,0.9,100,Hamming,30.89,1
0.6,0.9,100,Hamming,37.26,1
0.7,0.9,100,Hamming,42.03,1
0.8,0.9,100,Hamming,47.47,1
0.9,0.9,100,Hamming,54.16,1
1,0.9,100,Hamming,58,1
0.5,1,100,Hamming,28.37,1
0.6,1,100,Hamming,35.65,1
0.7,1,100,Hamming,41.44,1
0.8,1,100,Hamming,48.96,1
0.9,1,100,Hamming,57.26,1
1,1,100,Hamming,63,1
0.5,0,1000,Hamming,35.88,1
0.6,0,1000,Hamming,28.76,1
0.7,0,1000,Hamming,23.92,1
0.8,0,1000,Hamming,16.72,1
0.9,0,1000,Hamming,10.8,1
1,0,1000,Hamming,0,1
0.5,0.1,1000,Hamming,38.39,1
0.6,0.1,1000,Hamming,33.5,1
0.7,0.1,1000,Hamming,27.78,1
0.8,0.1,1000,Hamming,23.13,1
0.9,0.1,1000,Hamming,17.83,1
1,0.1,1000,Hamming,12,1
0.5,0.2,1000,Hamming,36.95,1
0.6,0.2,1000,Hamming,33.61,1
0.7,0.2,1000,Hamming,29.81,1
0.8,0.2,1000,Hamming,25.02,1
0.9,0.2,1000,Hamming,21.83,1
1,0.2,1000,Hamming,19,1
0.5,0.30000000000000004,1000,Hamming,35.79,1
0.6,0.30000000000000004,1000,Hamming,33.02,1
0.7,0.30000000000000004,1000,Hamming,30.21,1
0.8,0.30000000000000004,1000,Hamming,27.55,1
0.9,0.30000000000000004,1000,Hamming,25.27,1
1,0.30000000000000004,1000,Hamming,21,1
0.5,0.4,1000,Hamming,33.38,1
0.6,0.4,1000,Hamming,32.38,1
0.7,0.4,1000,Hamming,31.47,1
0.8,0.4,1000,Hamming,30.13,1
0.9,0.4,1000,Hamming,27.85,1
1,0.4,1000,Hamming,27,1
0.5,0.5,1000,Hamming,32.79,1
0.6,0.5,1000,Hamming,32.95,1
0.7,0.5,1000,Hamming,32.73,1
0.8,0.5,1000,Hamming,32.75,1
0.9,0.5,1000,Hamming,32.45,1
1,0.5,1000,Hamming,31,1
0.5,0.6000000000000001,1000,Hamming,33.94,1
0.6,0.6000000000000001,1000,Hamming,34.76,1
0.7,0.6000000000000001,1000,Hamming,36.25,1
0.8,0.6000000000000001,1000,Hamming,36.55,1
0.9,0.6000000000000001,1000,Hamming,37.52,1
1,0.6000000000000001,1000,Hamming,38,1
0.5,0.7000000000000001,1000,Hamming,36.24,1
0.6,0.7000000000000001,1000,Hamming,37.84,1
0.7,0.7000000000000001,1000,Hamming,39.77,1
0.8,0.7000000000000001,1000,Hamming,41.81,1
0.9,0.7000000000000001,1000,Hamming,45.01,1
1,0.7000000000000001,1000,Hamming,46,1
0.5,0.8,1000,Hamming,37.7,1
0.6,0.8,1000,Hamming,41.06,1
0.7,0.8,1000,Hamming,44.02,1
0.8,0.8,1000,Hamming,48.31,1
0.9,0.8,1000,Hamming,50.84,1
1,0.8,1000,Hamming,53,1
0.5,0.9,1000,Hamming,37.75,1
0.6,0.9,1000,Hamming,42.27,1
0.7,0.9,1000,Hamming,49.14,1
0.8,0.9,1000,Hamming,53.73,1
0.9,0.9,1000,Hamming,57.66,1
1,0.9,1000,Hamming,60,1
0.5,1,1000,Hamming,35,1
0.6,1,1000,Hamming,42.9,1
0.7,1,1000,Hamming,49.24,1
0.8,1,1000,Hamming,55.39,1
0.9,1,1000,Hamming,61.01,1
1,1,1000,Hamming,63,1
0.5,0,10000,Hamming,44.33,1
0.6,0,10000,Hamming,39.4,1
0.7,0,10000,Hamming,31.44,1
0.8,0,10000,Hamming,24.72,1
0.9,0,10000,Hamming,17.68,1
1,0,10000,Hamming,0,1
0.5,0.1,10000,Hamming,45.67,1
0.6,0.1,10000,Hamming,42.04,1
0.7,0.1,10000,Hamming,36.46,1
0.8,0.1,10000,Hamming,31.71,1
0.9,0.1,10000,Hamming,25.16,1
1,0.1,10000,Hamming,11,1
0.5,0.2,10000,Hamming,43.73,1
0.6,0.2,10000,Hamming,40.68,1
0.7,0.2,10000,Hamming,36.44,1
0.8,0.2,10000,Hamming,32.97,1
0.9,0.2,10000,Hamming,27.82,1
1,0.2,10000,Hamming,18,1
0.5,0.30000000000000004,10000,Hamming,41.15,1
0.6,0.30000000000000004,10000,Hamming,38.54,1
0.7,0.30000000000000004,10000,Hamming,36.27,1
0.8,0.30000000000000004,10000,Hamming,33.07,1
0.9,0.30000000000000004,10000,Hamming,29.28,1
1,0.30000000000000004,10000,Hamming,23,1
0.5,0.4,10000,Hamming,37.12,1
0.6,0.4,10000,Hamming,35.94,1
0.7,0.4,10000,Hamming,34.51,1
0.8,0.4,10000,Hamming,33.03,1
0.9,0.4,10000,Hamming,31.48,1
1,0.4,10000,Hamming,30,1
0.5,0.5,10000,Hamming,35.29,1
0.6,0.5,10000,Hamming,35.31,1
0.7,0.5,10000,Hamming,34.97,1
0.8,0.5,10000,Hamming,35.2,1
0.9,0.5,10000,Hamming,34.72,1
1,0.5,10000,Hamming,35,1
0.5,0.6000000000000001,10000,Hamming,37.38,1
0.6,0.6000000000000001,10000,Hamming,38.08,1
0.7,0.6000000000000001,10000,Hamming,38.65,1
0.8,0.6000000000000001,10000,Hamming,39.49,1
0.9,0.6000000000000001,10000,Hamming,41.3,1
1,0.6000000000000001,10000,Hamming,40,1
0.5,0.7000000000000001,10000,Hamming,41.02,1
0.6,0.7000000000000001,10000,Hamming,42.42,1
0.7,0.7000000000000001,10000,Hamming,44.49,1
0.8,0.7000000000000001,10000,Hamming,46.4,1
0.9,0.7000000000000001,10000,Hamming,46.73,1
1,0.7000000000000001,10000,Hamming,50,1
0.5,0.8,10000,Hamming,44.17,1
0.6,0.8,10000,Hamming,47.54,1
0.7,0.8,10000,Hamming,49.42,1
0.8,0.8,10000,Hamming,52.19,1
0.9,0.8,10000,Hamming,52.86,1
1,0.8,10000,Hamming,54,1
0.5,0.9,10000,Hamming,45.59,1
0.6,0.9,10000,Hamming,51.49,1
0.7,0.9,10000,Hamming,54.54,1
0.8,0.9,10000,Hamming,57.98,1
0.9,0.9,10000,Hamming,59.73,1
1,0.9,10000,Hamming,61,1
0.5,1,10000,Hamming,44.36,1
0.6,1,10000,Hamming,51.12,1
0.7,1,10000,Hamming,56.17,1
0.8,1,10000,Hamming,59.47,1
0.9,1,10000,Hamming,61.92,1
1,1,10000,Hamming,63,1
0.5,0,100000,Hamming,49.95,1
0.6,0,100000,Hamming,47.02,1
0.7,0,100000,Hamming,39.64,1
0.8,0,100000,Hamming,35.2,1
0.9,0,100000,Hamming,30.56,1
1,0,100000,Hamming,0,1
0.5,0.1,100000,Hamming,52.33,1
0.6,0.1,100000,Hamming,48.76,1
0.7,0.1,100000,Hamming,44.55,1
0.8,0.1,100000,Hamming,40.65,1
0.9,0.1,100000,Hamming,35.48,1
1,0.1,100000,Hamming,12,1
0.5,0.2,100000,Hamming,48.9,1
0.6,0.2,100000,Hamming,46.2,1
0.7,0.2,100000,Hamming,43.55,1
0.8,0.2,100000,Hamming,39.56,1
0.9,0.2,100000,Hamming,35.44,1
1,0.2,100000,Hamming,20,1
0.5,0.30000000000000004,100000,Hamming,44.75,1
0.6,0.30000000000000004,100000,Hamming,42.66,1
0.7,0.30000000000000004,100000,Hamming,41.03,1
0.8,0.30000000000000004,100000,Hamming,38.76,1
0.9,0.30000000000000004,100000,Hamming,36.24,1
1,0.30000000000000004,100000,Hamming,25,1
0.5,0.4,100000,Hamming,39.99,1
0.6,0.4,100000,Hamming,38.86,1
0.7,0.4,100000,Hamming,38.39,1
0.8,0.4,100000,Hamming,37,1
0.9,0.4,100000,Hamming,35.55,1
1,0.4,100000,Hamming,30,1
0.5,0.5,100000,Hamming,36.96,1
0.6,0.5,100000,Hamming,36.55,1
0.7,0.5,100000,Hamming,36.87,1
0.8,0.5,100000,Hamming,36.34,1
0.9,0.5,100000,Hamming,36.06,1
1,0.5,100000,Hamming,37,1
0.5,0.6000000000000001,100000,Hamming,40.37,1
0.6,0.6000000000000001,100000,Hamming,40.5,1
0.7,0.6000000000000001,100000,Hamming,41.04,1
0.8,0.6000000000000001,100000,Hamming,43.49,1
0.9,0.6000000000000001,100000,Hamming,43.02,1
1,0.6000000000000001,100000,Hamming,42,1
0.5,0.7000000000000001,100000,Hamming,44.55,1
0.6,0.7000000000000001,100000,Hamming,46.27,1
0.7,0.7000000000000001,100000,Hamming,47.16,1
0.8,0.7000000000000001,100000,Hamming,48.75,1
0.9,0.7000000000000001,100000,Hamming,48.9,1
1,0.7000000000000001,100000,Hamming,50,1
0.5,0.8,100000,Hamming,48.22,1
0.6,0.8,100000,Hamming,51.83,1
0.7,0.8,100000,Hamming,52.73,1
0.8,0.8,100000,Hamming,54.71,1
0.9,0.8,100000,Hamming,56.03,1
1,0.8,100000,Hamming,55,1
0.5,0.9,100000,Hamming,52.05,1
0.6,0.9,100000,Hamming,54.43,1
0.7,0.9,100000,Hamming,57.85,1
0.8,0.9,100000,Hamming,59.88,1
0.9,0.9,100000,Hamming,61.17,1
1,0.9,100000,Hamming,62,1
0.5,1,100000,Hamming,51.04,1
0.6,1,100000,Hamming,54.11,1
0.7,1,100000,Hamming,57.19,1
0.8,1,100000,Hamming,59.99,1
0.9,1,100000,Hamming,61.9,1
1,1,100000,Hamming,63,1
0.5,0,1,Hamming,21.23,2
0.6,0,1,Hamming,16.29,2
0.7,0,1,Hamming,11.5,2
0.8,0,1,Hamming,7.1,2
0.9,0,1,Hamming,3.15,2
1,0,1,Hamming,0,2
0.5,0.1,1,Hamming,21.14,2
0.6,0.1,1,Hamming,17.69,2
0.7,0.1,1,Hamming,12.34,2
0.8,0.1,1,Hamming,8.83,2
0.9,0.1,1,Hamming,6.48,2
1,0.1,1,Hamming,2,2
0.5,0.2,1,Hamming,21.11,2
0.6,0.2,1,Hamming,20.66,2
0.7,0.2,1,Hamming,15.38,2
0.8,0.2,1,Hamming,13.04,2
0.9,0.2,1,Hamming,8.4,2
1,0.2,1,Hamming,4,2
0.5,0.30000000000000004,1,Hamming,22.39,2
0.6,0.30000000000000004,1,Hamming,17.84,2
0.7,0.30000000000000004,1,Hamming,15.15,2
0.8,0.30000000000000004,1,Hamming,14.29,2
0.9,0.30000000000000004,1,Hamming,13.26,2
1,0.30000000000000004,1,Hamming,13,2
0.5,0.4,1,Hamming,21.18,2
0.6,0.4,1,Hamming,20.45,2
0.7,0.4,1,Hamming,20.94,2
0.8,0.4,1,Hamming,17.31,2
0.9,0.4,1,Hamming,14.76,2
1,0.4,1,Hamming,30,2
0.5,0.5,1,Hamming,21.52,2
0.6,0.5,1,Hamming,20.59,2
0.7,0.5,1,Hamming,23.92,2
0.8,0.5,1,Hamming,24.18,2
0.9,0.5,1,Hamming,20.9,2
1,0.5,1,Hamming,17,2
0.5,0.6000000000000001,1,Hamming,20.58,2
0.6,0.6000000000000001,1,Hamming,22.65,2
0.7,0.6000000000000001,1,Hamming,24.55,2
0.8,0.6000000000000001,1,Hamming,26.49,2
0.9,0.6000000000000001,1,Hamming,21.97,2
1,0.6000000000000001,1,Hamming,27,2
0.5,0.7000000000000001,1,Hamming,21.7,2
0.6,0.7000000000000001,1,Hamming,23.41,2
0.7,0.7000000000000001,1,Hamming,26.49,2
0.8,0.7000000000000001,1,Hamming,29.31,2
0.9,0.7000000000000001,1,Hamming,23.26,2
1,0.7000000000000001,1,Hamming,27,2
0.5,0.8,1,Hamming,21.04,2
0.6,0.8,1,Hamming,23.77,2
0.7,0.8,1,Hamming,27.22,2
