wp,n,k,p,q,r,score_method
0.7776181413536372,100,1,0.75,0.30000000000000004,0.5,Hamming
0.9213165209190738,1000,1,0.75,0.30000000000000004,0.5,Hamming
0.00404816929931405,1,10,0.75,0.30000000000000004,0.5,Hamming
0.03559946308443111,10,10,0.75,0.30000000000000004,0.5,Hamming
0.1961163346611645,100,10,0.75,0.30000000000000004,0.5,Hamming
0.5200869060297433,1000,10,0.75,0.30000000000000004,0.5,Hamming
9.94514447860842e-5,1,100,0.75,0.30000000000000004,0.5,Hamming
9.87521801928166e-4,10,100,0.75,0.30000000000000004,0.5,Hamming
0.00929850529273504,100,100,0.75,0.30000000000000004,0.5,Hamming
0.06748879894756268,1000,100,0.75,0.30000000000000004,0.5,Hamming
3.3860878792851717e-6,1,1000,0.75,0.30000000000000004,0.5,Hamming
3.384500800165575e-5,10,1000,0.75,0.30000000000000004,0.5,Hamming
3.369068235526164e-4,100,1000,0.75,0.30000000000000004,0.5,Hamming
0.00324178187608453,1000,1000,0.75,0.30000000000000004,0.5,Hamming
0.2242821064786519,1,1,0.75,0.35000000000000003,0.5,Hamming
0.6332853867473218,10,1,0.75,0.35000000000000003,0.5,Hamming
0.8871473866755679,100,1,0.75,0.35000000000000003,0.5,Hamming
0.9715196935267628,1000,1,0.75,0.35000000000000003,0.5,Hamming
0.01118386155285593,1,10,0.75,0.35000000000000003,0.5,Hamming
0.09256865789358736,10,10,0.75,0.35000000000000003,0.5,Hamming
0.40397753800594893,100,10,0.75,0.35000000000000003,0.5,Hamming
0.7705224971683708,1000,10,0.75,0.35000000000000003,0.5,Hamming
4.284931205174115e-4,1,100,0.75,0.35000000000000003,0.5,Hamming
0.00423519641138599,10,100,0.75,0.35000000000000003,0.5,Hamming
0.03831014421112571,100,100,0.75,0.35000000000000003,0.5,Hamming
0.22732407965059936,1000,100,0.75,0.35000000000000003,0.5,Hamming
2.0034995160733484e-5,1,1000,0.75,0.35000000000000003,0.5,Hamming
2.001964033298405e-4,10,1000,0.75,0.35000000000000003,0.5,Hamming
0.0019869535681876,100,1000,0.75,0.35000000000000003,0.5,Hamming
0.01861305410032756,1000,1000,0.75,0.35000000000000003,0.5,Hamming
0.31765718483653027,1,1,0.75,0.4,0.5,Hamming
0.7634524564900894,10,1,0.75,0.4,0.5,Hamming
0.9499196151911944,100,1,0.75,0.4,0.5,Hamming
0.991105984551651,1000,1,0.75,0.4,0.5,Hamming
0.02706567190138234,1,10,0.75,0.4,0.5,Hamming
0.20183690671321203,10,10,0.75,0.4,0.5,Hamming
0.6443504453037394,100,10,0.75,0.4,0.5,Hamming
0.917523867199618,1000,10,0.75,0.4,0.5,Hamming
0.00157318540291997,1,100,0.75,0.4,0.5,Hamming
0.01536919110267828,10,100,0.75,0.4,0.5,Hamming
0.12654427558813602,100,100,0.75,0.4,0.5,Hamming
0.520951171185841,1000,100,0.75,0.4,0.5,Hamming
9.974762553474402e-5,1,1000,0.75,0.4,0.5,Hamming
9.957702847031063e-4,10,1000,0.75,0.4,0.5,Hamming
0.00979203276279552,100,1000,0.75,0.4,0.5,Hamming
0.08487906949748447,1000,1000,0.75,0.4,0.5,Hamming
0.42377264011674975,1,1,0.75,0.45,0.5,Hamming
0.8613379803557553,10,1,0.75,0.45,0.5,Hamming
0.9801731254726216,100,1,0.75,0.45,0.5,Hamming
0.9975027945345154,1000,1,0.75,0.45,0.5,Hamming
0.05798823027158523,1,10,0.75,0.45,0.5,Hamming
0.36766542707373245,10,10,0.75,0.45,0.5,Hamming
0.8308246729829581,100,10,0.75,0.45,0.5,Hamming
0.9755847361985232,1000,10,0.75,0.45,0.5,Hamming
0.00498286806634354,1,100,0.75,0.45,0.5,Hamming
0.04733443892455172,10,100,0.75,0.45,0.5,Hamming
0.31963816960430935,100,100,0.75,0.45,0.5,Hamming
0.8001567345417138,1000,100,0.75,0.45,0.5,Hamming
4.2356949151368945e-4,1,1000,0.75,0.45,0.5,Hamming
0.00421599027425564,10,1000,0.75,0.45,0.5,Hamming
0.04029924878408807,100,1000,0.75,0.45,0.5,Hamming
0.2837671155656731,1000,1000,0.75,0.45,0.5,Hamming
0.5354701566841021,1,1,0.75,0.5,0.5,Hamming
0.9256213520830282,10,1,0.75,0.5,0.5,Hamming
0.9927596556369797,100,1,0.75,0.5,0.5,Hamming
0.9993318003740308,1000,1,0.75,0.5,0.5,Hamming
0.11100659672346952,1,10,0.75,0.5,0.5,Hamming
0.5618965344851259,10,10,0.75,0.5,0.5,Hamming
0.9323269225106292,100,10,0.75,0.5,0.5,Hamming
0.9933617172744512,1000,10,0.75,0.5,0.5,Hamming
0.01375524214553026,1,100,0.75,0.5,0.5,Hamming
0.12266495150058702,10,100,0.75,0.5,0.5,Hamming
0.5874046248927861,100,100,0.75,0.5,0.5,Hamming
0.9376775920027796,1000,100,0.75,0.5,0.5,Hamming
0.00155111181048863,1,1000,0.75,0.5,0.5,Hamming
0.01529684179979294,10,1000,0.75,0.5,0.5,Hamming
0.13442660474556056,100,1000,0.75,0.5,0.5,Hamming
0.6095364638931667,1000,1000,0.75,0.5,0.5,Hamming
0.6444476749375573,1,1,0.75,0.55,0.5,Hamming
0.962946189461316,10,1,0.75,0.55,0.5,Hamming
0.997444854867755,100,1,0.75,0.55,0.5,Hamming
0.9998165110092456,1000,1,0.75,0.55,0.5,Hamming
0.19144350182277103,1,10,0.75,0.55,0.5,Hamming
0.7361427126548277,10,10,0.75,0.55,0.5,Hamming
0.975187821311834,100,10,0.75,0.55,0.5,Hamming
0.998169171990518,1000,10,0.75,0.55,0.5,Hamming
0.03337716254492354,1,100,0.75,0.55,0.5,Hamming
0.262311456703565,10,100,0.75,0.55,0.5,Hamming
0.8058003540310184,100,100,0.75,0.55,0.5,Hamming
0.9820862376104346,1000,100,0.75,0.55,0.5,Hamming
0.00494258307336206,1,1000,0.75,0.55,0.5,Hamming
0.04742708810892806,10,1000,0.75,0.55,0.5,Hamming
0.3372285353810546,100,1000,0.75,0.55,0.5,Hamming
0.8515822111338925,1000,1000,0.75,0.55,0.5,Hamming
0.7429863411014865,1,1,0.75,0.6000000000000001,0.5,Hamming
0.9824595511053568,10,1,0.75,0.6000000000000001,0.5,Hamming
0.9990771498986056,100,1,0.75,0.6000000000000001,0.5,Hamming
0.9999437434361996,1000,1,0.75,0.6000000000000001,0.5,Hamming
0.2997835844279322,1,10,0.75,0.6000000000000001,0.5,Hamming
0.8585751971932875,10,10,0.75,0.6000000000000001,0.5,Hamming
0.9909065588533268,100,10,0.75,0.6000000000000001,0.5,Hamming
