wp,n,k,p,q,r,score_method
0.926089174314575,10,1,0.75,0.6000000000000001,0.6,Hamming
0.9928481772147388,100,1,0.75,0.6000000000000001,0.6,Hamming
0.9993438691272444,1000,1,0.75,0.6000000000000001,0.6,Hamming
0.11168319570930016,1,10,0.75,0.6000000000000001,0.6,Hamming
0.5639586248074531,10,10,0.75,0.6000000000000001,0.6,Hamming
0.933122601133714,100,10,0.75,0.6000000000000001,0.6,Hamming
0.9934811827298414,1000,10,0.75,0.6000000000000001,0.6,Hamming
0.01393785498288367,1,100,0.75,0.6000000000000001,0.6,Hamming
0.12413035175284702,10,100,0.75,0.6000000000000001,0.6,Hamming
0.5909823518612939,100,100,0.75,0.6000000000000001,0.6,Hamming
0.9387603537128472,1000,100,0.75,0.6000000000000001,0.6,Hamming
0.00158436812583545,1,1000,0.75,0.6000000000000001,0.6,Hamming
0.01562005356329136,10,1000,0.75,0.6000000000000001,0.6,Hamming
0.13690942877345813,100,1000,0.75,0.6000000000000001,0.6,Hamming
0.6146197373109237,1000,1000,0.75,0.6000000000000001,0.6,Hamming
0.6487924107329137,1,1,0.75,0.65,0.6,Hamming
0.9624269333772864,10,1,0.75,0.65,0.6,Hamming
0.9972335362927466,100,1,0.75,0.65,0.6,Hamming
0.9997856865046864,1000,1,0.75,0.65,0.6,Hamming
0.191356059842424,1,10,0.75,0.65,0.6,Hamming
0.7321264326669292,10,10,0.75,0.65,0.6,Hamming
0.973180608297416,100,10,0.75,0.65,0.6,Hamming
0.9978623075198868,1000,10,0.75,0.65,0.6,Hamming
0.03223984424808802,1,100,0.75,0.65,0.6,Hamming
0.2540679936944814,10,100,0.75,0.65,0.6,Hamming
0.7926654640393829,100,100,0.75,0.65,0.6,Hamming
0.97914957180053,1000,100,0.75,0.65,0.6,Hamming
0.00455546690267001,1,1000,0.75,0.65,0.6,Hamming
0.04379046877379461,10,1000,0.75,0.65,0.6,Hamming
0.3158634604737577,100,1000,0.75,0.65,0.6,Hamming
0.8312933406335515,1000,1000,0.75,0.65,0.6,Hamming
0.7519384235012074,1,1,0.75,0.7000000000000001,0.6,Hamming
0.9817387239419983,10,1,0.75,0.7000000000000001,0.6,Hamming
0.9988666976523296,100,1,0.75,0.7000000000000001,0.6,Hamming
0.9999171887788656,1000,1,0.75,0.7000000000000001,0.6,Hamming
0.3020901362811555,1,10,0.75,0.7000000000000001,0.6,Hamming
0.852576168969704,10,10,0.75,0.7000000000000001,0.6,Hamming
0.9888592752178272,100,10,0.75,0.7000000000000001,0.6,Hamming
0.9991730957224978,1000,10,0.75,0.7000000000000001,0.6,Hamming
0.06847594288569823,1,100,0.75,0.7000000000000001,0.6,Hamming
0.436134282831494,10,100,0.75,0.7000000000000001,0.6,Hamming
0.9039426948019382,100,100,0.75,0.7000000000000001,0.6,Hamming
0.991848707292054,1000,100,0.75,0.7000000000000001,0.6,Hamming
0.01211363749265603,1,1000,0.75,0.7000000000000001,0.6,Hamming
0.10884939017268223,10,1000,0.75,0.7000000000000001,0.6,Hamming
0.547404711086573,100,1000,0.75,0.7000000000000001,0.6,Hamming
0.9280077479014972,1000,1000,0.75,0.7000000000000001,0.6,Hamming
0.8384267850200013,1,1,0.75,0.75,0.6,Hamming
0.9912001848447682,10,1,0.75,0.75,0.6,Hamming
0.9994720353822796,100,1,0.75,0.75,0.6,Hamming
0.9999587073731856,1000,1,0.75,0.75,0.6,Hamming
0.4394663755832669,1,10,0.75,0.75,0.6,Hamming
0.9235978959624632,10,10,0.75,0.75,0.6,Hamming
0.994785429798234,100,10,0.75,0.75,0.6,Hamming
0.9995876238042726,1000,10,0.75,0.75,0.6,Hamming
0.1330643086322157,1,100,0.75,0.75,0.6,Hamming
0.6241632119196393,10,100,0.75,0.75,0.6,Hamming
0.953143732636092,100,100,0.75,0.75,0.6,Hamming
0.9959294261649388,1000,100,0.75,0.75,0.6,Hamming
0.02967560636666873,1,1000,0.75,0.75,0.6,Hamming
0.22913533424082663,10,1000,0.75,0.75,0.6,Hamming
0.7315730692895401,100,1000,0.75,0.75,0.6,Hamming
0.9634292164803206,1000,1000,0.75,0.75,0.6,Hamming
0.9042466879531206,1,1,0.75,0.8,0.6,Hamming
0.9956007697088786,10,1,0.75,0.8,0.6,Hamming
0.9997009063069024,100,1,0.75,0.8,0.6,Hamming
0.999971618120453,1000,1,0.75,0.8,0.6,Hamming
0.5899640259383655,1,10,0.75,0.8,0.6,Hamming
0.9603043703584386,10,10,0.75,0.8,0.6,Hamming
0.9970450926468628,100,10,0.75,0.8,0.6,Hamming
0.9997167080989068,1000,10,0.75,0.8,0.6,Hamming
0.23561198554328264,1,100,0.75,0.8,0.6,Hamming
0.7694606663955111,10,100,0.75,0.8,0.6,Hamming
0.9732716318046112,100,100,0.75,0.8,0.6,Hamming
0.997216588027878,1000,100,0.75,0.8,0.6,Hamming
0.06663901733246066,1,1000,0.75,0.8,0.6,Hamming
0.3934987632731902,10,1000,0.75,0.8,0.6,Hamming
0.8357506633112606,100,1000,0.75,0.8,0.6,Hamming
0.9755438356432324,1000,1000,0.75,0.8,0.6,Hamming
0.9492135161842004,1,1,0.75,0.8500000000000001,0.6,Hamming
0.99759435085651,10,1,0.75,0.8500000000000001,0.6,Hamming
0.9997814942734689,100,1,0.75,0.8500000000000001,0.6,Hamming
0.9999718824964696,1000,1,0.75,0.8500000000000001,0.6,Hamming
0.733536274038814,1,10,0.75,0.8500000000000001,0.6,Hamming
0.9779126426900304,10,10,0.75,0.8500000000000001,0.6,Hamming
0.997848309216696,100,10,0.75,0.8500000000000001,0.6,Hamming
0.999719819782192,1000,10,0.75,0.8500000000000001,0.6,Hamming
0.3785893042458698,1,100,0.75,0.8500000000000001,0.6,Hamming
0.8594816639111462,10,100,0.75,0.8500000000000001,0.6,Hamming
0.9808735195692032,100,100,0.75,0.8500000000000001,0.6,Hamming
0.9972855654047096,1000,100,0.75,0.8500000000000001,0.6,Hamming
0.1363102354304709,1,1000,0.75,0.8500000000000001,0.6,Hamming
0.555395465233931,10,1000,0.75,0.8500000000000001,0.6,Hamming
0.8839578135306747,100,1000,0.75,0.8500000000000001,0.6,Hamming
0.9775917999510112,1000,1000,0.75,0.8500000000000001,0.6,Hamming
0.976394612789276,1,1,0.75,0.9,0.6,Hamming
0.998464094720626,10,1,0.75,0.9,0.6,Hamming
0.9997811045470136,100,1,0.75,0.9,0.6,Hamming
0.9999580177547636,1000,1,0.75,0.9,0.6,Hamming
0.8506491363069989,1,10,0.75,0.9,0.6,Hamming
0.9858545255872244,10,10,0.75,0.9,0.6,Hamming
0.997862792184242,100,10,0.75,0.9,0.6,Hamming
0.999583653168838,1000,10,0.75,0.9,0.6,Hamming
0.5502863350104107,1,100,0.75,0.9,0.6,Hamming
0.9069693239335026,10,100,0.75,0.9,0.6,Hamming
0.981829022397095,100,100,0.75,0.9,0.6,Hamming
0.9961032743704372,1000,100,0.75,0.9,0.6,Hamming
0.25206185711713036,1,1000,0.75,0.9,0.6,Hamming
0.6740043814044473,10,1000,0.75,0.9,0.6,Hamming
0.8980186796575882,100,1000,0.75,0.9,0.6,Hamming
0.9714156946705343,1000,1000,0.75,0.9,0.6,Hamming
0.9906506575149002,1,1,0.75,0.95,0.6,Hamming
0.998718674574269,10,1,0.75,0.95,0.6,Hamming
0.9996619175988414,100,1,0.75,0.95,0.6,Hamming
0.9998939881645904,1000,1,0.75,0.95,0.6,Hamming
0.9303846467623768,1,10,0.75,0.95,0.6,Hamming
0.9883283191405678,10,10,0.75,0.95,0.6,Hamming
0.9967652687709766,100,10,0.75,0.95,0.6,Hamming
0.998963907193424,1000,10,0.75,0.95,0.6,Hamming
0.7231658227368704,1,100,0.75,0.95,0.6,Hamming
0.924770808566282,10,100,0.75,0.95,0.6,Hamming
0.9748670943299954,100,100,0.75,0.95,0.6,Hamming
0.9910848977085616,1000,100,0.75,0.95,0.6,Hamming
0.41779421514142046,1,1000,0.75,0.95,0.6,Hamming
0.7327013369315245,10,1000,0.75,0.95,0.6,Hamming
0.8790037394558521,100,1000,0.75,0.95,0.6,Hamming
0.946896847393631,1000,1000,0.75,0.95,0.6,Hamming
0.9969654399591312,1,1,0.75,1,0.6,Hamming
0.9969654399591312,10,1,0.75,1,0.6,Hamming
0.9969654399591312,100,1,0.75,1,0.6,Hamming
0.9969654399591312,1000,1,0.75,1,0.6,Hamming
0.9742534499711216,1,10,0.75,1,0.6,Hamming
0.9742534499711216,10,10,0.75,1,0.6,Hamming
0.9742534499711216,100,10,0.75,1,0.6,Hamming
0.9742534499711216,1000,10,0.75,1,0.6,Hamming
0.8636416638807984,1,100,0.75,1,0.6,Hamming
0.8636416638807984,10,100,0.75,1,0.6,Hamming
0.8636416638807984,100,100,0.75,1,0.6,Hamming
0.8636416638807984,1000,100,0.75,1,0.6,Hamming
0.6156422015648125,1,1000,0.75,1,0.6,Hamming
0.6156422015648125,10,1000,0.75,1,0.6,Hamming
0.6156422015648125,100,1000,0.75,1,0.6,Hamming
0.6156422015648125,1000,1000,0.75,1,0.6,Hamming
4.597854929925675e-4,1,1,0.75,0,0.65,Hamming
4.597854929925675e-4,10,1,0.75,0,0.65,Hamming
4.597854929925675e-4,100,1,0.75,0,0.65,Hamming
4.597854929925675e-4,1000,1,0.75,0,0.65,Hamming
3.8563302355124714e-7,1,10,0.75,0,0.65,Hamming
3.8563302355124714e-7,10,10,0.75,0,0.65,Hamming
3.8563302355124714e-7,100,10,0.75,0,0.65,Hamming
3.8563302355124714e-7,1000,10,0.75,0,0.65,Hamming
3.0541361786605087e-9,1,100,0.75,0,0.65,Hamming
3.0541361786605087e-9,10,100,0.75,0,0.65,Hamming
3.0541361786605087e-9,100,100,0.75,0,0.65,Hamming
3.0541361786605087e-9,1000,100,0.75,0,0.65,Hamming
6.858340944900441e-11,1,1000,0.75,0,0.65,Hamming
6.858340944900441e-11,10,1000,0.75,0,0.65,Hamming
6.858340944900441e-11,100,1000,0.75,0,0.65,Hamming
6.858340944900441e-11,1000,1000,0.75,0,0.65,Hamming
0.00108409946418589,1,1,0.75,0.05,0.65,Hamming
0.00364754076527065,10,1,0.75,0.05,0.65,Hamming
0.00873179819319157,100,1,0.75,0.05,0.65,Hamming
0.01726596248686491,1000,1,0.75,0.05,0.65,Hamming
1.405800025673194e-6,1,10,0.75,0.05,0.65,Hamming
8.046231286944128e-6,10,10,0.75,0.05,0.65,Hamming
3.243946261747881e-5,100,10,0.75,0.05,0.65,Hamming
1.0322095726145788e-4,1000,10,0.75,0.05,0.65,Hamming
1.3151103765231066e-8,1,100,0.75,0.05,0.65,Hamming
9.016050334098958e-8,10,100,0.75,0.05,0.65,Hamming
4.519777641685597e-7,100,100,0.75,0.05,0.65,Hamming
1.7907802264515932e-6,1000,100,0.75,0.05,0.65,Hamming
3.24700899733437e-10,1,1000,0.75,0.05,0.65,Hamming
2.443360185191437e-9,10,1000,0.75,0.05,0.65,Hamming
1.3888952764058964e-8,100,1000,0.75,0.05,0.65,Hamming
6.293832063106108e-8,1000,1000,0.75,0.05,0.65,Hamming
0.0024168613354157,1,1,0.75,0.1,0.65,Hamming
0.01033953248408108,10,1,0.75,0.1,0.65,Hamming
0.02833418043431911,100,1,0.75,0.1,0.65,Hamming
0.05944977634041681,1000,1,0.75,0.1,0.65,Hamming
4.861515051910148e-6,1,10,0.75,0.1,0.65,Hamming
3.6527863465489414e-5,10,10,0.75,0.1,0.65,Hamming
1.935835352215197e-4,100,10,0.75,0.1,0.65,Hamming
7.559536046796426e-4,1000,10,0.75,0.1,0.65,Hamming
5.4028372401196426e-8,1,100,0.75,0.1,0.65,Hamming
4.694404334401124e-7,10,100,0.75,0.1,0.65,Hamming
3.194687650882372e-6,100,100,0.75,0.1,0.65,Hamming
1.6642891514631094e-5,1000,100,0.75,0.1,0.65,Hamming
1.4713212174376942e-9,1,1000,0.75,0.1,0.65,Hamming
1.3554245769150249e-8,10,1000,0.75,0.1,0.65,Hamming
1.0456071735428005e-7,100,1000,0.75,0.1,0.65,Hamming
6.421597441123637e-7,1000,1000,0.75,0.1,0.65,Hamming
0.00510232903825814,1,1,0.75,0.15000000000000002,0.65,Hamming
0.0241904474806055,10,1,0.75,0.15000000000000002,0.65,Hamming
0.0689454634418514,100,1,0.75,0.15000000000000002,0.65,Hamming
0.14254083666537162,1000,1,0.75,0.15000000000000002,0.65,Hamming
1.5954390314578638e-5,1,10,0.75,0.15000000000000002,0.65,Hamming
1.3397122275369538e-4,10,10,0.75,0.15000000000000002,0.65,Hamming
8.194722806501793e-4,100,10,0.75,0.15000000000000002,0.65,Hamming
0.00354751961626286,1000,10,0.75,0.15000000000000002,0.65,Hamming
2.119645706383718e-7,1,100,0.75,0.15000000000000002,0.65,Hamming
1.9926214930285087e-6,10,100,0.75,0.15000000000000002,0.65,Hamming
1.5806538931110734e-5,100,100,0.75,0.15000000000000002,0.65,Hamming
9.678387249614818e-5,1000,100,0.75,0.15000000000000002,0.65,Hamming
6.387808596739038e-9,1,1000,0.75,0.15000000000000002,0.65,Hamming
6.215237669961127e-8,10,1000,0.75,0.15000000000000002,0.65,Hamming
5.491430003672236e-7,100,1000,0.75,0.15000000000000002,0.65,Hamming
4.02395717408271e-6,1000,1000,0.75,0.15000000000000002,0.65,Hamming
0.01021332263496844,1,1,0.75,0.2,0.65,Hamming
0.05016682649250708,10,1,0.75,0.2,0.65,Hamming
0.14035957730369877,100,1,0.75,0.2,0.65,Hamming
0.273257126602524,1000,1,0.75,0.2,0.65,Hamming
4.9692308268382105e-5,1,10,0.75,0.2,0.65,Hamming
4.394896695075425e-4,10,10,0.75,0.2,0.65,Hamming
0.00289912821744221,100,10,0.75,0.2,0.65,Hamming
0.01304881223202667,1000,10,0.75,0.2,0.65,Hamming
7.946013307300134e-7,1,100,0.75,0.2,0.65,Hamming
7.701593461306605e-6,10,100,0.75,0.2,0.65,Hamming
6.627812587607994e-5,100,100,0.75,0.2,0.65,Hamming
4.478813272081122e-4,1000,100,0.75,0.2,0.65,Hamming
2.6600055271822863e-8,1,1000,0.75,0.2,0.65,Hamming
2.6324568562664826e-7,10,1000,0.75,0.2,0.65,Hamming
2.474756850010889e-6,100,1000,0.75,0.2,0.65,Hamming
2.017647291290638e-5,1000,1000,0.75,0.2,0.65,Hamming
0.01940386331557588,1,1,0.75,0.25,0.65,Hamming
0.0944761935733765,10,1,0.75,0.25,0.65,Hamming
0.24854058989511693,100,1,0.75,0.25,0.65,Hamming
0.4415265784179368,1000,1,0.75,0.25,0.65,Hamming
1.4686248506817244e-4,1,10,0.75,0.25,0.65,Hamming
0.00133065378484361,10,10,0.75,0.25,0.65,Hamming
0.00905090113043135,100,10,0.75,0.25,0.65,Hamming
0.0401273742789099,1000,10,0.75,0.25,0.65,Hamming
2.847244263854783e-6,1,100,0.75,0.25,0.65,Hamming
2.7955894313306633e-5,10,100,0.75,0.25,0.65,Hamming
2.512717275138971e-4,100,100,0.75,0.25,0.65,Hamming
0.00179524286498672,1000,100,0.75,0.25,0.65,Hamming
1.0633458545907547e-7,1,1000,0.75,0.25,0.65,Hamming
1.0584682018758967e-6,10,1000,0.75,0.25,0.65,Hamming
1.0239071803099402e-5,100,1000,0.75,0.25,0.65,Hamming
8.892340247922362e-5,1000,1000,0.75,0.25,0.65,Hamming
0.03501679497834919,1,1,0.75,0.30000000000000004,0.65,Hamming
0.1631854615123842,10,1,0.75,0.30000000000000004,0.65,Hamming
0.3899603931860219,100,1,0.75,0.30000000000000004,0.65,Hamming
0.6197762132199933,1000,1,0.75,0.30000000000000004,0.65,Hamming
4.116445079161667e-4,1,10,0.75,0.30000000000000004,0.65,Hamming
0.00376069089696503,10,10,0.75,0.30000000000000004,0.65,Hamming
0.02542328655871623,100,10,0.75,0.30000000000000004,0.65,Hamming
0.10509998663299457,1000,10,0.75,0.30000000000000004,0.65,Hamming
9.752298919559582e-6,1,100,0.75,0.30000000000000004,0.65,Hamming
9.62995466430435e-5,10,100,0.75,0.30000000000000004,0.65,Hamming
8.846211560909512e-4,100,100,0.75,0.30000000000000004,0.65,Hamming
0.0064587022922983,1000,100,0.75,0.30000000000000004,0.65,Hamming
4.083206231816941e-7,1,1000,0.75,0.30000000000000004,0.65,Hamming
4.07332635450576e-6,10,1000,0.75,0.30000000000000004,0.65,Hamming
3.992838750580856e-5,100,1000,0.75,0.30000000000000004,0.65,Hamming
3.594206902020483e-4,1000,1000,0.75,0.30000000000000004,0.65,Hamming
0.06006091357566875,1,1,0.75,0.35000000000000003,0.65,Hamming
0.25963828407468836,10,1,0.75,0.35000000000000003,0.65,Hamming
0.5487667049615249,100,1,0.75,0.35000000000000003,0.65,Hamming
0.7749110845780262,1000,1,0.75,0.35000000000000003,0.65,Hamming
0.00109333968559557,1,10,0.75,0.35000000000000003,0.65,Hamming
0.00995102783672845,10,10,0.75,0.35000000000000003,0.65,Hamming
0.06438297429139628,100,10,0.75,0.35000000000000003,0.65,Hamming
0.2333803790772603,1000,10,0.75,0.35000000000000003,0.65,Hamming
3.1920788569195754e-5,1,100,0.75,0.35000000000000003,0.65,Hamming
3.159077777768295e-4,10,100,0.75,0.35000000000000003,0.65,Hamming
0.00292410350554941,100,100,0.75,0.35000000000000003,0.65,Hamming
0.02111034013574264,1000,100,0.75,0.35000000000000003,0.65,Hamming
1.5067002903062944e-6,1,1000,0.75,0.35000000000000003,0.65,Hamming
1.5043470040596114e-5,10,1000,0.75,0.35000000000000003,0.65,Hamming
1.4834747873723123e-4,100,1000,0.75,0.35000000000000003,0.65,Hamming
0.00135919280507473,1000,1000,0.75,0.35000000000000003,0.65,Hamming
0.09795484651431872,1,1,0.75,0.4,0.65,Hamming
0.3813892250684472,10,1,0.75,0.4,0.65,Hamming
0.7008716331050374,100,1,0.75,0.4,0.65,Hamming
0.8855082340412551,1000,1,0.75,0.4,0.65,Hamming
0.00274841994089182,1,10,0.75,0.4,0.65,Hamming
0.02460703432899973,10,10,0.75,0.4,0.65,Hamming
0.1455050635786074,100,10,0.75,0.4,0.65,Hamming
0.4322810279461494,1000,10,0.75,0.4,0.65,Hamming
9.978038806255938e-5,1,100,0.75,0.4,0.65,Hamming
9.87564237053826e-4,10,100,0.75,0.4,0.65,Hamming
0.00909900356789874,100,100,0.75,0.4,0.65,Hamming
0.06237335836754648,1000,100,0.75,0.4,0.65,Hamming
5.343110238336108e-6,1,1000,0.75,0.4,0.65,Hamming
5.3363674833860475e-5,10,1000,0.75,0.4,0.65,Hamming
5.273653408847239e-4,100,1000,0.75,0.4,0.65,Hamming
0.00484866861743777,1000,1000,0.75,0.4,0.65,Hamming
0.15195679221027797,1,1,0.75,0.45,0.65,Hamming
0.5184589067444512,10,1,0.75,0.45,0.65,Hamming
0.8243062684438681,100,1,0.75,0.45,0.65,Hamming
0.9500734691907738,1000,1,0.75,0.45,0.65,Hamming
0.0065284203170264,1,10,0.75,0.45,0.65,Hamming
0.05651317044103887,10,10,0.75,0.45,0.65,Hamming
0.2876471395752018,100,10,0.75,0.45,0.65,Hamming
0.6596564793208983,1000,10,0.75,0.45,0.65,Hamming
2.9755217401407553e-4,1,100,0.75,0.45,0.65,Hamming
0.00293892417493571,10,100,0.75,0.45,0.65,Hamming
0.02654310132438885,100,100,0.75,0.45,0.65,Hamming
0.1626584698048539,1000,100,0.75,0.45,0.65,Hamming
1.8205748168458846e-5,1,1000,0.75,0.45,0.65,Hamming
1.818213825845417e-4,10,1000,0.75,0.45,0.65,Hamming
0.00179572838760132,100,1000,0.75,0.45,0.65,Hamming
0.01631382336863652,1000,1000,0.75,0.45,0.65,Hamming
0.22428210647865204,1,1,0.75,0.5,0.65,Hamming
0.6549418605201273,10,1,0.75,0.5,0.65,Hamming
0.9088797576287946,100,1,0.75,0.5,0.65,Hamming
0.9811275569783364,1000,1,0.75,0.5,0.65,Hamming
0.01462326970998365,1,10,0.75,0.5,0.65,Hamming
0.11920275720275778,10,10,0.75,0.5,0.65,Hamming
0.485752919058156,100,10,0.75,0.5,0.65,Hamming
0.840726104579196,1000,10,0.75,0.5,0.65,Hamming
8.452015369820696e-4,1,100,0.75,0.5,0.65,Hamming
0.00830288902722896,10,100,0.75,0.5,0.65,Hamming
0.07162123737376644,100,100,0.75,0.5,0.65,Hamming
0.35691755820858795,1000,100,0.75,0.5,0.65,Hamming
5.956832397836819e-5,1,1000,0.75,0.5,0.65,Hamming
5.9466714551128e-4,10,1000,0.75,0.5,0.65,Hamming
0.00584908294422793,100,1000,0.75,0.5,0.65,Hamming
0.0512121843854328,1000,1000,0.75,0.5,0.65,Hamming
0.31505588592017436,1,1,0.75,0.55,0.65,Hamming
0.774279124976649,10,1,0.75,0.55,0.65,Hamming
0.9579338779397688,100,1,0.75,0.55,0.65,Hamming
0.9936359172200032,1000,1,0.75,0.55,0.65,Hamming
0.03081088222404427,1,10,0.75,0.55,0.65,Hamming
0.22714594019464163,10,10,0.75,0.55,0.65,Hamming
0.6922602308617347,100,10,0.75,0.55,0.65,Hamming
0.9401389572692784,1000,10,0.75,0.55,0.65,Hamming
0.00228203824424825,1,100,0.75,0.55,0.65,Hamming
0.02214497396750197,10,100,0.75,0.55,0.65,Hamming
0.17357126563761002,100,100,0.75,0.55,0.65,Hamming
0.6193817657048822,1000,100,0.75,0.55,0.65,Hamming
1.8696871907576443e-4,1,1000,0.75,0.55,0.65,Hamming
0.00186435795495217,10,1000,0.75,0.55,0.65,Hamming
0.01813409752267305,100,1000,0.75,0.55,0.65,Hamming
0.14527580885516955,1000,1000,0.75,0.55,0.65,Hamming
0.4214167628686013,1,1,0.75,0.6000000000000001,0.65,Hamming
0.8655275156557576,10,1,0.75,0.6000000000000001,0.65,Hamming
0.9823066370652124,100,1,0.75,0.6000000000000001,0.65,Hamming
0.9979853498468478,1000,1,0.75,0.6000000000000001,0.65,Hamming
0.06088159891711847,1,10,0.75,0.6000000000000001,0.65,Hamming
0.3835644644026047,10,10,0.75,0.6000000000000001,0.65,Hamming
0.8475766819532224,100,10,0.75,0.6000000000000001,0.65,Hamming
0.980242554473298,1000,10,0.75,0.6000000000000001,0.65,Hamming
0.00584038812918142,1,100,0.75,0.6000000000000001,0.65,Hamming
0.05515004907702622,10,100,0.75,0.6000000000000001,0.65,Hamming
0.3584281585371756,100,100,0.75,0.6000000000000001,0.65,Hamming
0.8340808580107404,1000,100,0.75,0.6000000000000001,0.65,Hamming
5.620696170934553e-4,1,1000,0.75,0.6000000000000001,0.65,Hamming
0.00558755025084755,10,1000,0.75,0.6000000000000001,0.65,Hamming
0.0527872613310154,100,1000,0.75,0.6000000000000001,0.65,Hamming
0.3457536871660639,1000,1000,0.75,0.6000000000000001,0.65,Hamming
0.5371975638014337,1,1,0.75,0.65,0.65,Hamming
0.926591854475268,10,1,0.75,0.65,0.65,Hamming
0.9929314889094562,100,1,0.75,0.65,0.65,Hamming
0.9993542511465168,1000,1,0.75,0.65,0.65,Hamming
0.11242895371749484,1,10,0.75,0.65,0.65,Hamming
0.5661081506182247,10,10,0.75,0.65,0.65,Hamming
0.9338704888002792,100,10,0.75,0.65,0.65,Hamming
0.9935839470463994,1000,10,0.75,0.65,0.65,Hamming
0.01411721472050367,1,100,0.75,0.65,0.65,Hamming
0.12555783563032508,10,100,0.75,0.65,0.65,Hamming
0.5943141218988408,100,100,0.75,0.65,0.65,Hamming
0.9396913988465496,1000,100,0.75,0.65,0.65,Hamming
0.00161476017822591,1,1000,0.75,0.65,0.65,Hamming
0.01591510407042553,10,1000,0.75,0.65,0.65,Hamming
0.13915336735572262,100,1000,0.75,0.65,0.65,Hamming
0.6190064549637228,1000,1000,0.75,0.65,0.65,Hamming
0.6535544737662142,1,1,0.75,0.7000000000000001,0.65,Hamming
0.9626414165952434,10,1,0.75,0.7000000000000001,0.65,Hamming
0.9971499955484572,100,1,0.75,0.7000000000000001,0.65,Hamming
0.9997692052704984,1000,1,0.75,0.7000000000000001,0.65,Hamming
0.19327984910874904,1,10,0.75,0.7000000000000001,0.65,Hamming
0.7326525708208648,10,10,0.75,0.7000000000000001,0.65,Hamming
0.9723878920880384,100,10,0.75,0.7000000000000001,0.65,Hamming
0.9976983267902126,1000,10,0.75,0.7000000000000001,0.65,Hamming
0.03208043558869294,1,100,0.75,0.7000000000000001,0.65,Hamming
0.25233887334361804,10,100,0.75,0.7000000000000001,0.65,Hamming
0.7875029322873873,100,100,0.75,0.7000000000000001,0.65,Hamming
0.9775888376102376,1000,100,0.75,0.7000000000000001,0.65,Hamming
0.00441956280961628,1,1000,0.75,0.7000000000000001,0.65,Hamming
0.04249285054620113,10,1000,0.75,0.7000000000000001,0.65,Hamming
0.3073494290987186,100,1000,0.75,0.7000000000000001,0.65,Hamming
0.8209234665594749,1000,1000,0.75,0.7000000000000001,0.65,Hamming
0.7606351269137112,1,1,0.75,0.75,0.65,Hamming
0.98173014093224,10,1,0.75,0.75,0.65,Hamming
0.9987491872467876,100,1,0.75,0.75,0.65,Hamming
0.9998979521945112,1000,1,0.75,0.75,0.65,Hamming
0.3080496232328878,1,10,0.75,0.75,0.65,Hamming
0.851932680865243,10,10,0.75,0.75,0.65,Hamming
0.9877204021804716,100,10,0.75,0.75,0.65,Hamming
0.998981322895448,1000,10,0.75,0.75,0.65,Hamming
0.06813634958200178,1,100,0.75,0.75,0.65,Hamming
0.4304697768183579,10,100,0.75,0.75,0.65,Hamming
0.8952002494558315,100,100,0.75,0.75,0.65,Hamming
0.9899879180263718,1000,100,0.75,0.75,0.65,Hamming
0.0114755754037488,1,1000,0.75,0.75,0.65,Hamming
0.10307139720648732,10,1000,0.75,0.75,0.65,Hamming
0.5226147202131793,100,1000,0.75,0.75,0.65,Hamming
0.9135195446459764,1000,1000,0.75,0.75,0.65,Hamming
0.8499177265008359,1,1,0.75,0.8,0.65,Hamming
0.9910270307109972,10,1,0.75,0.8,0.65,Hamming
0.9993518826476592,100,1,0.75,0.8,0.65,Hamming
0.9999387728149326,1000,1,0.75,0.8,0.65,Hamming
0.4534038783232955,1,10,0.75,0.8,0.65,Hamming
0.9219079720995876,10,10,0.75,0.8,0.65,Hamming
0.9936121425021516,100,10,0.75,0.8,0.65,Hamming
0.999388870475433,1000,10,0.75,0.8,0.65,Hamming
0.13427393283133585,1,100,0.75,0.8,0.65,Hamming
0.6145605882245927,10,100,0.75,0.8,0.65,Hamming
0.9435153184750396,100,100,0.75,0.8,0.65,Hamming
0.99399794276302,1000,100,0.75,0.8,0.65,Hamming
0.02810716485868154,1,1000,0.75,0.8,0.65,Hamming
0.21514319902928852,10,1000,0.75,0.8,0.65,Hamming
0.6940445800844625,100,1000,0.75,0.8,0.65,Hamming
0.9479328675046332,1000,1000,0.75,0.8,0.65,Hamming
0.91641656392957,1,1,0.75,0.8500000000000001,0.65,Hamming
0.9953107304350652,10,1,0.75,0.8500000000000001,0.65,Hamming
0.999571219243726,100,1,0.75,0.8500000000000001,0.65,Hamming
0.9999465021224268,1000,1,0.75,0.8500000000000001,0.65,Hamming
0.6145563431098187,1,10,0.75,0.8500000000000001,0.65,Hamming
0.9576925778468218,10,10,0.75,0.8500000000000001,0.65,Hamming
0.9957787902158788,100,10,0.75,0.8500000000000001,0.65,Hamming
0.999466634762724,1000,10,0.75,0.8500000000000001,0.65,Hamming
0.2433223569555958,1,100,0.75,0.8500000000000001,0.65,Hamming
0.7553864176172033,10,100,0.75,0.8500000000000001,0.65,Hamming
0.9627716815430116,100,100,0.75,0.8500000000000001,0.65,Hamming
0.994813918118433,1000,100,0.75,0.8500000000000001,0.65,Hamming
0.0644397392751866,1,1000,0.75,0.8500000000000001,0.65,Hamming
0.3673980521775444,10,1000,0.75,0.8500000000000001,0.65,Hamming
0.7892854597314184,100,1000,0.75,0.8500000000000001,0.65,Hamming
0.9570782994907486,1000,1000,0.75,0.8500000000000001,0.65,Hamming
