p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,0.65,0.55,1.5,151.1251779564996,100,ESPN
0.75,0.65,0.55,1.5,160.16544425916936,1000,ESPN
0.75,0.65,0.55,1.5,166.39567081221736,10000,ESPN
0.75,0.7,0.55,1.5,103.20000000000022,1,ESPN
0.75,0.7,0.55,1.5,129.0261016826014,5,ESPN
0.75,0.7,0.55,1.5,136.39610211760152,10,ESPN
0.75,0.7,0.55,1.5,151.87620222582854,100,ESPN
0.75,0.7,0.55,1.5,160.8856073794748,1000,ESPN
0.75,0.7,0.55,1.5,167.08213131134036,10000,ESPN
0.75,0.75,0.55,1.5,104.00000000000024,1,ESPN
0.75,0.75,0.55,1.5,129.80687073649116,5,ESPN
0.75,0.75,0.55,1.5,137.16799524417274,10,ESPN
0.75,0.75,0.55,1.5,152.61370840764647,100,ESPN
0.75,0.75,0.55,1.5,161.58424545861226,1000,ESPN
0.75,0.75,0.55,1.5,167.73865916858105,10000,ESPN
0.75,0.8,0.55,1.5,104.8000000000002,1,ESPN
0.75,0.8,0.55,1.5,130.58338301943076,5,ESPN
0.75,0.8,0.55,1.5,137.933695048074,10,ESPN
0.75,0.8,0.55,1.5,153.33766559697676,100,ESPN
0.75,0.8,0.55,1.5,162.26125153583297,1000,ESPN
0.75,0.8,0.55,1.5,168.36496017574962,10000,ESPN
0.75,0.8500000000000001,0.55,1.5,105.60000000000022,1,ESPN
0.75,0.8500000000000001,0.55,1.5,131.35563143581533,5,ESPN
0.75,0.8500000000000001,0.55,1.5,138.69318931226667,10,ESPN
0.75,0.8500000000000001,0.55,1.5,154.04801629771393,100,ESPN
0.75,0.8500000000000001,0.55,1.5,162.916439905584,1000,ESPN
0.75,0.8500000000000001,0.55,1.5,168.96055581396513,10000,ESPN
0.75,0.9,0.55,1.5,106.40000000000022,1,ESPN
0.75,0.9,0.55,1.5,132.1236064672467,5,ESPN
0.75,0.9,0.55,1.5,139.44646074714737,10,ESPN
0.75,0.9,0.55,1.5,154.74467557009493,100,ESPN
0.75,0.9,0.55,1.5,163.54954093286148,1000,ESPN
0.75,0.9,0.55,1.5,169.52476070788714,10000,ESPN
0.75,0.95,0.55,1.5,107.2000000000002,1,ESPN
0.75,0.95,0.55,1.5,132.88728745799304,5,ESPN
0.75,0.95,0.55,1.5,140.19347329885971,10,ESPN
0.75,0.95,0.55,1.5,155.42749068691575,100,ESPN
0.75,0.95,0.55,1.5,164.1601111167169,1000,ESPN
0.75,0.95,0.55,1.5,170.0565014798976,10000,ESPN
0.75,1,0.55,1.5,108.0000000000002,1,ESPN
0.75,1,0.55,1.5,133.63997059332004,5,ESPN
0.75,1,0.55,1.5,140.92440736388,10,ESPN
0.75,1,0.55,1.5,156.07436943868265,100,ESPN
0.75,1,0.55,1.5,164.7116519991606,1000,ESPN
0.75,1,0.55,1.5,170.50262949338105,10000,ESPN
0.75,0.5,0.6,1.5,104.0000000000002,1,ESPN
0.75,0.5,0.6,1.5,129.26172079857238,5,ESPN
0.75,0.5,0.6,1.5,136.38026411185433,10,ESPN
0.75,0.5,0.6,1.5,151.27888334211184,100,ESPN
0.75,0.5,0.6,1.5,159.9400163330833,1000,ESPN
0.75,0.5,0.6,1.5,165.91243102974877,10000,ESPN
0.75,0.55,0.6,1.5,104.8000000000002,1,ESPN
0.75,0.55,0.6,1.5,130.05940378953508,5,ESPN
0.75,0.55,0.6,1.5,137.17675131701918,10,ESPN
0.75,0.55,0.6,1.5,152.0700356355836,100,ESPN
0.75,0.55,0.6,1.5,160.7238216651277,1000,ESPN
0.75,0.55,0.6,1.5,166.68680418528857,10000,ESPN
0.75,0.6,0.6,1.5,105.6000000000002,1,ESPN
0.75,0.6,0.6,1.5,130.85267021570905,5,ESPN
0.75,0.6,0.6,1.5,137.9667776757707,10,ESPN
0.75,0.6,0.6,1.5,152.84693107634462,100,ESPN
0.75,0.6,0.6,1.5,161.48484738694503,1000,ESPN
0.75,0.6,0.6,1.5,167.429551224452,10000,ESPN
0.75,0.65,0.6,1.5,106.4000000000002,1,ESPN
0.75,0.65,0.6,1.5,131.641522263676,5,ESPN
0.75,0.65,0.6,1.5,138.7503507816142,10,ESPN
0.75,0.65,0.6,1.5,153.60961841432518,100,ESPN
0.75,0.65,0.6,1.5,162.22321254316176,1000,ESPN
0.75,0.65,0.6,1.5,168.14086832636207,10000,ESPN
0.75,0.7,0.6,1.5,107.2000000000002,1,ESPN
0.75,0.7,0.6,1.5,132.42595936065266,5,ESPN
0.75,0.7,0.6,1.5,139.52747245822084,10,ESPN
0.75,0.7,0.6,1.5,154.35811580830412,100,ESPN
0.75,0.7,0.6,1.5,162.93894872125009,1000,ESPN
0.75,0.7,0.6,1.5,168.82076289521248,10000,ESPN
0.75,0.75,0.6,1.5,108.0000000000002,1,ESPN
0.75,0.75,0.6,1.5,133.20597816690346,5,ESPN
0.75,0.75,0.6,1.5,140.29813875529103,10,ESPN
0.75,0.75,0.6,1.5,155.09241091652103,100,ESPN
0.75,0.75,0.6,1.5,163.63199982363662,1000,ESPN
0.75,0.75,0.6,1.5,169.4690497250315,10000,ESPN
0.75,0.8,0.6,1.5,108.8000000000002,1,ESPN
0.75,0.8,0.6,1.5,133.98157255669437,5,ESPN
0.75,0.8,0.6,1.5,141.06233991144012,10,ESPN
0.75,0.8,0.6,1.5,155.81246057700878,100,ESPN
0.75,0.8,0.6,1.5,164.30221965019348,1000,ESPN
0.75,0.8,0.6,1.5,170.0853392701325,10000,ESPN
0.75,0.8500000000000001,0.6,1.5,109.6000000000002,1,ESPN
0.75,0.8500000000000001,0.6,1.5,134.7527335874794,5,ESPN
0.75,0.8500000000000001,0.6,1.5,141.8200602833381,10,ESPN
0.75,0.8500000000000001,0.6,1.5,156.51819006471106,100,ESPN
0.75,0.8500000000000001,0.6,1.5,164.9493671169338,1000,ESPN
0.75,0.8500000000000001,0.6,1.5,170.66901667884628,10000,ESPN
0.75,0.9,0.6,1.5,110.4000000000002,1,ESPN
0.75,0.9,0.6,1.5,135.51944945149435,5,ESPN
0.75,0.9,0.6,1.5,142.57127823063635,10,ESPN
0.75,0.9,0.6,1.5,157.20949186175602,100,ESPN
0.75,0.9,0.6,1.5,165.5730986715172,1000,ESPN
0.75,0.9,0.6,1.5,171.2192088790783,10000,ESPN
0.75,0.95,0.6,1.5,111.20000000000016,1,ESPN
0.75,0.95,0.6,1.5,136.28169636541392,5,ESPN
0.75,0.95,0.6,1.5,143.3159516658337,10,ESPN
0.75,0.95,0.6,1.5,157.88618181226963,100,ESPN
0.75,0.95,0.6,1.5,166.17286709372527,1000,ESPN
0.75,0.95,0.6,1.5,171.7345716650348,10000,ESPN
0.75,1,0.6,1.5,112.00000000000018,1,ESPN
0.75,1,0.6,1.5,137.0324997916398,5,ESPN
0.75,1,0.6,1.5,144.04381478407865,10,ESPN
0.75,1,0.6,1.5,158.52494151656813,100,ESPN
0.75,1,0.6,1.5,166.70986416411938,1000,ESPN
0.75,1,0.6,1.5,172.15813534184423,10000,ESPN
0.75,0.5,0.65,1.5,108.00000000000018,1,ESPN
0.75,0.5,0.65,1.5,132.37561928975722,5,ESPN
0.75,0.5,0.65,1.5,139.17841893934383,10,ESPN
0.75,0.5,0.65,1.5,153.40034935101224,100,ESPN
