wp,n,k,p,qE,qL,rE,rL,q_cutoff,r_cutoff,score_method
0.5060407262196902,1,1,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.91259949890049,10,1,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.990877594229482,100,1,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.09453922495609209,1,10,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.5131949076633363,10,10,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.9158303143973836,100,10,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.01074969575457711,1,100,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.09816385598142396,10,100,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.5241754749581332,100,100,0.75,0.5,0.5,0.5,0.5,1.5,1.5,ESPN
0.5253580129429544,1,1,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.9231740016149524,10,1,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.9930220797169887,100,1,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.10670733742165624,1,10,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.5549408842239805,10,10,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.9347031383537664,100,10,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.01380479085387583,1,100,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.12369152095279244,10,100,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.5991162857305622,100,100,0.75,0.6,0.5,0.5,0.5,1.5,1.5,ESPN
0.5446232327835105,1,1,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.9326754285327048,10,1,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.9946648873477963,100,1,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.119785166900644,1,10,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.5954579694213344,10,10,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.9495214065598367,100,10,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.01747103898713869,1,100,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.1530499793700881,10,100,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
