wp,n,k,p,qE,qL,rE,rL,q_cutoff,r_cutoff,score_method
0.5060407262196902,1,1,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.91259949890049,10,1,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.990877594229482,100,1,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.09453922495609209,1,10,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.5131949076633363,10,10,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.9158303143973836,100,10,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.01074969575457711,1,100,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.09816385598142396,10,100,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.5241754749581332,100,100,0.75,0.5,0.5,0.5,0.5,3.5,3.5,ESPN
0.5638177608726481,1,1,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.941326001508229,10,1,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.9959573743270892,100,1,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.13380746322626944,1,10,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.6348773491427407,10,10,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.9613874498143432,100,10,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.02179815618787079,1,100,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.1861513016949472,10,100,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.7296047775384561,100,100,0.75,0.6,0.5,0.5,0.5,3.5,3.5,ESPN
0.620410340330975,1,1,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.9617504483764776,10,1,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.99820339344977,100,1,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.1811755042332947,1,10,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.7400062754848842,10,10,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.9825569905003944,100,10,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.03960876017997662,1,100,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.30573325275665325,10,100,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.8625031272547435,100,100,0.75,0.7,0.5,0.5,0.5,3.5,3.5,ESPN
0.6748159027311053,1,1,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.9755875867302078,10,1,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.999141077749086,100,1,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.23600440102183845,1,10,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.8225582250826771,10,10,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.991608360583324,100,10,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.06575056179737414,1,100,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.4427619478044026,10,100,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.9303637953641256,100,100,0.75,0.8,0.5,0.5,0.5,3.5,3.5,ESPN
0.7261453741730207,1,1,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.9845657481861864,10,1,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.9995250707170296,100,1,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.29720811476706926,1,10,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.8822543434804199,10,10,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.995357403509426,100,10,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.10124973671453236,1,100,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.5770362430475023,10,100,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.9610656789383905,100,100,0.75,0.9,0.5,0.5,0.5,3.5,3.5,ESPN
0.7736601949072837,1,1,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.989712761750271,10,1,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.9995988944196014,100,1,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.36339603130814574,1,10,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.9195447782792516,10,10,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.996108742091911,100,10,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.14640852798549725,1,100,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.6851207159405046,10,100,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.968642250561829,100,100,0.75,1,0.5,0.5,0.5,3.5,3.5,ESPN
0.5661634457319222,1,1,0.75,0.5,0.6,0.5,0.5,3.5,3.5,ESPN
0.9355423124111152,10,1,0.75,0.5,0.6,0.5,0.5,3.5,3.5,ESPN
0.9939444967631644,100,1,0.75,0.5,0.6,0.5,0.5,3.5,3.5,ESPN
0.13093050463266587,1,10,0.75,0.5,0.6,0.5,0.5,3.5,3.5,ESPN
0.6077521214697786,10,10,0.75,0.5,0.6,0.5,0.5,3.5,3.5,ESPN
