h,left_tail,H
40,TRUE,38.95274490935614
41,TRUE,39.873066087476026
42,TRUE,40.789275674049236
43,TRUE,41.696522721892435
44,TRUE,42.60380827936305
45,TRUE,43.46721286935242
46,TRUE,44.228366029595136
47,TRUE,45.046365744554585
48,TRUE,45.76003973181557
49,TRUE,46.41377847244335
50,TRUE,46.97488026322661
51,TRUE,47.446212967560996
52,TRUE,47.7712573368941
53,TRUE,48.01590132447162
54,TRUE,48.19485803236508
55,TRUE,48.46724409085095
56,TRUE,48.55902239931994
57,TRUE,48.510481555881306
58,TRUE,48.564762551341914
40,FALSE,48.71345453430722
41,FALSE,48.732637830867624
42,FALSE,48.93364101484388
43,FALSE,48.93200138400561
44,FALSE,49.06135205916955
45,FALSE,49.35635097406231
46,FALSE,49.829478062639076
47,FALSE,50.22519000790897
48,FALSE,50.95465546809133
49,FALSE,51.57670062392059
50,FALSE,52.30125050287021
51,FALSE,53.15342350365863
52,FALSE,54.02390911878245
53,FALSE,54.924190772075704
54,FALSE,55.76802780381244
55,FALSE,56.806153582728456
56,FALSE,57.65791518788977
57,FALSE,58.547417566127116
58,FALSE,59.55791701972214
