p,score,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.5,Hamming,0,0,0,0,0,0,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983,314.99999999999983
0.6,Hamming,0,0,0,0,0,0,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043
0.7,Hamming,0,0,0,0,0,0,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003
0.6,Hamming,0,0,0,0,0,0,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043,252.00000000000043
0.7,Hamming,0,0,0,0,0,0,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003,189.00000000000003
0.8,Hamming,0,0,0,0,0,0,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011,126.00000000000011
0.9,Hamming,0,0,0,0,0,0,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004
1,Hamming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,Hamming,0,0,0,0,0,0,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004,63.00000000000004
1,Hamming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,314.99999999999983,351.42867321290464,375.02050088153857,393.4390152705605,409.12024912723416,423.0661552103058,435.7803287596193,447.5548383283205,458.57648402774737
0.6,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,264.6000000000004,301.484075184079,325.9620090849371,345.24375077662523,361.7386407425777,376.4569736670896,389.9113596606237,402.4009826279394,414.11815904452374
0.5,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,314.99999999999983,351.42867321290464,375.02050088153857,393.4390152705605,409.12024912723416,423.0661552103058,435.7803287596193,447.5548383283205,458.57648402774737
0.6,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,264.6000000000004,301.484075184079,325.9620090849371,345.24375077662523,361.7386407425777,376.4569736670896,389.9113596606237,402.4009826279394,414.11815904452374
0.7,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,214.2,251.5222306403465,276.8116227189514,296.86993540386857,314.09182506833935,329.49747420737606,343.6083198051193,356.7301537351125,369.06026625574606
0.8,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,163.8000000000001,201.54460719298427,227.5848940458387,248.3523424141299,266.2347082853175,282.26284504248105,296.9667687850862,310.6584774295356,323.53984224812
0.9,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,113.40000000000003,151.55252952529125,178.29343240304382,199.71576133077127,218.20563301661352,234.80494975865133,250.05195308107983,264.26470076997396,277.6491246936865
0.8,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,163.8000000000001,201.54460719298427,227.5848940458387,248.3523424141299,266.2347082853175,282.26284504248105,296.9667687850862,310.6584774295356,323.53984224812
0.9,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,113.40000000000003,151.55252952529125,178.29343240304382,199.71576133077127,218.20563301661352,234.80494975865133,250.05195308107983,264.26470076997396,277.6491246936865
1,Hamming,0.1,0.1,0.1,0.1,0.1,0.1,63.00000000000003,101.54718073047204,128.94614499182694,150.97928295276486,170.03332765044627,187.16910370291228,202.91215787565267,217.5948106673096,231.45662608829585
0.5,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,314.99999999999983,363.6549782762005,394.3256215540969,417.566620169408,436.8704440045774,453.6808513593877,468.7249387587559,482.4244527364229,495.04852961705177
0.6,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,277.2000000000004,326.19826145831644,357.5905714447315,381.5920098521426,401.65183938608857,419.2077477617312,434.9872093105323,449.4138423088754,462.75914845115386
0.5,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,314.99999999999983,363.6549782762005,394.3256215540969,417.566620169408,436.8704440045774,453.6808513593877,468.7249387587559,482.4244527364229,495.04852961705177
0.6,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,277.2000000000004,326.19826145831644,357.5905714447315,381.5920098521426,401.65183938608857,419.2077477617312,434.9872093105323,449.4138423088754,462.75914845115386
0.7,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,239.4,288.73418742175113,320.80817443884746,345.51258531577525,366.2626928517571,384.4935415383663,400.9343871961459,416.0112867030889,429.99814189003297
0.8,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,201.6000000000001,251.2630908683727,283.98382885894375,309.3436388561454,330.7311451931279,349.58119504016855,366.62576721156825,382.2937055701571,396.861369051646
0.7,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,239.4,288.73418742175113,320.80817443884746,345.51258531577525,366.2626928517571,384.4935415383663,400.9343871961459,416.0112867030889,429.99814189003297
0.8,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,201.6000000000001,251.2630908683727,283.98382885894375,309.3436388561454,330.7311451931279,349.58119504016855,366.62576721156825,382.2937055701571,396.861369051646
