n,k,p,q,r,wp
100,1,0.75,0.05,0.5,0.04056154282372271
100,10,0.75,0.05,0.5,7.319833206609339e-5
100,100,0.75,0.05,0.5,1.9129256534355934e-7
100,1000,0.75,0.05,0.5,1.258640192070004e-9
100,10000,0.75,0.05,0.5,1.1962764112638524e-11
100,100000,0.75,0.05,0.5,-2.1949109196839345e-11
100,1000000,0.75,0.05,0.5,-2.2200707938679895e-10
100,10000000,0.75,0.05,0.5,-2.2204127425595743e-9
100,100000000,0.75,0.05,0.5,-2.2204427629901602e-8
1000,1,0.75,0.05,0.5,0.07511468010346789
1000,10,0.75,0.05,0.5,2.884755860306232e-4
1000,100,0.75,0.05,0.5,1.0884183424542115e-6
1000,1000,0.75,0.05,0.5,8.631281245286004e-9
1000,10000,0.75,0.05,0.5,1.0678358197679927e-10
1000,100000,0.75,0.05,0.5,-2.002864540884275e-11
1000,1000000,0.75,0.05,0.5,-2.2167334634559663e-10
1000,10000000,0.75,0.05,0.5,-2.2201123162091108e-9
1000,100000000,0.75,0.05,0.5,-2.2204127869684953e-8
10000,1,0.75,0.05,0.5,0.12215152593959366
10000,10,0.75,0.05,0.5,9.279265878670008e-4
10000,100,0.75,0.05,0.5,5.1140853490894145e-6
10000,1000,0.75,0.05,0.5,4.99716751312107e-8
10000,10000,0.75,0.05,0.5,7.233653676053108e-10
10000,100000,0.75,0.05,0.5,-5.362599253544431e-12
10000,1000000,0.75,0.05,0.5,-2.1841062292082822e-10
10000,10000000,0.75,0.05,0.5,-2.217107608615265e-9
10000,100000000,0.75,0.05,0.5,-2.220113004547386e-8
100000,1,0.75,0.05,0.5,0.18121713849410304
100000,10,0.75,0.05,0.5,0.00254755060271683
100000,100,0.75,0.05,0.5,2.0429847444436433e-5
100000,1000,0.75,0.05,0.5,2.490953032729948e-7
100000,10000,0.75,0.05,0.5,4.209801840460159e-9
100000,100000,0.75,0.05,0.5,9.870437800429953e-11
100000,1000000,0.75,0.05,0.5,-1.8659274125809586e-10
100000,10000000,0.75,0.05,0.5,-2.187079850557438e-9
100000,100000000,0.75,0.05,0.5,-2.217115224745214e-8
1000000,1,0.75,0.05,0.5,0.25062579430522447
1000000,10,0.75,0.05,0.5,0.00614072066963744
1000000,100,0.75,0.05,0.5,7.122243751755963e-5
1000000,1000,0.75,0.05,0.5,1.087509756025895e-6
1000000,10000,0.75,0.05,0.5,2.1665465643749823e-8
1000000,100000,0.75,0.05,0.5,8.156924025115585e-10
1000000,1000000,0.75,0.05,0.5,1.2465406484807318e-10
1000000,10000000,0.75,0.05,0.5,-1.886970357745099e-9
1000000,100000000,0.75,0.05,0.5,-2.1871379374260872e-8
10000000,1,0.75,0.05,0.5,0.3277837855048171
10000000,10,0.75,0.05,0.5,0.0132790886488191
10000000,100,0.75,0.05,0.5,2.206752737522466e-4
10000000,1000,0.75,0.05,0.5,4.215431268606018e-6
10000000,10000,0.75,0.05,0.5,1.0074038914176243e-7
10000000,100000,0.75,0.05,0.5,5.916668488481491e-9
10000000,1000000,0.75,0.05,0.5,3.1868582217597922e-9
10000000,10000000,0.75,0.05,0.5,1.1127717636227883e-9
10000000,100000000,0.75,0.05,0.5,-1.8873694607179914e-8
100000000,1,0.75,0.05,0.5,0.4094155506817104
100000000,10,0.75,0.05,0.5,0.02610998977844947
100000000,100,0.75,0.05,0.5,6.145852066504753e-4
100000000,1000,0.75,0.05,0.5,1.4724476842475909e-5
100000000,10000,0.75,0.05,0.5,4.3473473287924946e-7
100000000,100000,0.75,0.05,0.5,4.5484796928896294e-8
100000000,1000000,0.75,0.05,0.5,3.349263744123476e-8
100000000,10000000,0.75,0.05,0.5,3.11007536391017e-8
100000000,100000000,0.75,0.05,0.5,1.11028269911273e-8
1,1,0.75,0.1,0.5,0.01283661247602763
1,10,0.75,0.1,0.5,1.3766673908732764e-5
1,100,0.75,0.1,0.5,4.0600809159130336e-08
1,1000,0.75,0.1,0.5,3.2901015245556664e-10
1,10000,0.75,0.1,0.5,2.350453165433919e-12
1,100000,0.75,0.1,0.5,-2.211653082895282e-11
1,1000000,0.75,0.1,0.5,-2.2204260652358696e-10
1,10000000,0.75,0.1,0.5,-2.220446049250313e-9
1,100000000,0.75,0.1,0.5,-2.2204460714547736e-8
10,1,0.75,0.1,0.5,0.05023819527817452
10,10,0.75,0.1,0.5,1.180242196772152e-4
10,100,0.75,0.1,0.5,3.93736580117654e-7
10,1000,0.75,0.1,0.5,3.264651216028369e-9
10,10000,0.75,0.1,0.5,4.336864201093249e-11
10,100000,0.75,0.1,0.5,-2.1324275678580307e-11
10,1000000,0.75,0.1,0.5,-2.2202173433072403e-10
10,10000000,0.75,0.1,0.5,-2.220443384715054e-9
10,100000000,0.75,0.1,0.5,-2.220445871614629e-8
100,1,0.75,0.1,0.5,0.121407627685594
100,10,0.75,0.1,0.5,7.576047888820936e-4
100,100,0.75,0.1,0.5,3.448329930599847e-6
100,1000,0.75,0.1,0.5,3.118376457056371e-8
100,10000,0.75,0.1,0.5,4.459170810378054e-10
100,100000,0.75,0.1,0.5,-1.3457679415296298e-11
100,1000000,0.75,0.1,0.5,-2.218127903574896e-10
100,10000000,0.75,0.1,0.5,-2.220418071630092e-9
100,100000000,0.75,0.1,0.5,-2.2204438510087243e-8
1000,1,0.75,0.1,0.5,0.22144524424919987
1000,10,0.75,0.1,0.5,0.00348866924519053
1000,100,0.75,0.1,0.5,2.4949193859535868e-5
1000,1000,0.75,0.1,0.5,2.6998985447335144e-7
1000,10000,0.75,0.1,0.5,4.193887126469065e-9
1000,100000,0.75,0.1,0.5,6.268685570631759e-11
1000,1000000,0.75,0.1,0.5,-2.1975354869141484e-10
1000,10000000,0.75,0.1,0.5,-2.220165384869688e-9
1000,100000000,0.75,0.1,0.5,-2.220423667154137e-8
10000,1,0.75,0.1,0.5,0.33994839809596344
10000,10,0.75,0.1,0.5,0.01205557083727659
10000,100,0.75,0.1,0.5,1.4375674475386455e-4
10000,1000,0.75,0.1,0.5,2.005356460221819e-6
10000,10000,0.75,0.1,0.5,3.569766604538671e-8
10000,100000,0.75,0.1,0.5,7.56531504109148e-10
