p,q,n,eMaxScores_Hamming,eMaxScores_ESPN
0.5,0.1,1,31.499999999999993,960.0000000000036
0.6,0.1,1,26.460000000000008,806.3999999999996
0.7,0.1,1,21.420000000000012,652.800000000005
0.8,0.1,1,16.38,499.19999999999703
0.9,0.1,1,11.34,345.5999999999986
1,0.1,1,6.3000000000000025,191.99999999999778
0.5,0.2,1,31.499999999999993,960.0000000000036
0.6,0.2,1,27.720000000000006,844.8000000000038
0.7,0.2,1,23.93999999999998,729.5999999999989
0.8,0.2,1,20.16,614.3999999999983
0.9,0.2,1,16.38,499.19999999999703
1,0.2,1,12.600000000000003,384.0000000000016
0.5,0.30000000000000004,1,31.499999999999993,960.0000000000036
0.6,0.30000000000000004,1,28.97999999999999,883.2000000000031
0.7,0.30000000000000004,1,26.460000000000008,806.3999999999996
0.8,0.30000000000000004,1,23.93999999999998,729.5999999999989
0.9,0.30000000000000004,1,21.420000000000012,652.800000000005
1,0.30000000000000004,1,18.899999999999995,576.0000000000005
0.5,0.4,1,31.499999999999993,960.0000000000036
0.6,0.4,1,30.24000000000001,921.5999999999995
0.7,0.4,1,28.97999999999999,883.2000000000031
0.8,0.4,1,27.720000000000006,844.8000000000038
0.9,0.4,1,26.460000000000008,806.3999999999996
1,0.4,1,25.199999999999992,767.9999999999937
0.5,0.5,1,31.499999999999993,960.0000000000036
0.6,0.5,1,31.499999999999993,960.0000000000036
0.7,0.5,1,31.499999999999993,960.0000000000036
0.8,0.5,1,31.499999999999993,960.0000000000036
0.9,0.5,1,31.499999999999993,960.0000000000036
1,0.5,1,31.499999999999993,960.0000000000036
0.5,0.6,1,31.499999999999993,960.0000000000036
0.6,0.6,1,32.76,998.4000000000027
0.7,0.6,1,34.020000000000024,1036.7999999999863
0.8,0.6,1,35.28,1075.200000000003
0.9,0.6,1,36.54,1113.600000000014
1,0.6,1,37.800000000000004,1152.0000000000134
0.5,0.7000000000000001,1,31.499999999999993,960.0000000000036
0.6,0.7000000000000001,1,34.020000000000024,1036.7999999999863
0.7,0.7000000000000001,1,36.539999999999985,1113.600000000014
0.8,0.7000000000000001,1,39.06000000000002,1190.3999999999985
0.9,0.7000000000000001,1,41.58000000000002,1267.1999999999914
1,0.7000000000000001,1,44.1,1343.9999999999927
0.5,0.8,1,31.499999999999993,960.0000000000036
0.6,0.8,1,35.28,1075.200000000003
0.7,0.8,1,39.06,1190.3999999999985
0.8,0.8,1,42.84000000000001,1305.6
0.9,0.8,1,46.620000000000026,1420.7999999999931
1,0.8,1,50.39999999999999,1536.000000000007
0.5,0.9,1,31.499999999999993,960.0000000000036
0.6,0.9,1,36.54,1113.600000000014
0.7,0.9,1,41.58000000000002,1267.1999999999914
0.8,0.9,1,46.620000000000026,1420.7999999999931
0.9,0.9,1,51.66000000000001,1574.3999999999949
1,0.9,1,56.69999999999998,1727.9999999999905
0.5,1,1,31.499999999999993,960.0000000000036
0.6,1,1,37.800000000000004,1152.0000000000134
0.7,1,1,44.1,1343.9999999999927
0.8,1,1,50.39999999999999,1536.000000000007
0.9,1,1,56.69999999999998,1727.9999999999905
1,1,1,63,1920
0.5,0.1,10,37.58681701694248,1297.8978650035908
0.6,0.1,10,32.51382479398059,1152.0130186678043
0.7,0.1,10,27.27600322294476,996.6115380027765
0.8,0.1,10,21.850878296953926,830.2671539455799
0.9,0.1,10,16.186952881790553,649.6446503882026
1,0.1,10,10.15471807304721,445.5782559698401
0.5,0.2,10,37.58681701694248,1297.8978650035908
0.6,0.2,10,33.797045085008854,1189.3459262516938
0.7,0.2,10,29.91646571034846,1075.5618041942232
0.8,0.2,10,25.9386284045258,956.1372367722513
0.9,0.2,10,21.850878296953926,830.2671539455799
1,0.2,10,17.630110505140284,696.4559592667853
0.5,0.30000000000000004,10,37.58681701694248,1297.8978650035908
0.6,0.30000000000000004,10,35.07021132460337,1226.0996549414851
0.7,0.30000000000000004,10,32.51382479398059,1152.0130186678043
0.8,0.30000000000000004,10,29.91646571034846,1075.5618041942232
0.9,0.30000000000000004,10,27.27600322294476,996.6115380027765
1,0.30000000000000004,10,24.589121207224586,914.9520319207766
0.5,0.4,10,37.58681701694248,1297.8978650035908
0.6,0.4,10,36.33344490183381,1262.2820262693074
