p,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.75,0.5,0.5,0.5,0.65,0.65,0.65,887.9999999999997,1223.9792684373665,1400.9909258370817,1508.707282612856,1584.24410835254,1641.4059323643105,1686.5672539131651,1723.3358165180834,1753.976302707771
0.75,1,1,1,0.6,0.6,0.6,671.9999999999999,988.4591650216008,1131.864346799174,1195.1250164347252,1199.999999191875,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.65,0.65,0.65,887.9999999999997,1223.9792684373665,1400.9909258370817,1508.707282612856,1584.24410835254,1641.4059323643105,1686.5672539131651,1723.3358165180834,1753.976302707771
0.75,0.55,0.55,0.55,0.65,0.65,0.65,863.9999999999998,1199.8262769071869,1376.8272075709815,1484.7175021013431,1560.6349219032568,1618.385487926823,1664.324422700592,1702.0056085162328,1733.633440528848
0.75,0.6,0.6,0.6,0.65,0.65,0.65,839.9999999999999,1175.2676004526782,1351.833429581813,1459.463145029181,1535.3589647973038,1593.3437826040235,1639.7621665616311,1678.1182405372788,1710.552225594079
0.75,0.65,0.65,0.65,0.65,0.65,0.65,815.9999999999998,1150.2978599020146,1325.9856207747907,1432.889710994761,1508.3278142578354,1566.1625370377992,1612.736949345572,1651.5048699711283,1684.536466817966
0.75,0.6,0.6,0.6,0.65,0.65,0.65,839.9999999999999,1175.2676004526782,1351.833429581813,1459.463145029181,1535.3589647973038,1593.3437826040235,1639.7621665616311,1678.1182405372788,1710.552225594079
0.75,0.65,0.65,0.65,0.65,0.65,0.65,815.9999999999998,1150.2978599020146,1325.9856207747907,1432.889710994761,1508.3278142578354,1566.1625370377992,1612.736949345572,1651.5048699711283,1684.536466817966
0.75,0.7,0.7,0.7,0.65,0.65,0.65,791.9999999999999,1124.9096287490415,1299.2493535062592,1404.9142608252555,1479.401064335852,1536.6486865550476,1583.0125145397897,1621.8912624253005,1655.2758378258543
0.75,0.75,0.75,0.75,0.65,0.65,0.65,767.9999999999998,1099.0932131598986,1271.5773543146015,1375.4154645759695,1448.3638693224652,1504.5002535732922,1550.2166325733374,1588.8465690926437,1622.2875536330455
0.75,0.7,0.7,0.7,0.65,0.65,0.65,791.9999999999999,1124.9096287490415,1299.2493535062592,1404.9142608252555,1479.401064335852,1536.6486865550476,1583.0125145397897,1621.8912624253005,1655.2758378258543
0.75,0.75,0.75,0.75,0.65,0.65,0.65,767.9999999999998,1099.0932131598986,1271.5773543146015,1375.4154645759695,1448.3638693224652,1504.5002535732922,1550.2166325733374,1588.8465690926437,1622.2875536330455
0.75,0.8,0.8,0.8,0.65,0.65,0.65,743.9999999999998,1072.8363409619503,1242.905730877916,1344.2155652089937,1414.8819462656045,1469.2361144014667,1513.7519551147543,1551.6786897769748,1584.798369010794
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.65,0.65,0.65,719.9999999999998,1046.1237265277578,1213.1479295162198,1311.045746262732,1378.4016742665733,1430.036311682873,1472.5928073335629,1509.1960010309288,1541.4764098931464
0.75,0.9,0.9,0.9,0.65,0.65,0.65,695.9999999999998,1018.9362846964896,1182.1844798470197,1275.4719896683523,1337.8802184804388,1385.302170972746,1424.7244281294672,1459.048715427542,1489.688859181066
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.65,0.65,0.65,719.9999999999998,1046.1237265277578,1213.1479295162198,1311.045746262732,1378.4016742665733,1430.036311682873,1472.5928073335629,1509.1960010309288,1541.4764098931464
0.75,0.9,0.9,0.9,0.65,0.65,0.65,695.9999999999998,1018.9362846964896,1182.1844798470197,1275.4719896683523,1337.8802184804388,1385.302170972746,1424.7244281294672,1459.048715427542,1489.688859181066
0.75,0.95,0.95,0.95,0.65,0.65,0.65,671.9999999999998,991.2345851301668,1149.8237815452023,1236.6912212736331,1290.7152331853886,1330.9060548482516,1364.9093576195105,1395.095363458786,1422.5222202130617
0.75,1,1,1,0.65,0.65,0.65,647.9999999999998,960.9782336757028,1111.1074174151731,1183.8747207769577,1199.982724105511,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.95,0.95,0.95,0.65,0.65,0.65,671.9999999999998,991.2345851301668,1149.8237815452023,1236.6912212736331,1290.7152331853886,1330.9060548482516,1364.9093576195105,1395.095363458786,1422.5222202130617
0.75,1,1,1,0.65,0.65,0.65,647.9999999999998,960.9782336757028,1111.1074174151731,1183.8747207769577,1199.982724105511,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.7,0.7,0.7,863.9999999999998,1192.8652744367023,1374.047044383335,1486.291327948623,1565.7062538809546,1626.1767785195875,1674.0685597092604,1712.9847318620764,1745.279649137398
0.75,0.55,0.55,0.55,0.7,0.7,0.7,839.9999999999999,1168.713602324959,1349.8843541953677,1462.28049508018,1542.0296340823684,1603.0186775860068,1651.6149426778245,1691.3917172136871,1724.6469327936206
0.75,0.5,0.5,0.5,0.7,0.7,0.7,863.9999999999998,1192.8652744367023,1374.047044383335,1486.291327948623,1565.7062538809546,1626.1767785195875,1674.0685597092604,1712.9847318620764,1745.279649137398
0.75,0.55,0.55,0.55,0.7,0.7,0.7,839.9999999999999,1168.713602324959,1349.8843541953677,1462.28049508018,1542.0296340823684,1603.0186775860068,1651.6149426778245,1691.3917172136871,1724.6469327936206
0.75,0.6,0.6,0.6,0.7,0.7,0.7,815.9999999999998,1144.1559965754425,1324.913415032579,1437.052690829873,1516.7534971283728,1577.9181151274086,1626.919205652261,1667.307202980176,1701.326662719077
0.75,0.65,0.65,0.65,0.7,0.7,0.7,791.9999999999998,1119.187079214695,1299.111692663516,1410.5573964592904,1489.7950949676415,1550.7618348849496,1599.8423938372998,1640.5683106556176,1675.1301924614068
0.75,0.7,0.7,0.7,0.7,0.7,0.7,767.9999999999998,1093.7994701428702,1272.4472034732096,1382.7189870396762,1461.02563037525,1521.368298056101,1570.1579533843155,1610.9101152748367,1645.7569091379123
0.75,0.65,0.65,0.65,0.7,0.7,0.7,791.9999999999998,1119.187079214695,1299.111692663516,1410.5573964592904,1489.7950949676415,1550.7618348849496,1599.8423938372998,1640.5683106556176,1675.1301924614068
0.75,0.7,0.7,0.7,0.7,0.7,0.7,767.9999999999998,1093.7994701428702,1272.4472034732096,1382.7189870396762,1461.02563037525,1521.368298056101,1570.1579533843155,1610.9101152748367,1645.7569091379123
0.75,0.75,0.75,0.75,0.7,0.7,0.7,743.9999999999998,1067.9835612926868,1244.87643738606,1353.4283865640732,1430.2512233591503,1489.4568091138333,1537.5111447668926,1577.9168432940887,1612.7380156963072
0.75,0.8,0.8,0.8,0.7,0.7,0.7,719.9999999999998,1041.727192575821,1216.341109193784,1322.5282701051012,1397.1757665332152,1454.584515011228,1501.335400048772,1540.9218091605971,1575.3224580856115
0.75,0.75,0.75,0.75,0.7,0.7,0.7,743.9999999999998,1067.9835612926868,1244.87643738606,1353.4283865640732,1430.2512233591503,1489.4568091138333,1537.5111447668926,1577.9168432940887,1612.7380156963072
0.75,0.8,0.8,0.8,0.7,0.7,0.7,719.9999999999998,1041.727192575821,1216.341109193784,1322.5282701051012,1397.1757665332152,1454.584515011228,1501.335400048772,1540.9218091605971,1575.3224580856115
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.7,0.7,0.7,695.9999999999998,1015.0151866551618,1186.7629913550163,1289.7854128045967,1361.3211883706924,1416.0040094443134,1460.661799760646,1498.779391560868,1532.2174670626189
0.75,0.9,0.9,0.9,0.7,0.7,0.7,671.9999999999999,987.8284924580456,1156.0351520710926,1254.833530843389,1321.821805977885,1372.2723768608373,1413.5935043302195,1449.2348749604755,1480.8705158288994
0.75,0.95,0.95,0.95,0.7,0.7,0.7,647.9999999999998,960.1276344933924,1123.9863572382656,1217.019231981444,1276.6557851378177,1319.6928567922484,1355.2120998727332,1386.4067794167884,1414.58973346931
0.75,0.9,0.9,0.9,0.7,0.7,0.7,671.9999999999999,987.8284924580456,1156.0351520710926,1254.833530843389,1321.821805977885,1372.2723768608373,1413.5935043302195,1449.2348749604755,1480.8705158288994
0.75,0.95,0.95,0.95,0.7,0.7,0.7,647.9999999999998,960.1276344933924,1123.9863572382656,1217.019231981444,1276.6557851378177,1319.6928567922484,1355.2120998727332,1386.4067794167884,1414.58973346931
0.75,1,1,1,0.7,0.7,0.7,623.9999999999998,929.8723844893568,1085.9011541181162,1166.6690179796356,1198.6501420873428,1199.9999999966158,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.75,0.75,0.75,839.9999999999998,1157.8319557924824,1342.3267425693505,1458.9731552551702,1542.4669968429607,1606.6016114241752,1657.756144142354,1699.4181880521423,1733.906884751426
0.75,1,1,1,0.7,0.7,0.7,623.9999999999998,929.8723844893568,1085.9011541181162,1166.6690179796356,1198.6501420873428,1199.9999999966158,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.75,0.75,0.75,839.9999999999998,1157.8319557924824,1342.3267425693505,1458.9731552551702,1542.4669968429607,1606.6016114241752,1657.756144142354,1699.4181880521423,1733.906884751426
0.75,0.55,0.55,0.55,0.75,0.75,0.75,815.9999999999998,1133.6811834016407,1318.166021921052,1434.9455995551452,1518.7314509968137,1583.3156012463007,1635.086698060528,1677.5313231181167,1712.9317737850477
0.75,0.6,0.6,0.6,0.75,0.75,0.75,791.9999999999998,1109.1201833064315,1293.213682428954,1409.7452815927657,1493.4621163125362,1558.1702036296142,1610.2655550385114,1653.2370334023294,1689.3378338354155
0.75,0.65,0.65,0.65,0.75,0.75,0.75,767.9999999999998,1084.143459939887,1267.4482448680285,1383.325283560606,1466.5819643853874,1531.058211434443,1583.1588595925257,1626.3783175961669,1662.944522975946
0.75,0.6,0.6,0.6,0.75,0.75,0.75,791.9999999999998,1109.1201833064315,1293.213682428954,1409.7452815927657,1493.4621163125362,1558.1702036296142,1610.2655550385114,1653.2370334023294,1689.3378338354155
0.75,0.65,0.65,0.65,0.75,0.75,0.75,767.9999999999998,1084.143459939887,1267.4482448680285,1383.325283560606,1466.5819643853874,1531.058211434443,1583.1588595925257,1626.3783175961669,1662.944522975946
0.75,0.7,0.7,0.7,0.75,0.75,0.75,743.9999999999999,1058.7435206110467,1240.8395233764495,1355.616527264593,1437.9734859158502,1501.8115197607135,1553.55205717307,1596.701098832044,1633.4624529397777
0.75,0.75,0.75,0.75,0.75,0.75,0.75,719.9999999999998,1032.910630493993,1213.3467655984623,1326.5207519711134,1407.46281561367,1470.17425762088,1521.1127409580329,1563.8084781796974,1600.4399485089425
0.75,0.7,0.7,0.7,0.75,0.75,0.75,743.9999999999999,1058.7435206110467,1240.8395233764495,1355.616527264593,1437.9734859158502,1501.8115197607135,1553.55205717307,1596.701098832044,1633.4624529397777
0.75,0.75,0.75,0.75,0.75,0.75,0.75,719.9999999999998,1032.910630493993,1213.3467655984623,1326.5207519711134,1407.46281561367,1470.17425762088,1521.1127409580329,1563.8084781796974,1600.4399485089425
0.75,0.8,0.8,0.8,0.75,0.75,0.75,695.9999999999998,1006.6324510734393,1184.9157628993612,1295.8982904439129,1374.7896807763643,1435.7489219357026,1485.3144552507445,1527.066680356299,1563.154124096039
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.75,0.75,0.75,671.9999999999998,979.8934941332094,1155.474265705494,1263.5457177200617,1339.5455538187011,1397.8767405942317,1445.263728740376,1485.390712471753,1520.362844414535
0.75,0.8,0.8,0.8,0.75,0.75,0.75,695.9999999999998,1006.6324510734393,1184.9157628993612,1295.8982904439129,1374.7896807763643,1435.7489219357026,1485.3144552507445,1527.066680356299,1563.154124096039
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.75,0.75,0.75,671.9999999999998,979.8934941332094,1155.474265705494,1263.5457177200617,1339.5455538187011,1397.8767405942317,1445.263728740376,1485.390712471753,1520.362844414535
0.75,0.9,0.9,0.9,0.75,0.75,0.75,647.9999999999998,952.6740669503732,1124.9241647268414,1229.15082230088,1301.0243999895597,1355.3150524727944,1399.2237305176327,1436.6522836468143,1469.6184649900486
0.75,0.95,0.95,0.95,0.75,0.75,0.75,623.9999999999999,924.933251149309,1093.1082196462412,1192.1716474312352,1257.7244747113175,1304.967505196216,1342.7148354806604,1375.315508937589,1404.5185281250515
0.75,1,1,1,0.75,0.75,0.75,599.9999999999999,894.6036592386577,1055.4864756216257,1143.8922138351677,1190.1015323696402,1199.9761372862288,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.95,0.95,0.95,0.75,0.75,0.75,623.9999999999999,924.933251149309,1093.1082196462412,1192.1716474312352,1257.7244747113175,1304.967505196216,1342.7148354806604,1375.315508937589,1404.5185281250515
0.75,1,1,1,0.75,0.75,0.75,599.9999999999999,894.6036592386577,1055.4864756216257,1143.8922138351677,1190.1015323696402,1199.9761372862288,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.8,0.8,0.8,816,1118.0529675984649,1304.7391471325082,1425.353835943088,1513.0161097412015,1581.0424483377078,1635.9041068642946,1680.9788385423976,1718.4007801610064
0.75,0.55,0.55,0.55,0.8,0.8,0.8,791.9999999999998,1093.902837860048,1280.581047550446,1401.3142360828444,1489.2303257597823,1557.6432793991644,1613.028423666426,1658.779923727004,1697.0284718205378
0.75,0.5,0.5,0.5,0.8,0.8,0.8,816,1118.0529675984649,1304.7391471325082,1425.353835943088,1513.0161097412015,1581.0424483377078,1635.9041068642946,1680.9788385423976,1718.4007801610064
0.75,0.55,0.55,0.55,0.8,0.8,0.8,791.9999999999998,1093.902837860048,1280.581047550446,1401.3142360828444,1489.2303257597823,1557.6432793991644,1613.028423666426,1658.779923727004,1697.0284718205378
0.75,0.6,0.6,0.6,0.8,0.8,0.8,767.9999999999998,1069.332481140776,1255.6419558370224,1376.1410773751454,1463.9730725218928,1532.467419778323,1588.1001796051055,1634.2774871162055,1673.1311487925925
0.75,0.65,0.65,0.65,0.8,0.8,0.8,743.9999999999998,1044.3361215117195,1229.901019712155,1349.7905871139026,1437.1727431840338,1505.4143826586865,1560.9917155172352,1607.3203334663615,1646.536132647809
0.75,0.7,0.7,0.7,0.8,0.8,0.8,719.9999999999999,1018.9059425027284,1203.3291416467346,1322.19943178097,1408.722192289867,1476.3302754533172,1531.5032364241838,1577.6675956597628,1616.9669312930455
0.75,0.65,0.65,0.65,0.8,0.8,0.8,743.9999999999998,1044.3361215117195,1229.901019712155,1349.7905871139026,1437.1727431840338,1505.4143826586865,1560.9917155172352,1607.3203334663615,1646.536132647809
0.75,0.7,0.7,0.7,0.8,0.8,0.8,719.9999999999999,1018.9059425027284,1203.3291416467346,1322.19943178097,1408.722192289867,1476.3302754533172,1531.5032364241838,1577.6675956597628,1616.9669312930455
