h,opp_prob_method,n,k,entropy_cutoff,left_tail,wpESPN_scores,wpHamming_scores
51,naive_chalky,1000,10000,48,FALSE,0.1484,0.227
52,naive_chalky,1000,10000,50,FALSE,0.12004000000000001,0.23032
53,naive_chalky,1000,10000,51,FALSE,0.12136,0.25852
54,naive_chalky,1000,10000,52,FALSE,0.12348,0.26516
55,naive_chalky,1000,10000,53,FALSE,0.12828,0.29336
56,naive_chalky,1000,10000,54,FALSE,0.13724,0.28956
57,naive_chalky,1000,10000,55,FALSE,0.14288,0.29392
58,naive_chalky,1000,10000,56,FALSE,0.1462,0.30204
40,naive_chalky,10000,10000,41,TRUE,0.63852,0.72524
41,naive_chalky,10000,10000,42,TRUE,0.6514,0.72764
42,naive_chalky,10000,10000,43,TRUE,0.65856,0.73064
43,naive_chalky,10000,10000,44,TRUE,0.66688,0.73052
44,naive_chalky,10000,10000,46,TRUE,0.6882,0.73556
45,naive_chalky,10000,10000,47,TRUE,0.70088,0.74604
46,naive_chalky,10000,10000,48,TRUE,0.7126399999999999,0.75292
47,naive_chalky,10000,10000,50,TRUE,0.72932,0.7944
48,naive_chalky,10000,10000,53,TRUE,0.73384,0.83064
49,naive_chalky,10000,10000,43,FALSE,0.698,0.83368
50,naive_chalky,10000,10000,46,FALSE,0.6998,0.84808
51,naive_chalky,10000,10000,48,FALSE,0.53308,0.72432
52,naive_chalky,10000,10000,50,FALSE,0.34872,0.5028
53,naive_chalky,10000,10000,51,FALSE,0.32008,0.5036
54,naive_chalky,10000,10000,52,FALSE,0.31776,0.51508
55,naive_chalky,10000,10000,53,FALSE,0.31688,0.52048
56,naive_chalky,10000,10000,54,FALSE,0.31952,0.53704
57,naive_chalky,10000,10000,55,FALSE,0.32656,0.537
58,naive_chalky,10000,10000,56,FALSE,0.32212,0.54472
