h,left_tail,H
40,TRUE,38.98354827999079
41,TRUE,39.89335411656185
42,TRUE,40.83558954560031
43,TRUE,41.693773932016136
44,TRUE,42.56652754629443
45,TRUE,43.44171744254206
46,TRUE,44.25124637116708
47,TRUE,45.01863084185243
48,TRUE,45.78562832968021
49,TRUE,46.50572417481999
50,TRUE,46.95704282258519
51,TRUE,47.414244127310155
52,TRUE,47.717723166588414
53,TRUE,47.93977762973464
54,TRUE,48.26649850189637
55,TRUE,48.43796316357188
56,TRUE,48.502159250190424
57,TRUE,48.57775008202169
58,TRUE,48.63548435810705
40,FALSE,48.78107031011666
41,FALSE,48.75943366408819
42,FALSE,48.79684311757548
43,FALSE,48.93913907547187
44,FALSE,49.19702933244149
45,FALSE,49.35678065368656
46,FALSE,49.77942850116444
47,FALSE,50.37999347434411
48,FALSE,50.86579857773514
49,FALSE,51.5014478440392
50,FALSE,52.35663879738915
51,FALSE,53.1623880713725
52,FALSE,54.06264461247299
53,FALSE,54.93555520743815
54,FALSE,55.84616983010916
55,FALSE,56.747492616523985
56,FALSE,57.66437359730616
57,FALSE,58.56065991847493
58,FALSE,59.48314214641601
