PP,horse,sire,trainer,jockey,ML_decimal_odds,probs,result,winner,race_num
6,Bouncer,Adios Charlie,Mark E. Casse,Luis  Saez,7,0.11094818443671414,2,0,4
7,Life Changer,Oxbow,"John P. Terranova, II",Joel  Rosario,4.5,0.1725860646793331,1,1,4
8,Asmodeus,Cairo Prince,William E. Morey,Dylan  Davis,7,0.11094818443671414,NA,0,4
9,Twelth Man,Super Saver,Michelle  Nevin,Javier  Castellano,7,0.11094818443671414,3,0,4
10,Luni Sima,Keen Ice,Peter R. Walder,Eric  Cancel,9,0.08629303233966655,NA,0,4
1,Chez Pierre (FR),Mehmas (IRE),Arnaud  Delacour,Flavien  Prat,2,0.30123659477926784,3,0,5
2,Emaraaty (GB),Dubawi (IRE),Chad C. Brown,Jose L. Ortiz,7,0.08606759850836224,NA,0,5
3,Mackinnon,American Pharoah,Chad C. Brown,Joel  Rosario,16,0.03765457434740848,NA,0,5
4,Dreams of Tomorrow,Speightstown,Claude R. McGaughey III,Manuel  Franco,13,0.04634409150450275,NA,0,5
5,Anaconda,Pioneerof the Nile,Joe  Sharp,Tyler  Gaffalione,9,0.06694146550650397,4,0,5
6,Emmanuel,More Than Ready,Todd A. Pletcher,"Irad  Ortiz, Jr.",5.5,0.10954057991973377,1,1,5
7,Filo Di Arianna (BRZ),Drosselmeyer,Mark E. Casse,Luis  Saez,5,0.12049463791170714,2,0,5
8,Bourbon Calling,Dialed In,Antonio  Arriaga,  Rider TBA,2.6,0.23172045752251372,NA,0,5
1,Portos,Tapit,Thomas  Morley,Trevor  McCarthy,16,0.04877933654139971,NA,0,6
2,Red Run,Gun Runner,Michael J. Maker,Tyler  Gaffalione,7,0.11149562638034219,3,0,6
3,Alfio,Mucho Macho Man,Anthony T. Quartarolo,Luis  Saez,51,0.015303321267890104,NA,0,6
4,Bright Future,Curlin,Todd A. Pletcher,"Irad  Ortiz, Jr.",5,0.1560938769324791,NA,0,6
5,Next,Not This Time,William D. Cowans,Luan  Machado,4,0.19511734616559884,1,1,6
6,Forewarned,Flat Out,Uriah  St. Lewis,Dexter  Haddock,21,0.037165208793447396,NA,0,6
7,Warrant,Constitution,Brad H. Cox,Flavien  Prat,3.5,0.22299125276068438,4,0,6
8,Lone Rock,Majestic Warrior,Robertino  Diodoro,Javier  Castellano,7,0.11149562638034219,NA,0,6
9,Calibrate,Distorted Humor,Jamie  Ness,Ruben  Silvera,11,0.07095176224203595,2,0,6
10,Centavo,Flashstorm,Naipaul  Chatterpaul,Omar  Hernandez Moreno,51,0.015303321267890104,NA,0,6
11,Code Runner,Honor Code,Caio  Caramori,Reylu  Gutierrez,51,0.015303321267890104,NA,0,6
1,Pass the Champagne,Flatter,George  Weaver,Feargal  Lynch,9,0.08808171614674455,4,0,7
2,Search Results,Flatter,Chad C. Brown,Flavien  Prat,5,0.1585470890641402,2,0,7
3,Gamestonks,Blofeld,Rodolfo  Sanchez-Salomon,Jean C. Alvelo,51,0.015543832261190216,NA,0,7
4,Secret Oath,Arrogate,D. Wayne Lukas,Tyler  Gaffalione,3,0.2642451484402336,NA,0,7
5,Played Hard,Into Mischief,Philip A. Bauer,John R. Velazquez,7,0.11324792076010014,3,0,7
6,Clairiere,Curlin,Steven M. Asmussen,Joel  Rosario,2.2,0.36033429332759137,1,1,7
1,New York Thunder,Nyquist,Jorge  Delgado,"Ricardo  Santana, Jr.",13,0.06022871942410546,NA,0,8
2,Gun Pilot,Gun Runner,Steven M. Asmussen,Tyler  Gaffalione,21,0.03728444535777957,NA,0,8
3,Arabian Lion,Justify,Bob  Baffert,John R. Velazquez,5,0.15659467050267417,1,1,8
4,General Jim,Into Mischief,Claude R. McGaughey III,Luis  Saez,4.5,0.17399407833630465,NA,0,8
5,Arman,Bolt d'Oro,Peter  Miller,Jose L. Ortiz,31,0.02525720491978616,NA,0,8
6,Harrodsburg,Constitution,Rob  Atras,Manuel  Franco,13,0.06022871942410546,NA,0,8
7,Federal Judge,Army Mule,Rodolphe  Brisset,Flavien  Prat,9,0.08699703916815232,4,0,8
8,Fort Bragg,Tapit,Bob  Baffert,Joel  Rosario,6,0.13049555875222846,NA,0,8
9,Fort Warren,Curlin,Brittany T. Russell,Sheldon  Russell,31,0.02525720491978616,NA,0,8
10,Dark Vector,Bolt d'Oro,George  Weaver,Javier  Castellano,31,0.02525720491978616,NA,0,8
11,Victory Formation,Tapwrit,Brad H. Cox,Florent  Geroux,11,0.07117939568303373,NA,0,8
12,Gilmore,Twirling Candy,Brendan P. Walsh,"Irad  Ortiz, Jr.",13,0.06022871942410546,3,0,8
13,Drew's Gold,Violence,James K. Chapman,Jose Antonio Gomez,9,0.08699703916815232,2,0,8
1,Yes and Yes,Sidney's Candy,David G. Donk,Florent  Geroux,21,0.03365636732546466,NA,0,9
2,Go Bears Go (IRE),Kodi Bear (IRE),Wesley A. Ward,Jose L. Ortiz,13,0.054367977987289075,NA,0,9
3,Air Force Red,Air Force Blue,Leonard  Powell,John R. Velazquez,13,0.054367977987289075,NA,0,9
4,Mid Day Image,Midshipman,David  Jacobson,Kendrick  Carmouche,31,0.0227994746398309,NA,0,9
5,Dr Zempf (GB),Dark Angel (IRE),Chad C. Brown,Flavien  Prat,9,0.07853152375941755,4,0,9
6,Ice Chocolat (BRZ),Goldikovic (IRE),Mark E. Casse,Dylan  Davis,31,0.0227994746398309,NA,0,9
7,Thin White Duke,Dominus,David G. Donk,Javier  Castellano,31,0.0227994746398309,NA,0,9
8,Arrest Me Red,Pioneerof the Nile,Wesley A. Ward,"Irad  Ortiz, Jr.",7,0.10096910197639399,NA,0,9
9,Nothing Better,Munnings,"Jorge  Duarte, Jr.",Manuel  Franco,9,0.07853152375941755,NA,0,9
10,Big Invasion,Declaration of War,Christophe  Clement,Joel  Rosario,7,0.10096910197639399,2,0,9
11,Casa Creed,Jimmy Creed,William I. Mott,Luis  Saez,5.5,0.12850612978813783,3,0,9
12,Caravel,Mizzen Mast,Brad H. Cox,Tyler  Gaffalione,4,0.1766959284586895,1,1,9
13,Front Run the Fed,Fed Biz,Caio  Caramori,Reylu  Gutierrez,31,0.0227994746398309,NA,0,9
14,Surprise Boss,War Dancer,Rafael  Romero,Trevor  McCarthy,51,0.013858504192838392,NA,0,9
15,Coppola,Into Mischief,Dale L. Romans,John R. Velazquez,16,0.044173982114672376,NA,0,9
16,Our Shot,Kantharos,"John P. Terranova, II",Javier  Castellano,16,0.044173982114672376,NA,0,9
1,Cody's Wish,Curlin,William I. Mott,Junior  Alvarado,2.4,0.32582760484632733,1,1,10
2,Slow Down Andy,Nyquist,Doug F. O'Neill,Mario  Gutierrez,11,0.07108965923919869,NA,0,10
3,Dr. Schivel,Violence,Mark  Glatt,"Irad  Ortiz, Jr.",11,0.07108965923919869,NA,0,10
4,Hoist the Gold,Mineshaft,Dallas  Stewart,Luis  Saez,31,0.025225362955844693,NA,0,10
5,Charge It,Tapit,Todd A. Pletcher,John R. Velazquez,7,0.11171232166159793,4,0,10
6,Zandon,Upstart,Chad C. Brown,Flavien  Prat,6,0.1303310419385309,2,0,10
7,Repo Rocks,Tapiture,Jamie  Ness,Ruben  Silvera,5,0.1563972503262371,NA,0,10
8,Doppelganger,Into Mischief,Brittany T. Russell,Jevian  Toledo,21,0.03723744055386598,NA,0,10
9,White Abarrio,Race Day,"Richard E. Dutrow, Jr.",Tyler  Gaffalione,11,0.07108965923919869,3,0,10
1,So High (GB),Nathaniel (IRE),Naipaul  Chatterpaul,Javier  Castellano,51,0.015327014916469874,NA,0,11
2,Strong Quality,Quality Road,Mark E. Casse,Florent  Geroux,16,0.04885486004624772,NA,0,11
3,Warren Point (GB),Dubawi (IRE),Charles  Appleby,Richard  Mullen,6,0.1302796267899939,NA,0,11
4,Ottoman Fleet (GB),Sea The Stars (IRE),Charles  Appleby,William  Buick,3.5,0.223336503068561,3,0,11
5,Soldier Rising (GB),Frankel (GB),Christophe  Clement,Jose L. Ortiz,13,0.06012905851845874,2,0,11
6,Red Knight,Pure Prize,Michael J. Maker,Tyler  Gaffalione,9,0.08685308452666261,4,0,11
7,Rockemperor (IRE),Holy Roman Emperor (IRE),Chad C. Brown,Flavien  Prat,13,0.06012905851845874,NA,0,11
8,Up to the Mark,Not This Time,Todd A. Pletcher,"Irad  Ortiz, Jr.",2.6,0.30064529259229367,1,1,11
9,Ocean Atlantique,American Pharoah,Michael J. Maker,Luis  Saez,21,0.03722275051142684,NA,0,11
10,Highest Honors,Tapit,Chad C. Brown,Joel  Rosario,21,0.03722275051142684,NA,0,11
1,Tapit Shoes,Tapit,Brad H. Cox,Jose L. Ortiz,21,0.03752484576710661,NA,0,12
2,Tapit Trice,Tapit,Todd A. Pletcher,Luis  Saez,4,0.1970054402773097,3,0,12
3,Arcangelo,Arrogate,Jena M. Antonucci,Javier  Castellano,9,0.08755797345658209,1,1,12
4,National Treasure,Quality Road,Bob  Baffert,John R. Velazquez,6,0.13133696018487312,NA,0,12
5,Il Miracolo,Gun Runner,Antonio  Sano,Marcos  Meneses,31,0.025420056809975444,NA,0,12
6,Forte,Violence,Todd A. Pletcher,"Irad  Ortiz, Jr.",3.5,0.22514907460263964,2,0,12
7,Hit Show,Candy Ride (ARG),Brad H. Cox,Manuel  Franco,11,0.07163834191902171,4,0,12
8,Angel of Empire,Classic Empire,Brad H. Cox,Flavien  Prat,4.5,0.17511594691316418,5,0,12
9,Red Route One,Gun Runner,Steven M. Asmussen,Joel  Rosario,16,0.04925136006932743,NA,0,12
1,Spirit of St Louis,Medaglia d'Oro,Chad C. Brown,"Irad  Ortiz, Jr.",3.5,0.22236450812313274,1,1,13
2,Let's Go Big Blue,Cairo Prince,George  Weaver,Jose  Lezcano,5,0.15565515568619293,4,0,13
3,Clear Conscience,Blame,Christophe  Clement,Manuel  Franco,6,0.1297126297384941,2,0,13
4,Stop the Spread,Daaher,Eduardo  Caramori,Jevian  Toledo,31,0.025105670271966602,NA,0,13
5,Sell Something,Laoban,Gary  Sciacca,Joel  Rosario,9,0.0864750864923294,NA,0,13
6,Mighty Atlas,Unified,Thomas  Morley,Trevor  McCarthy,31,0.025105670271966602,NA,0,13
7,Open Til Midnight,Midnight Storm,James T. Ryerson,Junior  Alvarado,21,0.03706075135385546,NA,0,13
8,Barrel of Quests,Mission Impazible,David G. Donk,Dylan  Davis,16,0.048642236151935296,NA,0,13
9,Curly Larry and Mo,Mo Town,Caio  Caramori,Reylu  Gutierrez,9,0.0864750864923294,NA,0,13
10,Shpilkes,Twirling Candy,Guadalupe  Preciado,Jose L. Ortiz,9,0.0864750864923294,NA,0,13
11,King of Comedy,Oscar Performance,Michael J. Maker,Luis  Saez,21,0.03706075135385546,3,0,13
12,Excursionniste,Tourist,Mark A. Hennig,Flavien  Prat,13,0.05986736757161267,NA,0,13
