PP,horse,sire,trainer,jockey,ML_decimal_odds,probs,result,winner,race_num
1,Romeinaday,Carpe Diem,"John P. Terranova, II",Katie  Davis,21,0.0372532556053239,NA,0,1
2,Get Respect,Get Stormy,Barclay  Tagg,Dylan  Davis,9,0.0869242630790891,NA,0,1
3,Roman Goddess,Twirling Candy,Michael J. Maker,Flavien  Prat,13,0.06017833597783092,NA,0,1
4,Oolong Hai (IRE),No Nay Never,Mark A. Hennig,Jose L. Ortiz,9,0.0869242630790891,3,0,1
5,Accept the Outcome (IRE),No Nay Never,Chad C. Brown,"Irad  Ortiz, Jr.",4.5,0.1738485261581782,NA,0,1
6,Quiescent,Nyquist,Robert  Ribaudo,Gherson (Jason)  Huayas,16,0.04889489798198762,NA,0,1
7,Spun Special,Hard Spun,Leah  Gyarmati,Javier  Castellano,9,0.0869242630790891,2,0,1
8,Avalanche Is Comin,Get Stormy,Amira  Chichakly,Eric  Cancel,51,0.015339575837486312,NA,0,1
9,Love to Shop,Violence,Todd A. Pletcher,Tyler  Gaffalione,3.5,0.2235195336319434,1,1,1
10,Cindylouwho,Bodemeister,Nicholas  Palmer,Florent  Geroux,16,0.04889489798198762,NA,0,1
11,Riviere,Bolt d'Oro,George  Weaver,Luis  Saez,13,0.06017833597783092,4,0,1
12,Advance Attack,Bolt d'Oro,Todd A. Pletcher,Manuel  Franco,11,0.07111985161016382,NA,0,1
1,I'mhavingamoment,Uncle Mo,William I. Mott,John R. Velazquez,6,0.1312078506249085,NA,0,2
2,Solib,American Pharoah,Michael J. Maker,Manuel  Franco,5,0.1574494207498902,4,0,2
3,Sikum,Bayern,Jose M. Camejo,Gherson (Jason)  Huayas,11,0.07156791852267738,NA,0,2
4,Weekend Rags,Street Boss,Jorge R. Abreu,"Irad  Ortiz, Jr.",4,0.19681177593736277,3,0,2
5,U Should B Dancing,War Dancer,Rudy R. Rodriguez,Jose L. Ortiz,9,0.08747190041660567,NA,0,2
6,Lisa's Vision,Laoban,Jorge R. Abreu,Flavien  Prat,9,0.08747190041660567,1,1,2
7,Royal Dancer,War Dancer,Michelle  Nevin,Kendrick  Carmouche,13,0.06055746951918855,NA,0,2
8,Silver Skillet,Liam's Map,Christophe  Clement,Joel  Rosario,11,0.07156791852267738,2,0,2
9,Lady of Thoroton,Noble Mission (GB),Chris J. Englehart,Katie  Davis,16,0.04920294398434069,NA,0,2
10,I'm Nervous Now,Animal Kingdom,Michael  Dini,Javier  Castellano,21,0.037487957321402435,NA,0,2
11,Galley Head,Freud,Roy S. Lerman,Tyler  Gaffalione,16,0.04920294398434069,NA,0,2
1,Today's Flavor,Laoban,George  Weaver,Manuel  Franco,6,0.12961214547377164,4,0,3
2,Synthesis,First Samurai,David  Jacobson,Javier  Castellano,13,0.05982099021866385,NA,0,3
3,Anarchist,Distorted Humor,Doug F. O'Neill,Joel  Rosario,11,0.07069753389478454,2,0,3
4,Elite Power,Curlin,William I. Mott,"Irad  Ortiz, Jr.",1.8,0.43204048491257224,1,1,3
5,Strobe,Into Mischief,Brad H. Cox,Florent  Geroux,3,0.2592242909475433,3,0,3
6,Fearless,Ghostzapper,Todd A. Pletcher,Luis  Saez,16,0.048604554552664374,NA,0,3
1,American Law,Constitution,Danny  Gargan,Kendrick  Carmouche,5,0.15532745821139982,NA,0,4
2,Shipsational,Midshipman,Edward R. Barker,Manuel  Franco,16,0.048539830691062436,4,0,4
3,Romantic Gamble,Gamble's Exchange,Steven  Chircop,Trevor  McCarthy,13,0.059741330081307616,NA,0,4
4,Bezos,Empire Maker,Chandradat  Goberdhan,Elijah  Greenidge,51,0.015228182177588215,NA,0,4
5,Allaboutthemoney,Into Mischief,David  Jacobson,"Irad  Ortiz, Jr.",6,0.12943954850949982,NA,0,4
