PP,horse,sire,trainer,jockey,ML_decimal_odds,probs,result,winner,race_num
12,More Than Work,Outwork,Carlos F. Martin,Manuel  Franco,4.5,0.15142760939474828,NA,0,6
13,Lord Gatling,Noble Mission (GB),Edmund  Pringle,Omar  Hernandez Moreno,31,0.021981427170205396,NA,0,6
14,King Moonracer,Mission Impazible,George  Weaver,Javier  Castellano,13,0.05241724940587441,NA,0,6
15,Hatch,Fort Larned,Carlos F. Martin,  Rider TBA,11,0.061947658388760665,NA,0,6
1,Clover Street,Teuflesberg,Mark A. Hennig,Flavien  Prat,13,0.060050431964506996,2,0,7
2,Fancy Joke,Practical Joke,Rudy R. Rodriguez,Trevor  McCarthy,5.5,0.14193738464338018,1,1,7
3,Miss Stones,Bustin Stones,Bruce N. Levine,Javier  Castellano,5,0.15613112310771818,3,0,7
4,Song Parody,Practical Joke,Christophe  Clement,Manuel  Franco,7,0.11152223079122726,NA,0,7
5,Honest Banker,Central Banker,Rob  Atras,Dylan  Davis,13,0.060050431964506996,NA,0,7
6,Reigning Chick,Sky Kingdom,Peter R. Walder,Jose L. Ortiz,11,0.07096869232169009,NA,0,7
7,Red Moon,Redesdale,William E. Morey,"Irad  Ortiz, Jr.",7,0.11152223079122726,4,0,7
8,Luna's Song,Maclean's Music,Brad H. Cox,John R. Velazquez,9,0.08673951283762121,NA,0,7
9,Try It Again,Bustin Stones,Marcelo  Arenas,Junior  Alvarado,6,0.1301092692564318,NA,0,7
10,Fancy Feline,Flat Out,H. James  Bond,Joel  Rosario,11,0.07096869232169009,NA,0,7
2,Rough Draft,Editorial,David P. Duggan,Trevor  McCarthy,6,0.07635858786195954,NA,0,8
14,Unique Unions,Union Jackson,David P. Duggan,Manuel  Franco,6,0.07635858786195954,NA,0,8
1,Yarrow,Lookin At Lucky,Christophe  Clement,Manuel  Franco,5.5,0.08330027766759224,NA,0,8
3,Phantom Smoke,Ghostzapper,Michael  Miceli,Eric  Cancel,9,0.05090572524130636,NA,0,8
4,Frank's Art,Point of Entry,Christophe  Clement,Joel  Rosario,4.5,0.10181145048261273,NA,0,8
