p,n,chalky
0.5,1,31.49999999999964
0.5049,1,31.77979877838464
0.5098,1,32.059617582548086
0.5147,1,32.33945703459993
0.5196,1,32.619317782585526
0.5245,1,32.89920050184503
0.5294,1,33.17910589645954
0.5343,1,33.459034700792664
0.5392,1,33.73898768112735
0.5441,1,34.018965637412194
0.549,1,34.298969405124325
0.5539,1,34.57899985725441
0.5588,1,34.85905790642721
0.5637,1,35.13914450716544
0.5686,1,35.41926065831286
0.5735,1,35.699407405622324
0.5784,1,35.97958584453311
0.5833,1,36.259797123139506
0.5882000000000001,1,36.54004244537824
0.5931,1,36.82032307444831
0.598,1,37.100640336485355
0.6029,1,37.3809956245071
0.6078,1,37.66139040266407
0.6127,1,37.941826210810376
0.6176,1,38.222304669437385
0.6225,1,38.50282748498663
0.6274,1,38.78339645559584
0.6323,1,39.06401347730169
0.6372,1,39.34468055075482
0.6421,1,39.62539978849084
0.647,1,39.906173422810404
0.6519,1,40.18700381433452
0.6568,1,40.46789346129528
0.6617,1,40.748845009643574
0.6666,1,41.029861264051476
0.6715,1,41.31094519991184
0.6764,1,41.59209997642756
0.6813,1,41.87332895092171
0.6862,1,42.15463569449465
0.6911,1,42.43602400917523
0.696,1,42.717497946739705
0.7009,1,42.999061829387436
0.7058,1,43.28072027248624
0.7107,1,43.56247820963394
0.7156,1,43.84434092031251
0.7205,1,44.126314060453446
0.7254,1,44.4084036962688
0.7303,1,44.69061634176442
0.7352,1,44.972959000407336
0.7401,1,45.25543921148221
0.745,1,45.538065101766534
0.7499,1,45.82084544323636
0.7547999999999999,1,46.103789717637085
0.7597,1,46.38690818887353
0.7646,1,46.67021198434136
0.7695000000000001,1,46.95371318649498
0.7744,1,47.237424936171536
0.7793,1,47.52136154944581
0.7842,1,47.805538650102896
0.7890999999999999,1,48.0899733201862
0.794,1,48.374684271521325
0.7988999999999999,1,48.65969204165772
0.8038000000000001,1,48.94501921831677
0.8087,1,49.23069069722498
0.8136,1,49.51673397917552
0.8185,1,49.80317951333424
0.8233999999999999,1,50.09006109525528
0.8283,1,50.37741632985161
0.8331999999999999,1,50.665287171775226
0.8381000000000001,1,50.9537205584036
0.843,1,51.24276915405702
0.8479,1,51.53249222837132
0.8528,1,51.8229566971641
0.8576999999999999,1,52.11423836098835
0.8626,1,52.40642338527986
0.8674999999999999,1,52.699610077134594
0.8724000000000001,1,52.99391102802628
0.8773,1,53.289455710163956
0.8822,1,53.58639363797654
0.8871,1,53.88489823708674
0.892,1,54.185171603338745
0.8969,1,54.48745038689275
0.9017999999999999,1,54.79201310487139
0.9067000000000001,1,55.099189275307126
0.9116,1,55.40937088097502
0.9165,1,55.72302682056712
0.9214,1,56.0407211925979
0.9263,1,56.36313648703556
0.9312,1,56.6911030232268
0.9360999999999999,1,57.025636236990024
0.9410000000000001,1,57.36798359366976
0.9459,1,57.71968277126763
0.9508,1,58.082631841113866
0.9557,1,58.45916946743083
0.9606,1,58.85215662202516
0.9655,1,59.265037085611134
0.9703999999999999,1,59.7018253122499
0.9753000000000001,1,60.16691741907255
0.9802,1,60.66453807325464
0.9851,1,61.19755052653703
0.99,1,61.76542392987775
0.5,10,33.90034458949171
0.5049,10,34.1866805533509
0.5098,10,34.47265214486976
0.5147,10,34.75826850290059
0.5196,10,35.04353882852095
0.5245,10,35.32847233544811
0.5294,10,35.613078200242526
0.5343,10,35.89736551259842
0.5392,10,36.18134322593676
0.5441,10,36.465020108655224
0.549,10,36.74840469631918
0.5539,10,37.03150524506501
0.5588,10,37.314329686558345
0.5637,10,37.59688558478837
0.5686,10,37.879180095053464
0.5735,10,38.16121992538112
0.5784,10,38.44301130079441
0.5833,10,38.72455993061275
0.5882000000000001,10,39.00587097918542
0.5931,10,39.28694904032449
0.598,10,39.5677981157338
0.6029,10,39.84842159768188
0.6078,10,40.12882225626106
0.6127,10,40.409002231396386
0.6176,10,40.68896302995936
0.6225,10,40.96870552806057
0.6274,10,41.24822997889492
0.6323,10,41.52753602616749
0.6372,10,41.80662272336073
0.6421,10,42.08548855893356
0.647,10,42.36413148753147
0.6519,10,42.64254896734296
0.6568,10,42.920738003563656
0.6617,10,43.19869519804099
0.6666,10,43.476416805002565
0.6715,10,43.75389879287768
0.6764,10,44.03113691199061
0.6813,10,44.30812676808703
0.6862,10,44.58486390144987
0.6911,10,44.86134387134691
0.696,10,45.1375623455879
0.7009,10,45.413515194866335
0.7058,10,45.68919859151591
0.7107,10,45.96460911232631
0.7156,10,46.2397438449907
0.7205,10,46.51460049778902
0.7254,10,46.789177512012486
0.7303,10,47.063474176719104
0.7352,10,47.3374907454039
0.7401,10,47.61122855411969
0.745,10,47.88469014076515
0.7499,10,48.15787936521695
0.7547999999999999,10,48.43080153019571
0.7597,10,48.703463502805874
0.7646,10,48.975873837007605
0.7695000000000001,10,49.24804289746024
0.7744,10,49.5199829855803
0.7793,10,49.79170846906114
0.7842,10,50.063235916689045
0.7890999999999999,10,50.33458424097725
0.794,10,50.60577485199448
0.7988999999999999,10,50.876831826870585
0.8038000000000001,10,51.14778210075783
0.8087,10,51.41865568666217
0.8136,10,51.68948593354615
0.8185,10,51.96030983448743
0.8233999999999999,10,52.231168399595106
0.8283,10,52.50210711182533
0.8331999999999999,10,52.77317648798059
0.8381000000000001,10,53.04443277195607
0.843,10,53.31593879287503
0.8479,10,53.58776502704306
0.8528,10,53.85999090952301
0.8576999999999999,10,54.13270644838589
0.8626,10,54.40601420172998
0.8674999999999999,10,54.680031683529116
0.8724000000000001,10,54.954894267743555
0.8773,10,55.23075865860217
0.8822,10,55.50780698501303
0.8871,10,55.7862515535565
0.892,10,56.066340250287446
0.8969,10,56.34836250686067
0.9017999999999999,10,56.632655628817055
0.9067000000000001,10,56.91961110805521
0.9116,10,57.20968029041096
0.9165,10,57.50337842443991
0.9214,10,57.80128565747753
0.9263,10,58.10404293275462
0.9312,10,58.412339879303055
0.9360999999999999,10,58.726890393158186
0.9410000000000001,10,59.04838893712755
0.9459,10,59.37743492152869
0.9508,10,59.714400685670064
0.9557,10,60.05919691001014
0.9606,10,60.410861172833556
0.9655,10,60.76689718636419
0.9703999999999999,10,61.1224471904127
0.9753000000000001,10,61.46991987486504
0.9802,10,61.80062759592968
0.9851,10,62.109867311891946
0.99,10,62.40243174892108
0.5,100,34.49851894478431
0.5049,100,34.80692798975261
0.5098,100,35.115286300500394
