p,n,chalky
0.5,1,31.50000000000007
0.5049,1,31.731885733140327
0.5098,1,31.96384096294358
0.5147,1,32.1958682157127
0.5196,1,32.42797013953586
0.5245,1,32.660149511594
0.5294,1,32.892409245982115
0.5343,1,33.12475240210526
0.5392,1,33.35718219368137
0.5441,1,33.58970199841639
0.549,1,33.822315368398506
0.5539,1,34.05502604128053
0.5588,1,34.28783795231774
0.5637,1,34.52075524733345
0.5686,1,34.753782296705985
0.5735,1,34.98692371045125
0.5784,1,35.22018435452331
0.5833,1,35.4535693684272
0.5882000000000001,1,35.687084184279264
0.5931,1,35.92073454744417
0.598,1,36.15452653890549
0.6029,1,36.38846659953315
0.6078,1,36.62256155643796
0.6127,1,36.85681865161764
0.6176,1,37.09124557312439
0.6225,1,37.32585048901166
0.6274,1,37.56064208434461
0.6323,1,37.79562960159165
0.6372,1,38.03082288475466
0.6421,1,38.26623242763657
0.647,1,38.50186942668668
0.6519,1,38.737745838930856
0.6568,1,38.973874445540176
0.6617,1,39.21026892167138
0.6666,1,39.44694391328706
0.6715,1,39.68391512175334
0.6764,1,39.9211993971134
0.6813,1,40.15881484105441
0.6862,1,40.39678092071702
0.6911,1,40.63511859464044
0.696,1,40.873850452319964
0.7009,1,41.1130008690466
0.7058,1,41.35259617791376
0.7107,1,41.59266486115363
0.7156,1,41.83323776324341
0.7205,1,42.07434832857099
0.7254,1,42.316032866831236
0.7303,1,42.55833084977278
0.7352,1,42.80128524342263
0.7401,1,43.044942880492336
0.745,1,43.28935487834379
0.7499,1,43.53457710864467
0.7547999999999999,1,43.780670725706045
0.7597,1,44.02770276147992
0.7646,1,44.27574679629577
0.7695000000000001,1,44.52488371566139
0.7744,1,44.77520256484396
0.7793,1,45.02680151447498
0.7842,1,45.279788952104575
0.7890999999999999,1,45.53428471642102
0.794,1,45.7904214927291
0.7988999999999999,1,46.048346390171616
0.8038000000000001,1,46.308222722970406
0.8087,1,46.57023201948528
0.8136,1,46.83457628387702
0.8185,1,47.10148053523838
0.8233999999999999,1,47.371195647656776
0.8283,1,47.64400151102321
0.8331999999999999,1,47.920210525391425
0.8381000000000001,1,48.20017142981091
0.843,1,48.48427344776285
0.8479,1,48.77295070291345
0.8528,1,49.06668681736156
0.8576999999999999,1,49.3660195455461
0.8626,1,49.67154521529243
0.8674999999999999,1,49.98392263737913
0.8724000000000001,1,50.303876000928696
0.8773,1,50.632196089974656
0.8822,1,50.969738937169986
0.8871,1,51.31742078295836
0.892,1,51.676207957137485
