p,n,chalky
0.5,1,31.500000000000004
0.5049,1,31.576378567854878
0.5098,1,31.653654857425003
0.5147,1,31.73188978782419
0.5196,1,31.81114887887821
0.5245,1,31.891502593816814
0.5294,1,31.973026700925764
0.5343,1,32.05580265342772
0.5392,1,32.139917986306074
0.5441,1,32.22546672814648
0.549,1,32.312549825250564
0.5539,1,32.40127557434053
0.5588,1,32.491760059029914
0.5637,1,32.584127583921735
0.5686,1,32.67851109867763
0.5735,1,32.77505260267642
0.5784,1,32.873903518961406
0.5833,1,32.975225024067484
0.5882000000000001,1,33.07918831807364
0.5931,1,33.1859748168807
0.598,1,33.29577624637406
0.6029,1,33.40879461589391
0.6078,1,33.52524204648206
0.6127,1,33.64534042787707
0.6176,1,33.76932087744884
0.6225,1,33.89742297448024
0.6274,1,34.02989374471673
0.6323,1,34.166986373269836
0.6372,1,34.30895862908155
0.6421,1,34.45607099152867
0.647,1,34.60858447956363
0.6519,1,34.766758196105975
0.6568,1,34.93084661508171
0.6617,1,35.10109665515759
0.6666,1,35.277744602137346
0.6715,1,35.461012960154584
0.6764,1,35.651107328870715
0.6813,1,35.84821341825787
0.6862,1,36.05249432247256
0.6911,1,36.26408817806243
0.696,1,36.48310632780251
0.7009,1,36.70963209879748
0.7058,1,36.94372028179609
0.7107,1,37.1853973685105
0.7156,1,37.4346625666706
0.7205,1,37.69148957105506
0.7254,1,37.955829026080316
0.7303,1,38.22761157536561
0.7352,1,38.506751359713235
0.7401,1,38.79314980037199
0.745,1,39.08669949162558
0.7499,1,39.38728802678935
0.7547999999999999,1,39.694801594389716
0.7597,1,40.00912820508504
0.7646,1,40.33016044214242
0.7695000000000001,1,40.65779766566103
0.7744,1,40.99194763960881
0.7793,1,41.33252758767006
0.7842,1,41.67946471599194
0.7890999999999999,1,42.03269626608483
0.794,1,42.39216917823777
0.7988999999999999,1,42.75783945464133
0.8038000000000001,1,43.129671312573954
0.8087,1,43.50763621270742
0.8136,1,43.8917118374307
0.8185,1,44.28188108080871
0.8233999999999999,1,44.67813109707771
0.8283,1,45.08045243990383
0.8331999999999999,1,45.48883831114889
0.8381000000000001,1,45.90328392640302
0.843,1,46.32378599548321
0.8479,1,46.750342309588156
0.8528,1,47.182951422691545
0.8576999999999999,1,47.62161241273513
0.8626,1,48.06632470782136
0.8674999999999999,1,48.51708796344148
0.8724000000000001,1,48.97390197837684
0.8773,1,49.436766638891456
0.8822,1,49.90568188290428
0.8871,1,50.38064767777083
0.892,1,50.86166400699927
0.8969,1,51.348730862609564
0.9017999999999999,1,51.84184824091618
0.9067000000000001,1,52.34101614030111
0.9116,1,52.846234560091965
0.9165,1,53.35750350002588
0.9214,1,53.87482296000665
0.9263,1,54.39819294000155
0.9312,1,54.92761344000032
0.9360999999999999,1,55.463084460000076
0.9410000000000001,1,56.004606000000024
0.9459,1,56.55217806000001
0.9508,1,57.10580064
0.9557,1,57.66547374
0.9606,1,58.23119736
0.9655,1,58.802971500000005
0.9703999999999999,1,59.38079615999999
0.9753000000000001,1,59.96467134000003
0.9802,1,60.55459703999999
0.9851,1,61.15057326
0.99,1,61.75260000000001
0.5,10,37.39444076452358
0.5049,10,37.46973317050642
0.5098,10,37.5453032644288
0.5147,10,37.62121691740499
0.5196,10,37.697545278881016
0.5245,10,37.77436521015706
0.5294,10,37.85175974076751
0.5343,10,37.92981854578672
