p,n,chalky
0.5,1,31.50000000000009
0.5049,1,31.619812464965282
0.5098,1,31.740048619790883
0.5147,1,31.860732521901124
0.5196,1,31.98188990548036
0.5245,1,32.10354831510025
0.5294,1,32.225737250793415
0.5343,1,32.348488325559615
0.5392,1,32.47183543633449
0.5441,1,32.595814949540696
0.549,1,32.72046590238748
0.5539,1,32.845830221165485
0.5588,1,32.971952957828506
0.5637,1,33.09888254620069
0.5686,1,33.226671079186914
0.5735,1,33.35537460836951
0.5784,1,33.485053467363656
0.5833,1,33.6157726202523
0.5882000000000001,1,33.74760203632894
0.5931,1,33.88061709221964
0.598,1,34.0148990022311
0.6029,1,34.15053527745043
0.6078,1,34.28762021369387
0.6127,1,34.426255407825245
0.6176,1,34.56655030123052
0.6225,1,34.70862274829963
0.6274,1,34.852599606585
0.6323,1,34.99861734386371
0.6372,1,35.14682265556172
0.6421,1,35.29737308387043
0.647,1,35.450437627367
0.6519,1,35.60619732700191
0.6568,1,35.76484581090975
0.6617,1,35.92658977666319
0.6666,1,36.09164938532449
0.6715,1,36.26025853704423
0.6764,1,36.43266499314003
0.6813,1,36.609130304767106
0.6862,1,36.78992950374603
0.6911,1,36.9753505072656
0.696,1,37.165693185535915
0.7009,1,37.361268040689616
0.7058,1,37.56239444708504
0.7107,1,37.76939840852097
0.7156,1,37.982609797639135
0.7205,1,38.20235905782671
0.7254,1,38.428973368938856
0.7303,1,38.66277230549488
0.7352,1,38.90406304950357
0.7401,1,39.153135258834126
0.745,1,39.41025573424361
0.7499,1,39.67566307091295
0.7547999999999999,1,39.949562519688634
0.7597,1,40.23212131434203
0.7646,1,40.52346473871127
0.7695000000000001,1,40.8236732063943
0.7744,1,41.13278060148289
0.7793,1,41.450774079359526
0.7842,1,41.777595452256
0.7890999999999999,1,42.11314418893356
0.794,1,42.45728194879553
0.7988999999999999,1,42.80983845830112
0.8038000000000001,1,43.17061843386057
0.8087,1,43.53940917274379
0.8136,1,43.91598838244637
0.8185,1,44.30013180632044
0.8233999999999999,1,44.69162023113458
0.8283,1,45.09024552725958
0.8331999999999999,1,45.49581546622633
0.8381000000000001,1,45.90815717178885
0.843,1,46.327119176051866
0.8479,1,46.75257215883356
0.8528,1,47.18440853563718
0.8576999999999999,1,47.62254112036436
0.8626,1,48.06690112028273
0.8674999999999999,1,48.517435723795714
0.8724000000000001,1,48.97410552054092
0.8773,1,49.43688195470641
0.8822,1,49.9057449635982
0.8871,1,50.380680901626064
0.892,1,50.86168080112644
0.8969,1,51.34873898027038
0.9017999999999999,1,51.841851977277344
0.9067000000000001,1,52.34101777000265
0.9116,1,52.84623522991955
0.9165,1,53.3575037577456
0.9214,1,53.874823052109626
0.9263,1,54.39819297029133
0.9312,1,54.92761344906459
0.9360999999999999,1,55.46308446243457
0.9410000000000001,1,56.00460600057694
0.9459,1,56.552178060118095
0.9508,1,57.105800640020284
0.9557,1,57.665473740002824
0.9606,1,58.23119736000031
0.9655,1,58.802971500000034
0.9703999999999999,1,59.38079615999999
0.9753000000000001,1,59.96467134000003
0.9802,1,60.55459703999999
0.9851,1,61.15057326
0.99,1,61.75260000000001
0.5,10,37.09789723781126
0.5049,10,37.2181074626303
0.5098,10,37.338146320975284
0.5147,10,37.45803897575383
0.5196,10,37.57781236904605
0.5245,10,37.697495391883606
0.5294,10,37.817119069411426
0.5343,10,37.936716762910905
0.5392,10,38.05632439006416
0.5441,10,38.175980665089284
0.549,10,38.29572736028852
0.5539,10,38.4156095907525
0.5588,10,38.53567612389721
0.5637,10,38.655979715520864
0.5686,10,38.776577474071146
0.5735,10,38.89753125466126
0.5784,10,39.01890808422684
0.5833,10,39.140780618915436
0.5882000000000001,10,39.26322763444422
0.5931,10,39.38633454958456
0.598,10,39.51019398221529
0.6029,10,39.6349063364345
0.6078,10,39.76058041800452
0.6127,10,39.887334073835895
0.6176,10,40.01529484931261
0.6225,10,40.14460065494338
0.6274,10,40.275400430958605
0.6323,10,40.40785479518
0.6372,10,40.54213665560555
0.6421,10,40.678431764712236
0.647,10,40.816939187578846
0.6519,10,40.95787165062487
0.6568,10,41.10145573214206
0.6617,10,41.24793185034389
0.6666,10,41.39755399953167
0.6715,10,41.5505891808421
0.6764,10,41.70731647152687
0.6813,10,41.8680256767307
0.6862,10,42.03301551106691
0.6911,10,42.20259126520984
0.696,10,42.377061926055845
0.7009,10,42.55673673873713
0.7058,10,42.74192122538891
0.7107,10,42.93291270903498
0.7156,10,43.129995430432665
0.7205,10,43.33343538929441
0.7254,10,43.54347508591874
0.7303,10,43.760328380655125
0.7352,10,43.98417572155774
0.7401,10,44.21516000936689
0.745,10,44.45338336814778
0.7499,10,44.69890506534973
0.7547999999999999,10,44.9517407748476
0.7597,10,45.211863301965785
0.7646,10,45.47920479553159
0.7695000000000001,10,45.7536603671094
0.7744,10,46.03509293281198
0.7793,10,46.3233390006594
0.7842,10,46.61821505761165
0.7890999999999999,10,46.91952417357837
0.794,10,47.2270624389722
0.7988999999999999,10,47.540624886724764
0.8038000000000001,10,47.8600106134015
0.8087,10,48.18502689779868
0.8136,10,48.51549220808907
0.8185,10,48.851238079123746
0.8233999999999999,10,49.192109920616524
0.8283,10,49.537966878108726
0.8331999999999999,10,49.88868090856213
0.8381000000000001,10,50.24413525093583
0.843,10,50.60422247135822
0.8479,10,50.96884224633358
0.8528,10,51.33789902034805
0.8576999999999999,10,51.71129964082653
0.8626,10,52.088951037619374
0.8674999999999999,10,52.470757979147926
0.8724000000000001,10,52.85662090504142
0.8773,10,53.246433806473114
0.8822,10,53.64008210035724
0.8871,10,54.037440421050164
0.892,10,54.4383702312918
0.8969,10,54.84271713001167
0.9017999999999999,10,55.25030770445509
0.9067000000000001,10,55.660945732149095
0.9116,10,56.07440747570133
0.9165,10,56.49043571914217
0.9214,10,56.90873205899364
0.9263,10,57.32894675768503
0.9312,10,57.750665039770134
0.9360999999999999,10,58.17338775319044
0.9410000000000001,10,58.596503066028085
0.9459,10,59.01924624069986
0.9508,10,59.440645603613916
0.9557,10,59.859432229351924
0.9606,10,60.27379911383143
