p,n,chalky
0.5,1,31.499999999999993
0.5049,1,31.610862765519823
0.5098,1,31.72221576418562
0.5147,1,31.83408792963376
0.5196,1,31.946510263102926
0.5245,1,32.05951599948533
0.5294,1,32.173140787319625
0.5343,1,32.287422883827524
0.5392,1,32.402403366120424
0.5441,1,32.51812635978087
0.549,1,32.63463928601626
0.5539,1,32.75199312863739
0.5588,1,32.870242722083454
0.5637,1,32.989447061698954
0.5686,1,33.109669637394184
0.5735,1,33.23097879171249
0.5784,1,33.35344810315222
0.5833,1,33.477156795352755
0.5882000000000001,1,33.602190172421146
0.5931,1,33.728640080234705
0.598,1,33.85660539298409
0.6029,1,33.98619252349489
0.6078,1,34.11751595494843
0.6127,1,34.250698790496536
0.6176,1,34.38587331587628
0.6225,1,34.52318156847562
0.6274,1,34.66277590430913
0.6323,1,34.80481955204129
0.6372,1,34.9494871405029
0.6421,1,35.09696518307323
0.647,1,35.24745249888055
0.6519,1,35.401160547024155
0.6568,1,35.558313646035614
0.6617,1,35.71914904670869
0.6666,1,35.8839168224223
0.6715,1,36.05287953744374
0.6764,1,36.22631165078423
0.6813,1,36.40449861145357
0.6862,1,36.58773560097749
0.6911,1,36.77632588145028
0.696,1,36.97057871289895
0.7009,1,37.1708068130512
0.7058,1,37.37732334637439
0.7107,1,37.59043844797066
0.7156,1,37.81045531174788
0.7205,1,38.037665900964846
0.7254,1,38.2723463718878
0.7303,1,38.514752336271926
0.7352,1,38.765114123259266
0.7401,1,39.02363223283933
0.745,1,39.29047319739559
0.7499,1,39.5657660809058
0.7547999999999999,1,39.84959984312099
0.7597,1,40.14202177538087
0.7646,1,40.44303717401652
0.7695000000000001,1,40.75261035705746
0.7744,1,41.07066705325583
0.7793,1,41.397098104934344
0.7842,1,41.73176433572501
0.7890999999999999,1,42.074502350135234
0.794,1,42.425130963431066
0.7988999999999999,1,42.78345791567976
0.8038000000000001,1,43.14928650848468
0.8087,1,43.52242181899036
0.8136,1,43.902676191226945
0.8185,1,44.289873774245514
0.8233999999999999,1,44.68385396145199
0.8283,1,45.08447367628302
0.8331999999999999,1,45.49160853609618
0.8381000000000001,1,45.90515300042716
0.843,1,46.325019665513466
0.8479,1,46.75113790101101
0.8528,1,47.183452036872296
0.8576999999999999,1,47.62191930069304
0.8626,1,48.06650768259788
0.8674999999999999,1,48.517193871073275
0.8724000000000001,1,48.97396136444011
0.8773,1,49.436798823749925
0.8822,1,49.90569869768921
0.8871,1,50.38065612121278
0.892,1,50.86166806842954
0.8969,1,51.34873272687349
0.9017999999999999,1,51.841849053928904
0.9067000000000001,1,52.341016475456556
0.9116,1,52.84623468992733
0.9165,1,53.3575035469651
0.9214,1,53.87482297571483
0.9263,1,54.39819294482018
0.9312,1,54.92761344133944
0.9360999999999999,1,55.463084460332375
0.9410000000000001,1,56.00460600007236
0.9459,1,56.55217806001352
0.9508,1,57.10580064000211
0.9557,1,57.665473740000266
0.9606,1,58.23119736000004
0.9655,1,58.802971500000005
0.9703999999999999,1,59.38079615999999
0.9753000000000001,1,59.96467134000003
0.9802,1,60.55459703999999
0.9851,1,61.15057326
0.99,1,61.75260000000001
0.5,10,37.17114302988529
0.5049,10,37.28209760446444
0.5098,10,37.392939284989815
0.5147,10,37.50369853502612
0.5196,10,37.61440806205563
0.5245,10,37.7251030290558
0.5294,10,37.835821284810756
0.5343,10,37.9466036145676
0.5392,10,38.05749401246387
0.5441,10,38.16853997745871
0.549,10,38.2797928341723
0.5539,10,38.39130808028618
0.5588,10,38.50314576183806
0.5637,10,38.61537087769113
0.5686,10,38.72805381413137
0.5735,10,38.84127081022219
0.5784,10,38.95510445397736
0.5833,10,39.06964420876457
0.5882000000000001,10,39.18498696846462
0.5931,10,39.30123763874681
0.598,10,39.41850974040831
0.6029,10,39.53692602898982
0.6078,10,39.656619122690195
0.6127,10,39.777732128099224
