p,n,chalky
0.5,1,31.500000000000103
0.5049,1,31.703360414815425
0.5098,1,31.906835602314725
0.5147,1,32.11043018819267
0.5196,1,32.31414904278466
0.5245,1,32.5179972969917
0.5294,1,32.72198035942919
0.5343,1,32.92610393491096
0.5392,1,33.130374044379344
0.5441,1,33.33479704642235
0.549,1,33.5393796605141
0.5539,1,33.744128992140325
0.5588,1,33.949052559980835
0.5637,1,34.1541583253459
0.5686,1,34.35945472407517
0.5735,1,34.56495070113655
0.5784,1,34.77065574818524
0.5833,1,34.97657994437042
0.5882000000000001,1,35.18273400070843
0.5931,1,35.38912930837946
0.598,1,35.59577799133514
0.6029,1,35.80269296365921
0.6078,1,36.00988799216456
0.6127,1,36.21737776476199
0.6176,1,36.42517796520977
0.6225,1,36.63330535490524
0.6274,1,36.84177786246875
0.6323,1,37.05061468194949
0.6372,1,37.25983638058465
0.6421,1,37.46946501714312
0.647,1,37.67952427201608
0.6519,1,37.89003959034694
0.6568,1,38.1010383396423
0.6617,1,38.31254998348513
0.6666,1,38.52460627315246
0.6715,1,38.7372414591583
0.6764,1,38.950492524974585
0.6813,1,39.16439944545053
0.6862,1,39.37900547274094
0.6911,1,39.59435745287296
0.696,1,39.81050617644021
0.7009,1,40.02750676729778
0.7058,1,40.24541911355035
0.7107,1,40.46430834557996
0.7156,1,40.6842453663376
0.7205,1,40.90530743962558
0.7254,1,41.12757884260502
0.7303,1,41.351151589276036
0.7352,1,41.57612623215082
0.7401,1,41.80261274975055
0.745,1,42.03073152787063
0.7499,1,42.2606144426732
0.7547999999999999,1,42.492406053533365
0.7597,1,42.726264913037376
0.7646,1,42.96236500046637
0.7695000000000001,1,43.20089728328078
0.7744,1,43.44207140828972
0.7793,1,43.68611752000491
0.7842,1,43.93328819771371
0.7890999999999999,1,44.18386049454356
0.794,1,44.43813805059321
0.7988999999999999,1,44.696453237354525
0.8038000000000001,1,44.95916927131424
0.8087,1,45.22668220995066
0.8136,1,45.499422712524485
0.8185,1,45.777857410482184
0.8233999999999999,1,46.06248968780621
0.8283,1,46.35385962091031
0.8331999999999999,1,46.65254277270044
0.8381000000000001,1,46.959147480234336
0.843,1,47.27431022690493
0.8479,1,47.59868865888594
0.8528,1,47.9329518068258
0.8576999999999999,1,48.27776712729695
0.8626,1,48.633784107937466
0.8674999999999999,1,49.001614410286784
0.8724000000000001,1,49.38180887531278
0.8773,1,49.77483219565289
0.8822,1,50.181036647725335
0.8871,1,50.600636920213894
0.892,1,51.03368866941669
0.8969,1,51.48007382562089
0.9017999999999999,1,51.93949568796959
0.9067000000000001,1,52.41148631072986
0.9116,1,52.89542750914041
0.9165,1,53.390585049426704
0.9214,1,53.89615347616499
0.9263,1,54.41130699278119
0.9312,1,54.93525036563067
0.9360999999999999,1,55.467263432685556
0.9410000000000001,1,56.006733704338124
0.9459,1,56.55317364242733
0.9508,1,57.10622203608277
0.9557,1,57.665631763021054
0.9606,1,58.231248405975556
0.9655,1,58.8029851563324
0.9703999999999999,1,59.38079901676879
0.9753000000000001,1,59.96467176754822
0.9802,1,60.554597079467065
0.9851,1,61.150573261704146
0.99,1,61.75260000001861
0.5,10,36.03272001814259
0.5049,10,36.23920772758316
0.5098,10,36.44533027083774
0.5147,10,36.65109242820797
0.5196,10,36.85649910482907
0.5245,10,37.06155535024096
0.5294,10,37.266266379353254
0.5343,10,37.47063759498351
0.5392,10,37.674674612078725
0.5441,10,37.87838328389644
0.549,10,38.081769730289366
0.5539,10,38.28484036835699
