lambda,opp_prob_method,n,k,strat,wpESPN_scores,wpHamming_scores
0,naive_chalky,100,100,4,0.30048,0.17204
0.05,naive_chalky,100,100,4,0.29976,0.19104
0.1,naive_chalky,100,100,4,0.37432,0.23952
0.15000000000000002,naive_chalky,100,100,4,0.37416,0.261
0.2,naive_chalky,100,100,4,0.40724,0.29232
0.25,naive_chalky,100,100,4,0.42836,0.32624
0.30000000000000004,naive_chalky,100,100,4,0.48272,0.36688
0.35000000000000003,naive_chalky,100,100,4,0.4762,0.39464
0.4,naive_chalky,100,100,4,0.542,0.463
0.45,naive_chalky,100,100,4,0.58964,0.50828
0.5,naive_chalky,100,100,4,0.61172,0.58484
0.55,naive_chalky,100,100,4,0.62604,0.6122
0.6000000000000001,naive_chalky,100,100,4,0.66368,0.66764
0.65,naive_chalky,100,100,4,0.68648,0.70916
0.7000000000000001,naive_chalky,100,100,4,0.68404,0.73772
0.75,naive_chalky,100,100,4,0.7032,0.78084
0.8,naive_chalky,100,100,4,0.72104,0.82168
0.8500000000000001,naive_chalky,100,100,4,0.74092,0.85188
0.9,naive_chalky,100,100,4,0.7541599999999999,0.8686
0.9500000000000001,naive_chalky,100,100,4,0.75776,0.8941600000000001
1,naive_chalky,100,100,4,0.76696,0.90572
0,naive_chalky,100,1000,4,0.02756,2.8000000000000003e-4
0.05,naive_chalky,100,1000,4,0.02876,5.600000000000001e-4
0.1,naive_chalky,100,1000,4,0.0432,7.6e-4
0.15000000000000002,naive_chalky,100,1000,4,0.04516,4.4e-4
0.2,naive_chalky,100,1000,4,0.05648,0.0010400000000000001
0.25,naive_chalky,100,1000,4,0.05832,0.00152
0.30000000000000004,naive_chalky,100,1000,4,0.0712,0.00204
0.35000000000000003,naive_chalky,100,1000,4,0.0762,0.00276
0.4,naive_chalky,100,1000,4,0.10076,0.00348
0.45,naive_chalky,100,1000,4,0.13436,0.00504
0.5,naive_chalky,100,1000,4,0.1554,0.00812
0.55,naive_chalky,100,1000,4,0.17944,0.012920000000000001
0.6000000000000001,naive_chalky,100,1000,4,0.1898,0.01888
0.65,naive_chalky,100,1000,4,0.24532,0.02336
0.7000000000000001,naive_chalky,100,1000,4,0.25851999999999997,0.03472
0.75,naive_chalky,100,1000,4,0.28592,0.04308
0.8,naive_chalky,100,1000,4,0.33676,0.066
0.8500000000000001,naive_chalky,100,1000,4,0.36244,0.0926
0.9,naive_chalky,100,1000,4,0.37904,0.11744
0.9500000000000001,naive_chalky,100,1000,4,0.41144000000000003,0.14616
1,naive_chalky,100,1000,4,0.42964,0.17648
0,naive_chalky,100,10000,4,0.00376,0
0.05,naive_chalky,100,10000,4,0.0044,0
0.1,naive_chalky,100,10000,4,0.00524,0
0.15000000000000002,naive_chalky,100,10000,4,0.00684,0
0.2,naive_chalky,100,10000,4,0.00688,0
0.25,naive_chalky,100,10000,4,0.00728,0
0.30000000000000004,naive_chalky,100,10000,4,0.01184,4e-5
0.35000000000000003,naive_chalky,100,10000,4,0.01232,0
0.4,naive_chalky,100,10000,4,0.01004,0
0.45,naive_chalky,100,10000,4,0.01276,1.2e-4
0.5,naive_chalky,100,10000,4,0.018600000000000002,2.4e-4
0.55,naive_chalky,100,10000,4,0.01568,4.4e-4
0.6000000000000001,naive_chalky,100,10000,4,0.02744,8.4e-4
0.65,naive_chalky,100,10000,4,0.02736,0.0016
0.7000000000000001,naive_chalky,100,10000,4,0.04316,0.00256
0.75,naive_chalky,100,10000,4,0.05484,0.00268
0.8,naive_chalky,100,10000,4,0.06264,0.00588
0.8500000000000001,naive_chalky,100,10000,4,0.07808,0.0088
0.9,naive_chalky,100,10000,4,0.10416,0.01448
0.9500000000000001,naive_chalky,100,10000,4,0.14192,0.02704
1,naive_chalky,100,10000,4,0.15208,0.03936
0,naive_chalky,1000,1000,4,0.29548,0.21724
0.05,naive_chalky,1000,1000,4,0.32008,0.29264
0.1,naive_chalky,1000,1000,4,0.35932,0.32076
0.15000000000000002,naive_chalky,1000,1000,4,0.40452,0.43608
0.2,naive_chalky,1000,1000,4,0.46156,0.44976
0.25,naive_chalky,1000,1000,4,0.51772,0.54612
0.30000000000000004,naive_chalky,1000,1000,4,0.54504,0.66268
0.35000000000000003,naive_chalky,1000,1000,4,0.59056,0.68568
0.4,naive_chalky,1000,1000,4,0.62836,0.74084
0.45,naive_chalky,1000,1000,4,0.65156,0.79904
0.5,naive_chalky,1000,1000,4,0.6806,0.83292
0.55,naive_chalky,1000,1000,4,0.7313999999999999,0.85632
0.6000000000000001,naive_chalky,1000,1000,4,0.72744,0.87576
0.65,naive_chalky,1000,1000,4,0.75264,0.89528
0.7000000000000001,naive_chalky,1000,1000,4,0.77412,0.9164
0.75,naive_chalky,1000,1000,4,0.77656,0.92076
0.8,naive_chalky,1000,1000,4,0.79596,0.9306800000000001
0.8500000000000001,naive_chalky,1000,1000,4,0.80244,0.93992
0.9,naive_chalky,1000,1000,4,0.8106,0.9438799999999999
0.9500000000000001,naive_chalky,1000,1000,4,0.82344,0.94904
1,naive_chalky,1000,1000,4,0.82088,0.9557599999999999
0,naive_chalky,1000,10000,4,0.06836,0.01892
0.05,naive_chalky,1000,10000,4,0.0626,0.020399999999999998
0.1,naive_chalky,1000,10000,4,0.08904,0.04304
0.15000000000000002,naive_chalky,1000,10000,4,0.10192,0.05788
0.2,naive_chalky,1000,10000,4,0.11948,0.102
0.25,naive_chalky,1000,10000,4,0.17276,0.13316
0.30000000000000004,naive_chalky,1000,10000,4,0.2042,0.20716
0.35000000000000003,naive_chalky,1000,10000,4,0.20876,0.2668
0.4,naive_chalky,1000,10000,4,0.25768,0.33348
0.45,naive_chalky,1000,10000,4,0.30832,0.37916
0.5,naive_chalky,1000,10000,4,0.3498,0.43556
0.55,naive_chalky,1000,10000,4,0.38512,0.4794
0.6000000000000001,naive_chalky,1000,10000,4,0.42984,0.529
0.65,naive_chalky,1000,10000,4,0.46924,0.56828
0.7000000000000001,naive_chalky,1000,10000,4,0.51388,0.61052
0.75,naive_chalky,1000,10000,4,0.5284,0.6394
0.8,naive_chalky,1000,10000,4,0.56088,0.6626
0.8500000000000001,naive_chalky,1000,10000,4,0.58144,0.68496
0.9,naive_chalky,1000,10000,4,0.6024,0.71096
0.9500000000000001,naive_chalky,1000,10000,4,0.59912,0.72328
1,naive_chalky,1000,10000,4,0.61076,0.73664
0,naive_chalky,10000,10000,4,0.28532,0.33968
0.05,naive_chalky,10000,10000,4,0.31016,0.36432
0.1,naive_chalky,10000,10000,4,0.37992,0.47936
0.15000000000000002,naive_chalky,10000,10000,4,0.42276,0.4764
0.2,naive_chalky,10000,10000,4,0.44028,0.54932
0.25,naive_chalky,10000,10000,4,0.51708,0.6426
0.30000000000000004,naive_chalky,10000,10000,4,0.58608,0.6922
0.35000000000000003,naive_chalky,10000,10000,4,0.61512,0.74608
0.4,naive_chalky,10000,10000,4,0.65532,0.76676
0.45,naive_chalky,10000,10000,4,0.69324,0.80176
0.5,naive_chalky,10000,10000,4,0.70924,0.83572
0.55,naive_chalky,10000,10000,4,0.72984,0.85652
0.6000000000000001,naive_chalky,10000,10000,4,0.75564,0.87888
0.65,naive_chalky,10000,10000,4,0.7748,0.88784
0.7000000000000001,naive_chalky,10000,10000,4,0.78,0.90668
0.75,naive_chalky,10000,10000,4,0.8014,0.92028
0.8,naive_chalky,10000,10000,4,0.8125600000000001,0.92836
0.8500000000000001,naive_chalky,10000,10000,4,0.82052,0.93992
0.9,naive_chalky,10000,10000,4,0.83304,0.9481999999999999
0.9500000000000001,naive_chalky,10000,10000,4,0.84056,0.95456
1,naive_chalky,10000,10000,4,0.84992,0.9621999999999999
