lambda,n,strat,eMaxESPN_scores,eMaxHamming_scores
0,100,2,1294.4612,47.85484
0.05,100,2,1298.7768,47.97852
0.1,100,2,1297.7244,48.23208
0.15000000000000002,100,2,1316.2084,48.40384
0.2,100,2,1323.9116,48.61592
0.25,100,2,1325.5928,48.74004
0.30000000000000004,100,2,1330.6948,48.92448
0.35000000000000003,100,2,1339.2388,49.12136
0.4,100,2,1348.3208,49.30944
0.45,100,2,1353.9676,49.537
0.5,100,2,1357.6584,49.65716
0.55,100,2,1365.8796,49.79312
0.6000000000000001,100,2,1371.0672,50.0202
0.65,100,2,1376.1668,50.16464
0.7000000000000001,100,2,1383.2548,50.37
0.75,100,2,1387.3528,50.54984
0.8,100,2,1394.1188,50.739
0.8500000000000001,100,2,1397.1524,50.85496
0.9,100,2,1403.2076,51.0256
0.9500000000000001,100,2,1407.3564,51.21264
1,100,2,1410.5568,51.34204
0,1000,2,1530.8144,56.01236
0.05,1000,2,1542.2596,56.18576
0.1,1000,2,1547.4836,56.30548
0.15000000000000002,1000,2,1551.2268,56.5288
0.2,1000,2,1561.1568,56.68496
0.25,1000,2,1564.716,56.80912
0.30000000000000004,1000,2,1569.6932,56.9248
0.35000000000000003,1000,2,1578.0636,57.1242
0.4,1000,2,1581.1768,57.23412
0.45,1000,2,1587.394,57.38496
0.5,1000,2,1594.8416,57.5826
0.55,1000,2,1596.9304,57.70456
0.6000000000000001,1000,2,1602.9956,57.85456
0.65,1000,2,1609.132,58.04052
0.7000000000000001,1000,2,1612.466,58.17464
0.75,1000,2,1615.33,58.25008
0.8,1000,2,1618.4528,58.39652
0.8500000000000001,1000,2,1621.7212,58.5032
0.9,1000,2,1624.7624,58.61256
0.9500000000000001,1000,2,1627.3216,58.7142
1,1000,2,1628.1976,58.792880000000004
0,10000,2,1667.752,58.91932
0.05,10000,2,1669.38,58.93768
0.1,10000,2,1676.6292,59.141600000000004
0.15000000000000002,10000,2,1684.7616,59.28692
0.2,10000,2,1689.02,59.43588
0.25,10000,2,1694.082,59.56932
0.30000000000000004,10000,2,1697.928,59.67936
0.35000000000000003,10000,2,1702.6844,59.82144
0.4,10000,2,1704.4932,59.90356
0.45,10000,2,1709.6388,60.04392
0.5,10000,2,1712.5588,60.13896
0.55,10000,2,1715.9084,60.27068
0.6000000000000001,10000,2,1718.146,60.36148
0.65,10000,2,1720.642,60.4378
0.7000000000000001,10000,2,1722.8572,60.51888
0.75,10000,2,1724.0388,60.59104
0.8,10000,2,1725.9732,60.67328
0.8500000000000001,10000,2,1727.5492,60.742
0.9,10000,2,1730.0736,60.7996
0.9500000000000001,10000,2,1730.312,60.86984
1,10000,2,1731.864,60.92496
