lambda,opp_prob_method,n,k,strat,wpESPN_scores,wpHamming_scores
0.45,naive_chalky,1000,10000,3,0.11716,0.0802
0.5,naive_chalky,1000,10000,3,0.3498,0.43556
0.55,naive_chalky,1000,10000,3,0.3888,0.49896
0.6000000000000001,naive_chalky,1000,10000,3,0.45944,0.57568
0.65,naive_chalky,1000,10000,3,0.51972,0.6312
0.7000000000000001,naive_chalky,1000,10000,3,0.56716,0.68024
0.75,naive_chalky,1000,10000,3,0.5856,0.71056
0.8,naive_chalky,1000,10000,3,0.60304,0.73592
0.8500000000000001,naive_chalky,1000,10000,3,0.60372,0.75096
0.9,naive_chalky,1000,10000,3,0.58324,0.7674
0.9500000000000001,naive_chalky,1000,10000,3,0.53236000000000006,0.75972
1,naive_chalky,1000,10000,3,0.38276,0.65748
0,naive_chalky,10000,10000,3,0.00252,0
0.05,naive_chalky,10000,10000,3,0.00564,0
0.1,naive_chalky,10000,10000,3,0.00944,0
0.15000000000000002,naive_chalky,10000,10000,3,0.01644,0
0.2,naive_chalky,10000,10000,3,0.02556,0
0.25,naive_chalky,10000,10000,3,0.0392,0
0.30000000000000004,naive_chalky,10000,10000,3,0.0596,2e-4
0.35000000000000003,naive_chalky,10000,10000,3,0.0966,0.00108
0.4,naive_chalky,10000,10000,3,0.17624,0.019
0.45,naive_chalky,10000,10000,3,0.45532,0.45976
0.5,naive_chalky,10000,10000,3,0.70924,0.83572
0.55,naive_chalky,10000,10000,3,0.74908,0.86784
0.6000000000000001,naive_chalky,10000,10000,3,0.78896,0.9004800000000001
0.65,naive_chalky,10000,10000,3,0.81016,0.91956
0.7000000000000001,naive_chalky,10000,10000,3,0.833,0.94008
0.75,naive_chalky,10000,10000,3,0.83436,0.9546
0.8,naive_chalky,10000,10000,3,0.82352,0.96416
0.8500000000000001,naive_chalky,10000,10000,3,0.79788,0.97372
0.9,naive_chalky,10000,10000,3,0.76224,0.97648
0.9500000000000001,naive_chalky,10000,10000,3,0.68904,0.9748399999999999
1,naive_chalky,10000,10000,3,0.43224,0.8956000000000001
